model_a,model_b,source_tasks,align_mode,n_common,n_fit,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,R2_E,rel_err_E,norm_A_E,norm_b_E,R2_U,rel_err_U,norm_A_U,norm_b_U
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,task2_model_series,id,128000,24000,4096,2048,128256,128256,False,True,0.33009541308701706,0.7617194709826473,47.22672653198242,0.47175928950309753,0.508894425764227,0.6521928197423744,47.584381103515625,0.2625703811645508
Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,task2_model_series,string,151643,24000,896,3584,151936,152064,True,False,0.17350844432522772,0.9044823668980869,29.19756317138672,0.18261009454727173,0.13041824355355214,0.8979877415183795,19.317916870117188,0.130086287856102
Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,task2_model_series,string,151643,24000,1536,3584,151936,152064,True,False,0.22549493149766375,0.8755956991568973,15.890586853027344,0.1821075975894928,0.20062336135326986,0.8609261700931133,13.420616149902344,0.1838279366493225
Qwen2.5-1.5B-Instruct,Qwen2.5-3B-Instruct,task2_model_series,id,151643,24000,1536,2048,151936,151936,True,True,0.36759790903616596,0.7655349485189423,25.712915420532227,0.12559421360492706,0.36759790903616596,0.7655349485189423,25.712915420532227,0.12559421360492706
Qwen2.5-0.5B-Instruct,Qwen2.5-32B-Instruct,task2_model_series,string,151643,24000,896,5120,151936,152064,True,False,0.1370287229059628,0.9275528168537387,39.572689056396484,0.21760541200637817,0.12098940722288665,0.9267708153832105,35.24546432495117,0.17007781565189362
Qwen2.5-1.5B-Instruct,Qwen2.5-14B-Instruct,task2_model_series,string,151643,24000,1536,5120,151936,152064,True,False,0.1741491021242203,0.9068407298042457,20.434551239013672,0.22081704437732697,0.21091589552329737,0.881536242045946,23.40570831298828,0.141106516122818
Qwen2.5-0.5B-Instruct,Qwen2.5-14B-Instruct,task2_model_series,string,151643,24000,896,5120,151936,152064,True,False,0.12736366315650272,0.932167424376081,35.928131103515625,0.21367378532886505,0.12601788147704984,0.9277755629187967,34.46073913574219,0.15193919837474823
Qwen2.5-0.5B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,string,151643,24000,896,8192,151936,152064,True,False,0.16615806628206253,0.9112291066938426,29.134504318237305,0.13654427230358124,0.08800619025075285,0.9308799501600823,19.719066619873047,0.1218782514333725
Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,task2_model_series,string,151643,24000,2048,3584,151936,152064,True,False,0.2555115539100632,0.8584772571150516,17.218332290649414,0.14802443981170654,0.25415169654258485,0.8317232427131389,15.404167175292969,0.14881986379623413
Qwen2.5-3B-Instruct,Qwen2.5-14B-Instruct,task2_model_series,string,151643,24000,2048,5120,151936,152064,True,False,0.2032488892966201,0.890698193482217,22.741762161254883,0.18545901775360107,0.2662018045757536,0.850121952745453,27.373746871948242,0.12465643882751465
