model_a,model_b,is_anomaly,hidden_dim,n_common,rank_k,rank_over_h,lora_params_2hk,lora_params_2hk_plus_bias,lora_params_over_full_hh,same_rank_token_delta_params,same_rank_token_delta_param_factor_vs_lora,identity_R2,rankk_affine_R2,full_affine_R2_from_decomp,full_affine_R2_reported,oracle_delta_rankk_R2_not_param_matched,centered_delta_over_Yc_energy,mean_shift_over_raw_delta_energy,full_affine_update_gain_w,rankk_affine_update_gain_wCp,rankk_fraction_of_full_affine_gain_Cp,A_I_energy_at_rank_k,pred_energy_at_rank_k,centered_delta_energy_at_rank_k,rankk_affine_gain_minus_oracle_delta_gain
Qwen2.5-7B,Qwen2.5-7B-Instruct,False,3584,152064,180,0.05022321428571429,1290240,1293824,0.10044642857142858,28016640,21.714285714285715,0.9997140641935895,0.9997180604298173,0.9997231557417955,0.9997231554449361,0.9998305172959635,0.00028593580641041627,8.443438798150598e-05,0.03179576674935525,0.01397599089756693,0.4395550831574248,0.4852723001678203,0.4395550831574248,0.40727009266817993,-0.393294101770613
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,False,8192,128256,410,0.050048828125,6717440,6725632,0.10009765625,55943680,8.328125,0.9984301648971325,0.9984626238436303,0.9985595872648374,0.998559589191473,0.9987301219992682,0.0015698351028674094,0.00022219872935090782,0.08244328813161464,0.020676659885112213,0.25079858353179035,0.25083096653569376,0.25079858353179035,0.1910755477360394,-0.1703988878509272
Gemma-3-4B,Gemma-3-4B-Instruct,False,2560,262208,128,0.05,655360,657920,0.1,33890304,51.7125,0.9531678788719409,0.9571824635786477,0.9578971754174681,0.9578971652648591,0.9613606069625509,0.046832121128059116,0.046039888687322644,0.10098403470975237,0.08572288869276738,0.8488756558316524,0.7054887939777889,0.8488756558316524,0.17493822387859648,-0.0892153351858291
Gemma-2-9B,Gemma-2-9B-Instruct,False,3584,256000,180,0.05022321428571429,1290240,1293824,0.10044642857142858,46725120,36.214285714285715,0.9878627240123277,0.990818975370168,0.9911235653119138,0.9911235620291692,0.9919849718549124,0.012137275987672351,0.1894499118347798,0.2686633560032837,0.24356794398043227,0.9065916081888565,0.8434570179502535,0.9065916081888565,0.3396353388331646,-0.09606739485273233
Qwen2.5-32B,Qwen2.5-32B-Instruct,False,5120,152064,256,0.05,2621440,2626560,0.1,40239104,15.35,0.9998697144683288,0.9998725339539927,0.9998761120727374,0.9998761118536126,0.9999261496301374,0.00013028553167115597,8.719174753664179e-05,0.049104488629558435,0.021640819419095896,0.4407095974942953,0.5051649930344977,0.4407095974942953,0.43316522628869203,-0.4115244068695961
Gemma-2-2B,Gemma-2-2B-Instruct,False,2304,256000,116,0.050347222222222224,534528,536832,0.10069444444444445,29963264,56.05555555555556,0.9989458764621227,0.9992839042809497,0.999334373995968,0.9993343784311904,0.9995995795792542,0.0010541235378772984,0.18121540361179148,0.36855028835385006,0.32067192001767614,0.8700899989794465,0.9777854836566532,0.8700899989794465,0.6201390004513498,-0.2994670804336737
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,False,8192,152064,410,0.050048828125,6717440,6725632,0.10009765625,65704960,9.78125,0.9996624241668859,0.9996713033131998,0.9996872170893835,0.9996872170493445,0.9997775440630532,0.00033757583311407074,3.92951789282315e-05,0.0734440089175993,0.026302671704875304,0.35813229822987547,0.37028325987465965,0.35813229822987547,0.341019364761271,-0.31471669305639566
Gemma-3-12B,Gemma-3-12B-Instruct,False,3840,262208,192,0.05,1474560,1478400,0.1,51081216,34.641666666666666,0.9626567143566631,0.9660209813009434,0.967260208095673,0.9672602427168877,0.9697322900216688,0.037343285643336936,0.016466287288620318,0.12327500539126661,0.09009027690846975,0.7308073248306033,0.4488447048169702,0.7308073248306033,0.18947383828471998,-0.09938356137625022
Gemma-3-27B,Gemma-3-27B-Instruct,False,5376,262208,269,0.050037202380952384,2892288,2897664,0.10007440476190477,71980096,24.886904761904763,0.9675573950867814,0.9698084744955103,0.9707730237575095,0.9707730427305877,0.9737342523607369,0.03244260491321861,0.01277251391050981,0.09911746234094572,0.0693865185841395,0.7000433318748892,0.4228233166793635,0.7000433318748892,0.19039338211213302,-0.12100686352799353
Gemma-2-27B,Gemma-2-27B-Instruct,False,4608,256000,231,0.050130208333333336,2128896,2133504,0.10026041666666667,60200448,28.27777777777778,0.996478176764353,0.9975008378154216,0.9976057422981581,0.9976057471139504,0.9981175324748496,0.0035218232356469723,0.19552542439620604,0.3201652832522083,0.29037830198787856,0.9069637377239768,0.9843343142830958,0.9069637377239768,0.4654849493590297,-0.17510664737115111
