model_a,model_b,hidden_dim,vocab,rank_frac,rank_affine,rank_delta_param_matched,rank_delta_no_overbudget,affine_params_with_bias,delta_params_with_bias,delta_no_overbudget_params_with_bias,delta_over_affine_params,delta_no_overbudget_over_affine_params,full_hh_params,affine_params_over_full_hh,identity_R2,full_affine_R2,reported_full_affine_R2,rank_affine_R2,param_matched_delta_R2,no_overbudget_delta_R2,rank_affine_update_gain,param_matched_delta_update_gain,no_overbudget_delta_update_gain,rank_affine_gain_over_delta_gain,rank_affine_gain_over_no_overbudget_delta_gain,rank_affine_fraction_of_full_affine_gain,A_I_energy_at_rank_affine,pred_energy_at_rank_affine,delta_energy_at_param_matched_rank,delta_energy_at_no_overbudget_rank,delta_energy_at_same_rank_not_param_matched,full_affine_update_gain,centered_delta_over_Yc_energy
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,2560,248320,0.01,26,1,0,135680,253440,2560,1.8679245283018868,0.018867924528301886,6553600,0.020703125,0.9967907101000678,0.997175886644525,0.9971758936229157,0.9969497453526377,0.9968543743630769,0.9967907101000678,0.04955465462100902,0.019837492091447625,0.0,2.498030214332038,inf,0.4128892448370075,0.41868222842672553,0.4128892448370075,0.019837492091447625,0.0,0.10724931969497184,0.12001924303107303,0.0032092898999321936
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,2560,248320,0.02,52,1,1,268800,253440,253440,0.9428571428571428,0.9428571428571428,6553600,0.041015625,0.9967907101000678,0.997175886644525,0.9971758936229157,0.9969872095889931,0.9968543743630769,0.9968543743630769,0.061228338683100424,0.019837492091447625,0.019837492091447625,3.086495934105365,3.086495934105365,0.5101543480594056,0.518169567255396,0.5101543480594056,0.019837492091447625,0.019837492091447625,0.15549591991644213,0.12001924303107303,0.0032092898999321936
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,2560,248320,0.05,128,3,2,657920,755200,504320,1.1478599221789882,0.7665369649805448,6553600,0.100390625,0.9967907101000678,0.997175886644525,0.9971758936229157,0.9970383200542416,0.996905261251918,0.9968854537196801,0.07715412502283438,0.03569361304899327,0.029521676933657752,2.161566690290842,2.613473658566825,0.6428479556637359,0.6483453646601351,0.6428479556637359,0.03569361304899327,0.029521676933657752,0.251875038399759,0.12001924303107303,0.0032092898999321936
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,2560,248320,0.1,256,5,5,1313280,1256960,1256960,0.9571150097465887,0.9571150097465887,6553600,0.200390625,0.9967907101000678,0.997175886644525,0.9971758936229157,0.9970787089704714,0.9969375871464263,0.9969375871464263,0.08973912590744153,0.04576621337998634,0.04576621337998634,1.960816053588664,1.960816053588664,0.7477061481233308,0.7477099256782692,0.7477061481233308,0.04576621337998634,0.04576621337998634,0.36135642435417,0.12001924303107303,0.0032092898999321936
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,2048,248320,0.001,3,1,0,14336,252416,2048,17.607142857142858,0.14285714285714285,4194304,0.00341796875,0.9961489055099909,0.9965920495136669,0.9965920500316764,0.9962339509710751,0.9962230558150833,0.9961489055099909,0.02208345219905926,0.019254345819014754,0.0,1.1469333939795867,inf,0.19191382570610796,0.18013036250650513,0.19191382570610796,0.019254345819014754,0.0,0.036092423468087505,0.11506962626484923,0.0038510944900091095
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,2048,248320,0.002,5,1,0,22528,252416,2048,11.204545454545455,0.09090909090909091,4194304,0.00537109375,0.9961489055099909,0.9965920495136669,0.9965920500316764,0.9962557828674279,0.9962230558150833,0.9961489055099909,0.027752463024271364,0.019254345819014754,0.0,1.4413609937796088,inf,0.2411797441698046,0.2363586810166424,0.2411797441698046,0.019254345819014754,0.0,0.0475968429291606,0.11506962626484923,0.0038510944900091095
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,2048,248320,0.005,11,1,0,47104,252416,2048,5.358695652173913,0.043478260869565216,4194304,0.01123046875,0.9961489055099909,0.9965920495136669,0.9965920500316764,0.9962961394308459,0.9962230558150833,0.9961489055099909,0.03823170821618649,0.019254345819014754,0.0,1.985614498438608,inf,0.3322484782230085,0.33937712481158766,0.3322484782230085,0.019254345819014754,0.0,0.07325957137935496,0.11506962626484923,0.0038510944900091095
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,2048,248320,0.01,21,1,0,88064,252416,2048,2.866279069767442,0.023255813953488372,4194304,0.02099609375,0.9961489055099909,0.9965920495136669,0.9965920500316764,0.9963331901394967,0.9962230558150833,0.9961489055099909,0.04785253386639728,0.019254345819014754,0.0,2.4852848451044336,inf,0.415857211148473,0.43470005042787857,0.415857211148473,0.019254345819014754,0.0,0.10350231486650757,0.11506962626484923,0.0038510944900091095
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,2048,248320,0.02,41,1,0,169984,252416,2048,1.4849397590361446,0.012048192771084338,4194304,0.04052734375,0.9961489055099909,0.9965920495136669,0.9965920500316764,0.9963780022721432,0.9962230558150833,0.9961489055099909,0.05948874086229054,0.019254345819014754,0.0,3.0896266963036494,inf,0.516980395203237,0.5354520987519672,0.516980395203237,0.019254345819014754,0.0,0.14953388583060315,0.11506962626484923,0.0038510944900091095
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,2048,248320,0.05,103,2,1,423936,502784,252416,1.1859903381642511,0.5954106280193237,4194304,0.10107421875,0.9961489055099909,0.9965920495136669,0.9965920500316764,0.9964394055422986,0.9962608957035617,0.9962230558150833,0.0754331094864779,0.02908009498632252,0.019254345819014754,2.593977410388686,3.9177186384584117,0.655543186634306,0.6698180178364694,0.655543186634306,0.02908009498632252,0.019254345819014754,0.2454020165991245,0.11506962626484923,0.0038510944900091095
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,2048,248320,0.1,205,3,3,841728,753152,753152,0.8947688564476886,0.8947688564476886,4194304,0.20068359375,0.9961489055099909,0.9965920495136669,0.9965920500316764,0.9964834296644856,0.9962879008431399,0.9962879008431399,0.08686469661091406,0.036092423468087505,0.036092423468087505,2.406729398144151,2.406729398144151,0.7548881440788077,0.7616945067319232,0.7548881440788077,0.036092423468087505,0.036092423468087505,0.3528412836356266,0.11506962626484923,0.0038510944900091095
Qwen3-0.6B-Base,Qwen3-0.6B,1024,151936,0.001,2,1,0,5120,153984,1024,30.075,0.2,1048576,0.0048828125,0.9821210165079378,0.9876894496558482,0.9876894506828213,0.9829265816199573,0.9827709732895543,0.9821210165079378,0.0450565387219637,0.036353117161560346,0.0,1.2394133499398043,inf,0.14466638830381767,0.22008208246307293,0.14466638830381767,0.036353117161560346,0.0,0.06108203007157744,0.31145132777725315,0.017878983492062236
Qwen3-0.6B-Base,Qwen3-0.6B,1024,151936,0.002,3,1,0,7168,153984,1024,21.482142857142858,0.14285714285714285,1048576,0.0068359375,0.9821210165079378,0.9876894496558482,0.9876894506828213,0.9832106530678327,0.9827709732895543,0.9821210165079378,0.060945106883662135,0.036353117161560346,0.0,1.676475406849162,inf,0.19568099875704964,0.26644471431798017,0.19568099875704964,0.036353117161560346,0.0,0.0855017385439449,0.31145132777725315,0.017878983492062236
Qwen3-0.6B-Base,Qwen3-0.6B,1024,151936,0.005,6,1,0,13312,153984,1024,11.567307692307692,0.07692307692307693,1048576,0.0126953125,0.9821210165079378,0.9876894496558482,0.9876894506828213,0.9838203940274016,0.9827709732895543,0.9821210165079378,0.09504888911711813,0.036353117161560346,0.0,2.614600797359476,inf,0.305180555162366,0.3680283525435046,0.305180555162366,0.036353117161560346,0.0,0.137951885292287,0.31145132777725315,0.017878983492062236
Qwen3-0.6B-Base,Qwen3-0.6B,1024,151936,0.01,11,1,0,23552,153984,1024,6.538043478260869,0.043478260869565216,1048576,0.0224609375,0.9821210165079378,0.9876894496558482,0.9876894506828213,0.9844339114242487,0.9827709732895543,0.9821210165079378,0.12936389349751135,0.036353117161560346,0.0,3.5585364776999167,inf,0.415358298263641,0.45987618181940787,0.415358298263641,0.036353117161560346,0.0,0.1937568368253557,0.31145132777725315,0.017878983492062236
Qwen3-0.6B-Base,Qwen3-0.6B,1024,151936,0.02,21,1,0,44032,153984,1024,3.497093023255814,0.023255813953488372,1048576,0.0419921875,0.9821210165079378,0.9876894496558482,0.9876894506828213,0.9850155934214635,0.9827709732895543,0.9821210165079378,0.1618982933124159,0.036353117161560346,0.0,4.453491363420317,inf,0.5198189215240846,0.5561498923196418,0.5198189215240846,0.036353117161560346,0.0,0.2526409014993972,0.31145132777725315,0.017878983492062236
