model_a,model_b,series,hidden_dim,is_anomaly,k_5pct,rank95_A_minus_I,kappa_S,kappa_K_top_5pct_AminusI,kappa_K_top_10pct_AminusI,kappa_K_top_50pct_AminusI,kappa_K_rank95_AminusI,rank95_G_p_over_h,rank95_G_R_over_h,rank95_G_cd_over_h,rank95_G_AminusI_over_h,overlap_mean_cos2_5pct,overlap_max_cos2_5pct,overlap_min_cos2_5pct,C_G_p_5pct,C_G_R_5pct,C_G_cd_5pct,C_G_AminusI_5pct,C_Gp_minus_C_AminusI_5pct,w_share_pred,convex_UB_5pct,convex_LB_5pct,gap_UB_minus_obs,gap_obs_minus_LB
Qwen2.5-32B,Qwen2.5-32B-Instruct,Qwen2.5,5120,False,256,1562,1051.8689504135023,2.4856252738946987,3.5186631036007205,28.359533754959216,9.096850166866862,0.373046875,0.479296875,0.478515625,0.305078125,0.728642463684082,0.9888388514518738,2.7655418307404034e-05,0.4407095974942953,0.43529998634877354,0.43316522628869203,0.5051649930344977,-0.06445539554020241,0.049104489454442984,0.4355656225422214,0.413924802759591,0.002400396253529391,0.019240423529101047
Gemma-2-2B,Gemma-2-2B-Instruct,Gemma-2,2304,False,116,29,18273.676139637864,367.262420482748,550.2757834622914,1153.292074491075,71.88737056567365,0.20963541666666666,0.8033854166666666,0.7261284722222222,0.012586805555555556,0.8205704092979431,0.9993555545806885,0.007509869989007711,0.8700899989794465,0.4808214261099738,0.6201390004513498,0.9777854836566532,-0.10769548467720669,0.36854988350754075,0.6242863132941646,0.32067156776495126,0.0041473128428147765,0.2994674326863986
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,Qwen2.5,8192,False,410,3834,277.12162576988345,1.9406113606273607,2.5365649870036804,7.638363246189395,7.017562570509338,0.518310546875,0.77978515625,0.7818603515625,0.468017578125,0.7114439606666565,0.9801799058914185,3.5334492167748976e-06,0.35813229822987547,0.343671228225523,0.341019364761271,0.37028325987465965,-0.012150961644784186,0.07344401550690643,0.3447333072751691,0.31843063321045006,0.0037139425138981164,0.022588731550820917
Gemma-3-12B,Gemma-3-12B-Instruct,Gemma-3,3840,False,192,2272,1027.8475986148987,159.19251496885175,197.69104594630366,376.130681712236,425.06862828576885,0.44765625,0.91328125,0.9059895833333333,0.5916666666666667,0.42618638277053833,0.9873228073120117,1.1144221616632422e-06,0.7308073248306033,0.12136388747537387,0.18947383828471998,0.4488447048169702,0.2819626200136331,0.12327496344390139,0.19649300493646538,0.10640275868343739,0.007019166651745401,0.08307107960128259
Gemma-4-E2B,Gemma-4-E2B-Instruct,Gemma-4,1536,True,77,833,1116.1885493168606,91.40818503873518,163.60870752202803,407.0467371658457,435.66119549446034,0.4993489583333333,0.912109375,0.9134114583333334,0.5423177083333334,0.2616441547870636,0.9699636697769165,0.00011345957318553701,0.6427279818926068,0.08831126029084033,0.14050412924176478,0.5276276558868759,0.11510032600573095,0.11631962867928039,0.15280080748114178,0.0780389272856105,0.012296678239376996,0.06246520195615428
Gemma-4-E4B,Gemma-4-E4B-Instruct,Gemma-4,2560,True,128,1401,1663.1792940431424,150.1423010218332,209.99220670356425,597.6865038551587,660.0798830290313,0.431640625,0.923828125,0.921875,0.547265625,0.29803037643432617,0.9613739252090454,3.742344006241183e-06,0.669975539234036,0.08131123318748251,0.12529744161142642,0.3779873645995957,0.29198817463444027,0.0890267833051482,0.13371812280136447,0.07407235565022613,0.00842068118993805,0.05122508596120029
Gemma-3-1B,Gemma-3-1B-Instruct,Gemma-3,1152,True,58,931,231.21918264007326,11.652067316643576,16.585084317792408,58.35552513395635,93.8398969749625,0.7838541666666666,0.8888888888888888,0.8697916666666666,0.8081597222222222,0.08698397129774094,0.6065028309822083,3.910573468601797e-06,0.2164987368514258,0.08303394972983212,0.15558551516795524,0.13220734914436427,0.08429138770706152,0.6280168261941449,0.16685208174661256,0.1359648495924738,0.011266566578657322,0.01962066557548145
Gemma-4-26B-A4B,Gemma-4-26B-A4B-Instruct,Gemma-4,2816,True,141,1968,3263.5552221626876,138.35876877157327,172.94001513742398,388.45114590922947,569.2303073065841,0.6555397727272727,0.9197443181818182,0.9151278409090909,0.6988636363636364,0.26623058319091797,0.9511035084724426,7.117928817024222e-06,0.3897818445314198,0.08656229942569639,0.12414483073460035,0.28515577309860257,0.10462607143281721,0.16406041509042918,0.1363086238592725,0.07236085265073462,0.012163793124672154,0.05178397808386573
Gemma-3-27B,Gemma-3-27B-Instruct,Gemma-3,5376,False,269,3004,1550.1344874254319,190.3477817036901,245.6025237685036,528.8940945476218,588.4809734784883,0.44568452380952384,0.9025297619047619,0.8967633928571429,0.5587797619047619,0.4084518849849701,0.987278163433075,4.0428021748084575e-06,0.7000433318748892,0.1422523788432628,0.19039338211213302,0.4228233166793635,0.2772200151955257,0.09911744145452374,0.19753919097423805,0.12815268701149898,0.00714580886210503,0.06224069510063404
Gemma-2-27B,Gemma-2-27B-Instruct,Gemma-2,4608,False,231,43,53880.7057194598,2239.5264118139476,3896.9919463882397,10164.344747411144,458.1157361347788,0.1519097222222222,0.8726128472222222,0.8315972222222222,0.009331597222222222,0.6395595669746399,0.9987552762031555,7.962430572661106e-06,0.9069637377239768,0.2682985145814612,0.4654849493590297,0.9843343142830958,-0.07737057655911905,0.3201649676950068,0.472776745116809,0.2903780157889396,0.007291795757779329,0.17510693357009005
Gemma-4-31B,Gemma-4-31B-Instruct,Gemma-4,5376,True,269,2060,37057.755246477725,1656.7680635611976,3434.5908629390474,13250.52271830948,9980.517291259868,0.3898809523809524,0.9079241071428571,0.9064360119047619,0.38318452380952384,0.24488362669944763,0.9819432497024536,6.06154799243086e-07,0.724401738755448,0.11826241692776446,0.17619700919919792,0.7260276981231714,-0.001625959367723362,0.12508378705754006,0.19408061878646016,0.10346970595186195,0.017883609587262234,0.07272730324733598
