model_a,model_b,bootstrap,align_mode,n_tokens,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos,gcorr_E_euc,gcorr_E_euc2,gcorr_U_cos,gcorr_U_euc,gcorr_U_euc2
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,71,id,20000,5000000,1024,896,151936,151936,True,True,0.7758489835384095,0.8705129028041736,0.851661436192385,0.77586077063142,0.8708188985071705,0.8519010225960505
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,72,id,20000,5000000,1024,896,151936,151936,True,True,0.7809853516731475,0.8741113977624734,0.8546092579687162,0.780759456189855,0.8740900220785568,0.8546580969002664
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,73,id,20000,5000000,1024,896,151936,151936,True,True,0.7831737390928798,0.8747018737551979,0.8550627317987256,0.7830891577239595,0.8748999019074759,0.8552936050752514
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,74,id,20000,5000000,1024,896,151936,151936,True,True,0.7828475956071709,0.876602434577669,0.8576980448133972,0.7828467105264575,0.876464439933375,0.8576020126282731
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,75,id,20000,5000000,1024,896,151936,151936,True,True,0.7911595417340108,0.878064849475492,0.8575190536974172,0.7908732278567028,0.8783169447355069,0.8578111769045137
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,76,id,20000,5000000,1024,896,151936,151936,True,True,0.7806093848738092,0.874685561535367,0.855848794894612,0.7801303068939206,0.8744087721795957,0.8554685781556183
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,77,id,20000,5000000,1024,896,151936,151936,True,True,0.7869703127132833,0.8799190733658919,0.8614590447209404,0.7868554339021812,0.8798363690417594,0.8613985313256788
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,78,id,20000,5000000,1024,896,151936,151936,True,True,0.7840251651036577,0.8763983417638737,0.856624541983215,0.7840012327774383,0.8762917950000607,0.8565754275107262
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,79,id,20000,5000000,1024,896,151936,151936,True,True,0.7809596124540411,0.8770118409711356,0.8586308811703836,0.7813742375935288,0.8772232962289057,0.8587060428651574
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,80,id,20000,5000000,1024,896,151936,151936,True,True,0.780711436023657,0.874772802341941,0.8554832775389087,0.7812726481827225,0.8752616767153689,0.8560023957068168
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,81,id,20000,5000000,1024,896,151936,151936,True,True,0.7871773132722041,0.877097281020246,0.8573560354203738,0.7864334631098272,0.8768961051807203,0.8573204947228866
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,82,id,20000,5000000,1024,896,151936,151936,True,True,0.7830825334798993,0.8771666238391425,0.8591451489302261,0.7830799473731571,0.8768728265284685,0.8588659593874612
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,83,id,20000,5000000,1024,896,151936,151936,True,True,0.7826451445786837,0.8756527860187756,0.8561310529309614,0.783230502772147,0.8758641238929809,0.8563270478506698
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,84,id,20000,5000000,1024,896,151936,151936,True,True,0.7779755350483128,0.8708993386507831,0.8515169202069263,0.7783958132815715,0.8712016444510089,0.8516675463772785
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,85,id,20000,5000000,1024,896,151936,151936,True,True,0.7842217884081284,0.8820024343200802,0.8639948813062764,0.78442091094435,0.8818189811046754,0.8638426089134978
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,86,id,20000,5000000,1024,896,151936,151936,True,True,0.7791655772628063,0.8764545379390356,0.8581652170095997,0.779621720570888,0.8766127439169463,0.8583594105424145
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,88,id,20000,5000000,1024,896,151936,151936,True,True,0.7883655598950958,0.8802056048352196,0.8609465163186035,0.787786858516665,0.8799586667208077,0.8607795630229063
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,87,id,20000,5000000,1024,896,151936,151936,True,True,0.7830218233277264,0.8776557518425079,0.8589181489051874,0.7837573796138666,0.8778905028015402,0.8589133543698134
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,89,id,20000,5000000,1024,896,151936,151936,True,True,0.7839070465139371,0.8752291413577512,0.856104620378271,0.7833116282999005,0.8751356438149345,0.8559679009424143
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,90,id,20000,5000000,1024,896,151936,151936,True,True,0.7861946574008846,0.87887818333138,0.8600526100012776,0.7859509747245433,0.8788954975782236,0.8601422336351044
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,91,id,20000,5000000,1024,896,151936,151936,True,True,0.7779198181118797,0.8760186019242413,0.8589546605737394,0.7779197055648795,0.8757185042459097,0.858694959446225
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,92,id,20000,5000000,1024,896,151936,151936,True,True,0.788769390928835,0.8775855055459404,0.8581709249254799,0.7884955854179091,0.8774103163065431,0.8579742292020132
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,94,id,20000,5000000,1024,896,151936,151936,True,True,0.7834690645790091,0.8795829576729525,0.8612800339349986,0.7830065515106671,0.879566623537775,0.8613122375265732
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,93,id,20000,5000000,1024,896,151936,151936,True,True,0.7817510471228672,0.8737479464039595,0.8545194291949054,0.7811623257365093,0.8736910893752949,0.8546614226714363
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,96,id,20000,5000000,1024,896,151936,151936,True,True,0.7781615555729694,0.8703284850974004,0.8502063471300898,0.7777822734841731,0.8702093644724527,0.8502065326086155
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,95,id,20000,5000000,1024,896,151936,151936,True,True,0.7832223404334632,0.8770965569662004,0.8588632727340072,0.7834765992371894,0.8772995415082472,0.8588472631483065
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,97,id,20000,5000000,1024,896,151936,151936,True,True,0.7797596897227503,0.8758294143746673,0.8563793118181842,0.7798088845947879,0.8760118456557618,0.8566535358175256
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,98,id,20000,5000000,1024,896,151936,151936,True,True,0.7806022802453143,0.8767923670238609,0.8581821269224608,0.7800879849011946,0.8766885047233839,0.8580115216622842
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,99,id,20000,5000000,1024,896,151936,151936,True,True,0.7877506164518681,0.8766093483468379,0.8572105665033501,0.7880430120922391,0.8766234618343853,0.8572031977527073
