model,subset,model_group,role,matrix,mean_row_norm,mean_vec_norm,mu_over_row_norm,sigma1,sigma1_centered,sigma1_over_mean_row,sigma1_c_over_mean_row,sigma1_over_mean_sqrt_n,sigma1_c_over_mean_sqrt_n,cos_v1_mu,cos_v1_v1_centered,rank1_energy_frac,rank5_energy_frac,rank10_energy_frac,participation_ratio,effective_rank,isotropy_pr_over_d,sigma_ratio,rank1_centered_energy_frac,rank5_centered_energy_frac,participation_ratio_centered,effective_rank_centered,isotropy_pr_over_d_centered,sigma_ratio_centered,tied,vocab_size,hidden_dim
DeepSeek-R1-Distill-Qwen-14B,other_models,deepseek_r1_distill_qwen,,E,1.1442793607711792,0.07765588909387589,0.06786444967559341,36.06441116333008,36.03929901123047,31.51713855873859,31.495192735925983,0.08082274117911147,0.08076646317805372,0.10195019096136093,0.9965070486068726,0.006118642166256905,0.01911015622317791,0.028949681669473648,1809.4132080078125,2554.555419921875,0.3534010171890259,28.345841705430587,0.006136787589639425,0.016377730295062065,1878.41748046875,2574.753173828125,0.36687841415405276,28.34097718391985,False,152064,5120
DeepSeek-R1-Distill-Qwen-14B,other_models,deepseek_r1_distill_qwen,,U,1.185399055480957,0.1837417483329773,0.15500412918620637,79.12639617919922,37.907508850097656,66.75085138067276,31.97868993974968,0.17117628792889292,0.08200634633853283,0.9952236413955688,0.8831984400749207,0.02835329994559288,0.0352097824215889,0.039601776748895645,974.9403686523438,4249.65185546875,0.1904180407524109,67.36330865154046,0.006662541534751654,0.012613654136657715,3677.694091796875,4684.189453125,0.7182996273040771,33.50602745796868,False,152064,5120
DeepSeek-R1-Distill-Qwen-32B,other_models,deepseek_r1_distill_qwen,,E,1.2084529399871826,0.06891073286533356,0.05702392752345363,38.822959899902344,38.205196380615234,32.126166121383356,31.614964154930565,0.08238453515272509,0.08107360573101173,0.37601780891418457,0.9766110777854919,0.006294552236795425,0.0186427254229784,0.029352718964219093,1604.5919189453125,2282.4453125,0.31339685916900634,32.937304142103336,0.006114467978477478,0.017084039747714996,1635.4949951171875,2293.221435546875,0.3194326162338257,32.445862147555125,False,152064,5120
DeepSeek-R1-Distill-Qwen-32B,other_models,deepseek_r1_distill_qwen,,U,1.2312781810760498,0.20179881155490875,0.16389376069228392,92.08597564697266,50.681949615478516,74.78892833664611,41.16206263899364,0.1917891812021716,0.10555624295871696,0.9939929246902466,0.9550842046737671,0.03556575998663902,0.0464051328599453,0.05083318427205086,663.2512817382812,4055.21630859375,0.12954126596450805,77.09852276085914,0.01106097362935543,0.021544866263866425,2665.978271484375,4555.3125,0.520698881149292,42.45983083816234,False,152064,5120
DeepSeek-R1-Distill-Qwen-7B,other_models,deepseek_r1_distill_qwen,,E,1.0362468957901,0.08136723190546036,0.07852108627396258,49.24584197998047,42.29948806762695,47.523270930941926,40.81989363681051,0.12186896406467548,0.1046787826952663,0.8761921525001526,0.9499003887176514,0.012972052209079266,0.03085947036743164,0.044732414186000824,1018.9144897460938,1635.19140625,0.28429533754076275,28.64169097879917,0.009622731246054173,0.026921363547444344,1106.1285400390625,1655.7979736328125,0.3086296149662563,24.60886174403145,False,152064,3584
DeepSeek-R1-Distill-Qwen-7B,other_models,deepseek_r1_distill_qwen,,U,1.0287798643112183,0.43358558416366577,0.42145613381921804,178.6538543701172,61.7621955871582,173.6560566236668,60.03441331786642,0.4453246443208037,0.15395261344511846,0.9991861581802368,0.9330716133117676,0.1934138536453247,0.20848411321640015,0.21260663866996765,26.532264709472656,1116.0621337890625,0.007402975644384112,198.88067229857288,0.027960414066910744,0.04337046295404434,860.2504272460938,2982.23193359375,0.2400252308164324,85.85360279360056,False,152064,3584
DeepSeek-V2-Lite,other_models,deepseek_v2_moe,,E,5.785749435424805,0.8541661500930786,0.1476327586644553,294.0365905761719,191.23440551757812,50.820830362243804,33.052659409461135,0.1588150948820119,0.10328956065456604,0.9853805303573608,0.18097016215324402,0.0238303504884243,0.05628024414181709,0.08101116865873337,570.127685546875,1304.9564208984375,0.27838265895843506,30.312422343513468,0.010291991755366325,0.04059717059135437,787.72119140625,1378.626220703125,0.384629487991333,19.71597888192301,False,102400,2048
DeepSeek-V2-Lite,other_models,deepseek_v2_moe,,U,6.739804744720459,1.5701016187667847,0.23295951117822872,532.0665893554688,200.8365478515625,78.9439174439373,29.79857064982265,0.24669974201230402,0.09312053328069578,0.9984201192855835,0.8330446481704712,0.05935639142990112,0.0742378756403923,0.08456746488809586,241.6748809814453,1420.349609375,0.11800531297922134,51.66272785989104,0.008929827250540257,0.023496145382523537,1329.4906005859375,1744.8953857421875,0.6491653323173523,19.59974897267257,False,102400,2048
DeepSeek-V2-Lite-Chat,other_models,deepseek_v2_moe,,E,5.785707950592041,0.8541279435157776,0.14762721361149525,294.0210876464844,191.23361206054688,50.81851523743049,33.05275926362275,0.1588078601169703,0.10328987269882109,0.9853852987289429,0.18090473115444183,0.023828215897083282,0.056276895105838776,0.08100509643554688,570.1883544921875,1305.0167236328125,0.2784122824668884,30.30283386802229,0.010292056016623974,0.040594346821308136,787.7880859375,1378.683349609375,0.3846621513366699,19.710873729603236,False,102400,2048
DeepSeek-V2-Lite-Chat,other_models,deepseek_v2_moe,,U,6.738327503204346,1.5701062679290771,0.23301127277984462,532.04345703125,200.7992401123047,78.9577913478147,29.79956673474487,0.24674309796192098,0.09312364604607773,0.9984205961227417,0.8326816558837891,0.05937753990292549,0.07426176220178604,0.08457832783460617,241.5390625,1420.3720703125,0.11793899536132812,51.5251695107355,0.0089306915178895,0.023497281596064568,1329.826904296875,1745.114990234375,0.6493295431137085,19.557463311397314,False,102400,2048
DeepSeek-V3,base_instruct,deepseek_v3_moe,base,E,3.157227039337158,0.24874719977378845,0.07878660504124262,105.24723052978516,98.53486633300781,33.33533800973693,31.209306491209656,0.09271269199348392,0.0867997444395073,0.6771459579467773,0.859865128993988,0.008422126062214375,0.030581478029489517,0.05088045820593834,1330.31005859375,3784.88037109375,0.18559013094220841,22.02331651712557,0.007427471224218607,0.02890126220881939,1397.2135009765625,3838.940185546875,0.1949237585067749,20.692380144612187,False,129280,7168
DeepSeek-V3,base_instruct,deepseek_v3_moe,base,U,6.672220230102539,0.5329777002334595,0.07988011214451005,256.23529052734375,235.0500946044922,38.40330230277874,35.22816791089043,0.10680778268665515,0.09797705606174212,0.7973135113716125,0.7493739128112793,0.011175662279129028,0.02840595319867134,0.03771703690290451,2103.1201171875,4920.38720703125,0.29340403420584543,90.10455135299283,0.009463475085794926,0.024104513227939606,2467.43505859375,5012.564453125,0.34422922134399414,97.35088655648964,False,129280,7168
DeepSeek-V3-Base,base_instruct,deepseek_v3_moe,base,E,3.157236337661743,0.24874533712863922,0.07878578304748025,105.24549102783203,98.53364562988281,33.3346888772277,31.208827940596006,0.09271088661738804,0.08679841348808169,0.6771398782730103,0.8598593473434448,0.008421797305345535,0.030581189319491386,0.050879962742328644,1330.3359375,3784.923583984375,0.18559374128069198,22.020643250093592,0.0074272421188652515,0.02890104055404663,1397.2381591796875,3838.98779296875,0.19492719854627336,20.68997118282723,False,129280,7168
DeepSeek-V3-Base,base_instruct,deepseek_v3_moe,base,U,6.672492980957031,0.5337426662445068,0.07999149160108258,256.3831481933594,235.1259765625,38.4238917785398,35.23810024731956,0.10686504641453408,0.0980046800098737,0.7975395321846008,0.749174952507019,0.01118769682943821,0.028441645205020905,0.037767864763736725,2100.817138671875,4919.28466796875,0.2930827481406076,90.16718145902382,0.009469018317759037,0.024132512509822845,2465.55078125,5011.69482421875,0.3439663478306362,100.32872432262957,False,129280,7168
DeepSeek-V3.1,base_instruct,deepseek_v3_moe,base,E,3.155202865600586,0.24884195625782013,0.07886718124238697,105.28929901123047,98.56958770751953,33.37005685407454,31.240332842673503,0.09280925251194941,0.08688603534695538,0.6771912574768066,0.8599218726158142,0.008440273813903332,0.03063010796904564,0.05095834285020828,1327.412353515625,3781.229248046875,0.18518587521144322,22.139668989341498,0.007442868314683437,0.028945229947566986,1394.298095703125,3835.368896484375,0.19451703344072616,20.80169283170505,False,129280,7168
DeepSeek-V3.1,base_instruct,deepseek_v3_moe,base,U,6.668075084686279,0.527777910232544,0.07914996509931696,254.40463256835938,234.21630859375,38.152634656532015,35.125025681196185,0.10611062244569955,0.09769019550042517,0.7911380529403687,0.7506957650184631,0.011030501686036587,0.028076432645320892,0.037274278700351715,2129.397216796875,4933.77880859375,0.297069924218314,89.41012364741101,0.009407282806932926,0.02390473708510399,2488.364013671875,5023.935546875,0.34714899744306293,84.43394264183758,False,129280,7168
