model_a,model_b,bootstrap,align_mode,n_tokens,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos,gcorr_E_euc,gcorr_E_euc2,gcorr_U_cos,gcorr_U_euc,gcorr_U_euc2
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,78,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994649078176209,0.9988257031315042,0.9988274805637214,0.9994647655921961,0.9988254896248342,0.9988272294722144
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,79,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994700649932581,0.998846545910685,0.9988541587404615,0.9994691757520359,0.9988461878138578,0.9988538331713183
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,80,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994855735971826,0.9988526748254556,0.9988565129314076,0.9994849966437166,0.9988524105117554,0.9988560418545113
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,81,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994643436610918,0.9988209851390031,0.9988196715191249,0.9994652518669488,0.9988221930349632,0.9988204013154685
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,82,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994834125861841,0.9988583708146805,0.9988566326508981,0.9994831125929292,0.9988589886685436,0.9988573667696938
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,83,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994643286474337,0.9988357159015151,0.9988397809890968,0.999463661390442,0.9988352339625881,0.9988391013012012
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,84,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994622953508066,0.9988467401574901,0.9988487046777368,0.9994627016150747,0.9988475069542844,0.9988492392680721
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,85,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994729370385474,0.9988624445336304,0.998865527013469,0.9994724987152732,0.9988606851311176,0.9988644860085082
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,86,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994595573525386,0.9988495058042286,0.9988541741523308,0.9994584249907608,0.9988486256366449,0.9988538188393715
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,87,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994713425405697,0.9988450542548638,0.998849622421881,0.9994722819874253,0.998848299279368,0.9988537087235371
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,88,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994695144644559,0.9988600916990155,0.9988665700573833,0.9994691632031082,0.9988611434872511,0.998867938156642
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,89,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994817429861348,0.9988653323782809,0.9988645786200174,0.9994808905948588,0.9988648848902691,0.9988648481080447
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,90,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994508097234129,0.998835599710597,0.9988341385650279,0.9994511175536943,0.9988373660080023,0.9988365514230116
