model,role,tied,E_mean_var_range,U_mean_var_range
Qwen2.5-72B-Instruct,instruct,False,"0.804685 (var=0.0603) [2.07e-14, 1.4092]","0.864182 (var=0.0263) [0.4033, 1.8819]"
Qwen2.5-7B,base,False,"0.791495 (var=0.0419) [0, 1.1215]","0.702594 (var=0.0149) [0.3272, 1.5823]"
Qwen2.5-7B-Instruct,instruct,False,"0.790655 (var=0.0418) [0, 1.1200]","0.698933 (var=0.0147) [0.3277, 1.5767]"
Qwen3-0.6B,base,True,"0.925070 (var=0.0175) [0.3024, 1.3806]",(=E)
Qwen3-0.6B-Base,base,True,"0.955460 (var=0.0195) [0.3447, 1.4251]",(=E)
Qwen3-1.7B,base,True,"1.539382 (var=0.0676) [0.3475, 2.3117]",(=E)
Qwen3-1.7B-Base,base,True,"1.578621 (var=0.0723) [0.3692, 2.3505]",(=E)
Qwen3-14B,base,False,"1.306749 (var=0.0992) [0.0008, 2.1601]","1.455687 (var=0.0794) [0.2824, 2.1877]"
Qwen3-14B-Base,base,False,"1.322214 (var=0.1014) [0.0008, 2.1878]","1.491495 (var=0.0843) [0.2767, 2.2160]"
Qwen3-30B-A3B,base,False,"0.904628 (var=0.0346) [2.49e-05, 1.2924]","1.177611 (var=0.0293) [0.3892, 1.7422]"
Qwen3-30B-A3B-Base,base,False,"0.915518 (var=0.0354) [2.53e-05, 1.3098]","1.210180 (var=0.0316) [0.3937, 1.7818]"
Qwen3-4B,base,True,"1.097372 (var=0.0295) [0.3563, 1.6320]",(=E)
Qwen3-4B-Base,base,True,"1.130571 (var=0.0324) [0.3495, 1.6759]",(=E)
Qwen3-8B,base,False,"1.375833 (var=0.0986) [0.0096, 1.9476]","1.638488 (var=0.0894) [0.3970, 2.4186]"
Qwen3-8B-Base,base,False,"1.392440 (var=0.1009) [0.0002, 1.9747]","1.678594 (var=0.0954) [0.3912, 2.4738]"
Qwen3.5-0.8B-Base,base,True,"0.631317 (var=0.0039) [0.3472, 1.0554]",(=E)
Qwen3.5-0.8B-Instruct,instruct,True,"0.627213 (var=0.0039) [0.3466, 1.0571]",(=E)
Qwen3.5-2B-Base,base,True,"0.681069 (var=0.0048) [0.3995, 1.1750]",(=E)
Qwen3.5-2B-Instruct,instruct,True,"0.675691 (var=0.0047) [0.3991, 1.1779]",(=E)
Qwen3.5-35B-A3B-Base,base,False,"0.568392 (var=0.0064) [0.0005, 0.8121]","0.853659 (var=0.0087) [0.3886, 1.7269]"
Qwen3.5-35B-A3B-Instruct,instruct,False,"0.566611 (var=0.0064) [0.0005, 0.8076]","0.845854 (var=0.0086) [0.3881, 1.7141]"
Qwen3.5-4B-Base,base,True,"0.661064 (var=0.0046) [0.4015, 1.0897]",(=E)
Qwen3.5-4B-Instruct,instruct,True,"0.655775 (var=0.0045) [0.4001, 1.0911]",(=E)
Qwen3.5-9B-Base,base,False,"0.855350 (var=0.0162) [4.14e-06, 1.0718]","0.992000 (var=0.0142) [0.3794, 1.5587]"
Qwen3.5-9B-Instruct,instruct,False,"0.852435 (var=0.0161) [4.11e-06, 1.0674]","0.983330 (var=0.0140) [0.3787, 1.5449]"
