model_a,model_b,hidden_dim,vocab,baseline_rank_w,baseline_w_params,baseline_w_gain,identity_R2,delta_over_Yc_energy,full_affine_gain_over_delta,residual_gain_over_delta,same_budget_hybrid_gain,same_budget_rank_affine,same_budget_rank_residual_w,same_budget_hybrid_params,same_budget_mode,same_budget_gain_over_w,same_budget_param_ratio,match_hybrid_params,match_rank_affine,match_rank_residual_w,match_hybrid_gain,match_mode,match_param_ratio_over_w,match_param_saving
Qwen3-14B-Base,Qwen3-14B,5120,151936,32,5030912,0.09994225949048996,0.995181645320977,0.0048183546790230795,0.07883679992740748,0.9211633177342248,0.09994225949048996,0,32,5030912,pure_W_fallback,1.0,1.0,5030912,0,32,0.09994225949048996,pure_W_fallback,1.0,0.0
Qwen3-14B-Base,Qwen3-14B,5120,151936,64,10056704,0.16529059410095215,0.995181645320977,0.0048183546790230795,0.07883679992740748,0.9211633177342248,0.16529059410095215,0,64,10056704,pure_W_fallback,1.0,1.0,10056704,0,64,0.16529059410095215,pure_W_fallback,1.0,0.0
Qwen3-8B-Base,Qwen3-8B,4096,151936,1,160128,0.006615165621042252,0.9953341716367314,0.004665828363268554,0.0731781030860501,0.9268219847960458,0.006615165621042252,0,1,160128,pure_W_fallback,1.0,1.0,160128,0,1,0.006615165621042252,pure_W_fallback,1.0,0.0
Qwen3-8B-Base,Qwen3-8B,4096,151936,2,316160,0.012353895232081413,0.9953341716367314,0.004665828363268554,0.0731781030860501,0.9268219847960458,0.012353895232081413,0,2,316160,pure_W_fallback,1.0,1.0,316160,0,2,0.012353895232081413,pure_W_fallback,1.0,0.0
Qwen3-8B-Base,Qwen3-8B,4096,151936,4,628224,0.01914742961525917,0.9953341716367314,0.004665828363268554,0.0731781030860501,0.9268219847960458,0.01914742961525917,0,4,628224,pure_W_fallback,1.0,1.0,628224,0,4,0.01914742961525917,pure_W_fallback,1.0,0.0
Qwen3-8B-Base,Qwen3-8B,4096,151936,8,1252352,0.030230339616537094,0.9953341716367314,0.004665828363268554,0.0731781030860501,0.9268219847960458,0.030230339616537094,0,8,1252352,pure_W_fallback,1.0,1.0,1252352,0,8,0.030230339616537094,pure_W_fallback,1.0,0.0
Qwen3-8B-Base,Qwen3-8B,4096,151936,16,2500608,0.047875937074422836,0.9953341716367314,0.004665828363268554,0.0731781030860501,0.9268219847960458,0.047875937074422836,0,16,2500608,pure_W_fallback,1.0,1.0,2500608,0,16,0.047875937074422836,pure_W_fallback,1.0,0.0
Qwen3-8B-Base,Qwen3-8B,4096,151936,32,4997120,0.07766114175319672,0.9953341716367314,0.004665828363268554,0.0731781030860501,0.9268219847960458,0.07766114175319672,0,32,4997120,pure_W_fallback,1.0,1.0,4997120,0,32,0.07766114175319672,pure_W_fallback,1.0,0.0
Qwen3-8B-Base,Qwen3-8B,4096,151936,64,9990144,0.12751084566116333,0.9953341716367314,0.004665828363268554,0.0731781030860501,0.9268219847960458,0.12751084566116333,0,64,9990144,pure_W_fallback,1.0,1.0,9990144,0,64,0.12751084566116333,pure_W_fallback,1.0,0.0
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,1536,151936,1,155008,0.5729874968528748,0.9992619361598801,0.0007380638401198979,0.5682479107468079,0.4317491536362726,0.5729874968528748,0,1,155008,pure_W_fallback,1.0,1.0,155008,0,1,0.5729874968528748,pure_W_fallback,1.0,0.0
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,1536,151936,2,308480,0.6016871333122253,0.9992619361598801,0.0007380638401198979,0.5682479107468079,0.4317491536362726,0.6452847793698311,49,1,305536,decomposed_hybrid,1.0724589967839353,0.9904564315352697,170368,5,1,0.6034111753106117,decomposed_hybrid,0.5522821576763486,0.4477178423236514
