family,size,model_a,rank_w,same_budget_gain_over_w,same_budget_mode,same_budget_rank_affine,same_budget_rank_residual_w,match_param_ratio_over_w,match_param_saving,match_mode,match_rank_affine,match_rank_residual_w,baseline_w_gain,same_budget_hybrid_gain,match_hybrid_gain
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,2,2.637307895959579,decomposed_hybrid,121.0,1.0,0.02663934426229508,0.9733606557377049,decomposed_hybrid,6.0,0.0,0.04020819440484047,0.10604138858616352,0.0405418835580349
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,4,1.9875643369964207,decomposed_hybrid,243.0,2.0,0.0441025641025641,0.9558974358974359,decomposed_hybrid,21.0,0.0,0.06268264353275299,0.12458578683435917,0.06323762238025665
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,8,1.5778056290215896,decomposed_hybrid,365.0,5.0,0.12775782452539763,0.8722421754746024,decomposed_hybrid,124.0,0.0,0.09485430270433426,0.14966165274381638,0.09493868052959442
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,16,1.342287104960421,decomposed_hybrid,365.0,13.0,0.3682319733128047,0.6317680266871952,decomposed_hybrid,230.0,4.0,0.1374833881855011,0.18454217910766602,0.1375301480293274
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,32,1.1952214196495232,decomposed_hybrid,487.0,28.0,0.6040035929680483,0.3959964070319517,decomposed_hybrid,405.0,16.0,0.19661562144756317,0.23499920219182968,0.19661827385425568
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,64,1.1054383878043117,decomposed_hybrid,608.0,59.0,0.7771896053897979,0.22281039461020213,decomposed_hybrid,577.0,45.0,0.2781764566898346,0.3075069338083267,0.2781905010342598
Qwen3.5,2B,Qwen3.5-2B-Base,1,3.454377621262757,decomposed_hybrid,61.0,0.0,0.056795131845841784,0.9432048681541583,decomposed_hybrid,3.0,0.0,0.019254345446825027,0.06651178002357483,0.022083451971411705
Qwen3.5,2B,Qwen3.5-2B-Base,2,2.6914245646865793,decomposed_hybrid,122.0,0.0,0.05295315682281059,0.9470468431771895,decomposed_hybrid,6.0,0.0,0.029080094769597054,0.07826688140630722,0.030040321871638298
Qwen3.5,2B,Qwen3.5-2B-Base,4,2.2111160457800745,decomposed_hybrid,183.0,1.0,0.06326530612244897,0.936734693877551,decomposed_hybrid,15.0,0.0,0.042321767657995224,0.09357833955436945,0.0426364466547966
Qwen3.5,2B,Qwen3.5-2B-Base,8,1.7865812044905545,decomposed_hybrid,305.0,3.0,0.09499489274770173,0.9050051072522982,decomposed_hybrid,46.0,0.0,0.061430998146533966,0.10975146666169167,0.06155024468898773
Qwen3.5,2B,Qwen3.5-2B-Base,16,1.4885826622685958,decomposed_hybrid,366.0,10.0,0.2091211037301993,0.7908788962698007,decomposed_hybrid,143.0,1.0,0.08939649164676666,0.1330740675330162,0.089496367610991
Qwen3.5,2B,Qwen3.5-2B-Base,32,1.2838964363919987,decomposed_hybrid,489.0,24.0,0.4685024278047534,0.5314975721952466,decomposed_hybrid,366.0,9.0,0.1305253654718399,0.16758105158805847,0.1305495873093605
Qwen3.5,2B,Qwen3.5-2B-Base,64,1.1558847212867682,decomposed_hybrid,611.0,54.0,0.6980191693290735,0.3019808306709265,decomposed_hybrid,530.0,36.0,0.19006793200969696,0.21969661861658096,0.1900930255651474
Qwen3.5,4B,Qwen3.5-4B-Base,1,3.0351746431888613,decomposed_hybrid,49.0,0.0,0.0707070707070707,0.9292929292929293,decomposed_hybrid,3.0,0.0,0.01983749121427536,0.060210250318050385,0.022991374135017395
Qwen3.5,4B,Qwen3.5-4B-Base,2,2.449906967676236,decomposed_hybrid,98.0,0.0,0.06598984771573604,0.934010152284264,decomposed_hybrid,6.0,0.0,0.029521677643060684,0.07232536375522614,0.029698755592107773
Qwen3.5,4B,Qwen3.5-4B-Base,4,2.124629428417632,decomposed_hybrid,147.0,1.0,0.07888040712468193,0.9211195928753181,decomposed_hybrid,15.0,0.0,0.04110850393772125,0.08734033722430468,0.04122137278318405
Qwen3.5,4B,Qwen3.5-4B-Base,8,1.7825106917303417,decomposed_hybrid,245.0,3.0,0.11337579617834395,0.8866242038216561,decomposed_hybrid,44.0,0.0,0.05819954723119736,0.10374131519347429,0.05836855247616768
Qwen3.5,4B,Qwen3.5-4B-Base,16,1.5191249624135557,decomposed_hybrid,343.0,9.0,0.2109623964308477,0.7890376035691523,decomposed_hybrid,116.0,1.0,0.08290769159793854,0.12594714388251305,0.08302456606179476
Qwen3.5,4B,Qwen3.5-4B-Base,32,1.3133490228909657,decomposed_hybrid,490.0,22.0,0.42301562001912657,0.5769843799808734,decomposed_hybrid,320.0,7.0,0.11989330500364304,0.1574617549777031,0.11990665085613728
Qwen3.5,4B,Qwen3.5-4B-Base,64,1.178151526622459,decomposed_hybrid,637.0,51.0,0.6563047983421011,0.3436952016578989,decomposed_hybrid,539.0,31.0,0.17367708683013916,0.2046179249882698,0.17369024455547333
Qwen3.5,9B,Qwen3.5-9B-Base,1,1.0,pure_W_fallback,0.0,1.0,1.0,0.0,pure_W_fallback,0.0,1.0,0.004796353634446859,0.004796353634446859,0.004796353634446859
Qwen3.5,9B,Qwen3.5-9B-Base,2,1.0,pure_W_fallback,0.0,2.0,1.0,0.0,pure_W_fallback,0.0,2.0,0.008429163135588169,0.008429163135588169,0.008429163135588169
Qwen3.5,9B,Qwen3.5-9B-Base,4,1.0,pure_W_fallback,0.0,4.0,1.0,0.0,pure_W_fallback,0.0,4.0,0.013836301863193512,0.013836301863193512,0.013836301863193512
Qwen3.5,9B,Qwen3.5-9B-Base,8,1.0,pure_W_fallback,0.0,8.0,1.0,0.0,pure_W_fallback,0.0,8.0,0.021958591416478157,0.021958591416478157,0.021958591416478157
Qwen3.5,9B,Qwen3.5-9B-Base,16,1.0,pure_W_fallback,0.0,16.0,1.0,0.0,pure_W_fallback,0.0,16.0,0.034868400543928146,0.034868400543928146,0.034868400543928146
Qwen3.5,9B,Qwen3.5-9B-Base,32,1.0,pure_W_fallback,0.0,32.0,1.0,0.0,pure_W_fallback,0.0,32.0,0.0556560754776001,0.0556560754776001,0.0556560754776001
Qwen3.5,9B,Qwen3.5-9B-Base,64,1.0,pure_W_fallback,0.0,64.0,1.0,0.0,pure_W_fallback,0.0,64.0,0.08915267884731293,0.08915267884731293,0.08915267884731293
Llama-3.1,8B,Llama-3.1-8B,1,1.0,pure_W_fallback,0.0,1.0,1.0,0.0,pure_W_fallback,0.0,1.0,0.007410005200654268,0.007410005200654268,0.007410005200654268
Llama-3.1,8B,Llama-3.1-8B,2,1.0,pure_W_fallback,0.0,2.0,1.0,0.0,pure_W_fallback,0.0,2.0,0.011154359206557274,0.011154359206557274,0.011154359206557274
Llama-3.1,8B,Llama-3.1-8B,4,1.0,pure_W_fallback,0.0,4.0,1.0,0.0,pure_W_fallback,0.0,4.0,0.015278538689017296,0.015278538689017296,0.015278538689017296
Llama-3.1,8B,Llama-3.1-8B,8,1.0,pure_W_fallback,0.0,8.0,1.0,0.0,pure_W_fallback,0.0,8.0,0.02158677950501442,0.02158677950501442,0.02158677950501442
Llama-3.1,8B,Llama-3.1-8B,16,1.0,pure_W_fallback,0.0,16.0,1.0,0.0,pure_W_fallback,0.0,16.0,0.031114982441067696,0.031114982441067696,0.031114982441067696
Llama-3.1,8B,Llama-3.1-8B,32,1.0,pure_W_fallback,0.0,32.0,1.0,0.0,pure_W_fallback,0.0,32.0,0.04643954336643219,0.04643954336643219,0.04643954336643219
Llama-3.1,8B,Llama-3.1-8B,64,1.0,pure_W_fallback,0.0,64.0,1.0,0.0,pure_W_fallback,0.0,64.0,0.07052402943372726,0.07052402943372726,0.07052402943372726
Llama-3.1,70B,Llama-3.1-70B-Base,1,1.0,pure_W_fallback,0.0,1.0,1.0,0.0,pure_W_fallback,0.0,1.0,0.004017640836536884,0.004017640836536884,0.004017640836536884
Llama-3.1,70B,Llama-3.1-70B-Base,2,1.0,pure_W_fallback,0.0,2.0,1.0,0.0,pure_W_fallback,0.0,2.0,0.006610310636460781,0.006610310636460781,0.006610310636460781
Llama-3.1,70B,Llama-3.1-70B-Base,4,1.0,pure_W_fallback,0.0,4.0,1.0,0.0,pure_W_fallback,0.0,4.0,0.009989732876420021,0.009989732876420021,0.009989732876420021
Llama-3.1,70B,Llama-3.1-70B-Base,8,1.0,pure_W_fallback,0.0,8.0,1.0,0.0,pure_W_fallback,0.0,8.0,0.01557640265673399,0.01557640265673399,0.01557640265673399
Llama-3.1,70B,Llama-3.1-70B-Base,16,1.0,pure_W_fallback,0.0,16.0,1.0,0.0,pure_W_fallback,0.0,16.0,0.02452661655843258,0.02452661655843258,0.02452661655843258
Llama-3.1,70B,Llama-3.1-70B-Base,32,1.0,pure_W_fallback,0.0,32.0,1.0,0.0,pure_W_fallback,0.0,32.0,0.038487065583467484,0.038487065583467484,0.038487065583467484
Llama-3.1,70B,Llama-3.1-70B-Base,64,1.0,pure_W_fallback,0.0,64.0,1.0,0.0,pure_W_fallback,0.0,64.0,0.060178376734256744,0.060178376734256744,0.060178376734256744
Llama-3.2,1B,Llama-3.2-1B,1,3.041650124032931,decomposed_hybrid,31.0,0.0,0.10831721470019343,0.8916827852998066,decomposed_hybrid,3.0,0.0,0.0682898685336113,0.20771388709545135,0.0798630639910698
