model_a,model_b,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,rank_affine_gain_over_w_gain,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,centered_delta_over_Yc_energy
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,43,1024,1.0,10722816,2098176,0.19567397221028507,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981255103164118,0.997860103859318,0.22858163372275314,0.11935755139071841,0.5221659739097293,1.0,0.22858163372275314,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,44,1024,1.0,10972160,2098176,0.19122725151656556,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981319290569012,0.997860103859318,0.2312231709609731,0.11935755139071841,0.5162006510621902,1.0,0.2312231709609731,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,45,1024,1.0,11221504,2098176,0.1869781448190902,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.99813828805333,0.997860103859318,0.23384012141916474,0.11935755139071841,0.510423748783327,1.0,0.23384012141916474,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,46,1024,1.0,11470848,2098176,0.1829137653990359,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.998144562332297,0.997860103859318,0.2364222076651619,0.11935755139071841,0.5048491534253886,1.0,0.2364222076651619,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,47,1024,1.0,11720192,2098176,0.17902232318378403,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981507890657496,0.997860103859318,0.23898472726145803,0.11935755139071841,0.4994358960024122,1.0,0.23898472726145803,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,48,1024,1.0,11969536,2098176,0.17529301052271365,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981568606759584,0.997860103859318,0.24148340819256808,0.11935755139071841,0.4942681250197452,1.0,0.24148340819256808,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,49,1024,1.0,12218880,2098176,0.1717159019484601,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981628259571078,0.997860103859318,0.24393833097980136,0.11935755139071841,0.4892939576626089,1.0,0.24393833097980136,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,50,1024,1.0,12468224,2098176,0.16828186596583442,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981687561314179,0.997860103859318,0.2463788060691241,0.11935755139071841,0.48444731628917553,1.0,0.2463788060691241,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,51,1024,1.0,12717568,2098176,0.16498248721768188,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981746426983269,0.997860103859318,0.2488013351807413,0.11935755139071841,0.4797303491318136,1.0,0.2488013351807413,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,52,1024,1.0,12966912,2098176,0.16180999763089315,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981804369116762,0.997860103859318,0.2511858575576362,0.11935755139071841,0.47517624022017657,1.0,0.2511858575576362,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,53,1024,1.0,13216256,2098176,0.15875721535660325,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981861850202843,0.997860103859318,0.253551406213609,0.11935755139071841,0.47074300700254634,1.0,0.253551406213609,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,54,1024,1.0,13465600,2098176,0.15581749049429658,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981919050818415,0.997860103859318,0.25590541252268745,0.11935755139071841,0.4664127663971808,1.0,0.25590541252268745,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,55,1024,1.0,13714944,2098176,0.15298465673647665,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9981975726032041,0.997860103859318,0.2582377966956316,0.11935755139071841,0.4622001617036623,1.0,0.2582377966956316,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,56,1024,1.0,13964288,2098176,0.15025298819388427,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9982032065065262,0.997860103859318,0.26055634586373677,0.11935755139071841,0.45808729392121145,1.0,0.26055634586373677,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,57,1024,1.0,14213632,2098176,0.14761716076510212,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9982087090113358,0.997860103859318,0.2628208199272136,0.11935755139071841,0.45414039657807037,1.0,0.2628208199272136,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,58,1024,1.0,14462976,2098176,0.14507221750212404,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9982141984051098,0.997860103859318,0.2650798983388033,0.11935755139071841,0.4502700964452816,1.0,0.2650798983388033,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,59,1024,1.0,14712320,2098176,0.14261353749782496,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9982196143674783,0.997860103859318,0.26730875714696584,0.11935755139071841,0.44651567971301387,1.0,0.26730875714696584,0.11935755139071841,0.0024299261795311103
