model_a,model_b,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,rank_affine_gain_over_w_gain,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,centered_delta_over_Yc_energy,mean_shift_over_raw_delta,centered_delta_over_raw_delta,w_rank_update_gain_over_raw,rank_affine_update_gain_over_raw,full_affine_update_gain_over_raw,rank_affine_gain_over_w_gain_raw,affine_wins_centered,affine_wins_raw,matrix_kind,raw_delta_over_Yc_energy
DeepSeek-V3.1-Base,DeepSeek-V3.1,7168,129280,4,38,0.005301339285714286,552960,551936,0.9981481481481481,0.9999847219928868,0.9999856466553142,0.9999856465174676,0.9999848895304365,0.999984770437065,0.010965929554595934,0.003170844065158709,0.28915415235635683,0.05239120434289841,0.010965929554595934,0.060522450379373934,1.5278007113195224e-05,3.7459521331836196e-05,0.9999625404786681,0.011002978297455696,0.0032081848081896465,0.06055764275868472,0.29157421940307743,0,0,embed,1.527857944146773e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,7168,129280,8,76,0.010602678571428572,1098752,1096704,0.9981360671015843,0.9999847219928868,0.9999856466553142,0.9999856465174676,0.9999849851064421,0.9999847976215434,0.017221719647742377,0.004950165032298762,0.2874373252817228,0.081790558731009,0.017221719647742377,0.060522450379373934,1.5278007113195224e-05,3.7459521331836196e-05,0.9999625404786681,0.017258534051699696,0.004987439122817974,0.06055764275868472,0.28898393733080646,0,0,embed,1.527857944146773e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,7168,129280,16,152,0.021205357142857144,2190336,2186240,0.9981299672744273,0.9999847219928868,0.9999856466553142,0.9999856465174676,0.9999851330183154,0.9999848409436973,0.026903078753969564,0.007785754366113968,0.289400125439739,0.1286424180995711,0.026903078753969564,0.060522450379373934,1.5278007113195224e-05,3.7459521331836196e-05,0.9999625404786681,0.02693953049884892,0.007822922236814042,0.06055764275868472,0.29038821731315256,0,0,embed,1.527857944146773e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,7168,129280,32,304,0.04241071428571429,4373504,4365312,0.9981269023647857,0.9999847219928868,0.9999856466553142,0.9999856465174676,0.9999853527029757,0.999984913339762,0.04128222249297514,0.012524334738799197,0.30338324786003035,0.2069370070162839,0.04128222249297514,0.060522450379373934,1.5278007113195224e-05,3.7459521331836196e-05,0.9999625404786681,0.04131813560201287,0.012561325104546717,0.06055764275868472,0.30401480903060824,0,0,embed,1.527857944146773e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,7168,129280,64,609,0.0849609375,8739840,8737792,0.9997656707674283,0.9999847219928868,0.9999856466553142,0.9999856465174676,0.9999856629001189,0.9999850332306828,0.06158573072398077,0.020371622666820192,0.3307847845164516,0.3365961315036717,0.06158573072398077,0.060522450379373934,1.5278007113195224e-05,3.7459521331836196e-05,0.9999625404786681,0.061620883273318806,0.020408319076918174,0.06055764275868472,0.33119160247017687,0,0,embed,1.527857944146773e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,7168,129280,128,1218,0.169921875,17472512,17468416,0.9997655746351756,0.9999847219928868,0.9999856466553142,0.9999856465174676,0.9999860976898639,0.9999852154937795,0.09004426866013072,0.03230139173588558,0.35872790369152946,0.5337092522429314,0.09004426866013072,0.060522450379373934,1.5278007113195224e-05,3.7459521331836196e-05,0.9999625404786681,0.09007835516625988,0.03233764126254463,0.06055764275868472,0.3589945798061947,0,0,embed,1.527857944146773e-05
Gemma-2-27B,Gemma-2-27B-Instruct,4608,256000,1,28,0.006076388888888889,265216,262656,0.9903474903474904,0.9964781784501565,0.997605742209408,0.9976057471139504,0.9967650198986004,0.9973378084477197,0.08144690024304216,0.24408675607126795,2.9968820832088054,0.7623781719748425,0.08144690024304216,0.32016493263309553,0.003521821549843446,0.19552542439620604,0.804474575603794,0.2610473849034719,0.3918870138971461,0.45308997269943285,1.5012102651097428,1,1,embed,0.004377790991343837
Gemma-2-27B,Gemma-2-27B-Instruct,4608,256000,2,56,0.012152777777777778,525824,520704,0.9902629016553067,0.9964781784501565,0.997605742209408,0.9976057471139504,0.9969354240652566,0.9974107685304867,0.1298321361911222,0.26480333177915566,2.0395823372215505,0.8270841206791892,0.1298321361911222,0.32016493263309553,0.003521821549843446,0.19552542439620604,0.804474575603794,0.29997207705829304,0.40855297234771293,0.45308997269943285,1.3619700085228919,1,1,embed,0.004377790991343837
Gemma-2-27B,Gemma-2-27B-Instruct,4608,256000,4,113,0.024522569444444444,1047040,1046016,0.9990220048899755,0.9964781784501565,0.997605742209408,0.9976057471139504,0.9971382733513025,0.9974613107403908,0.18742996821497496,0.27915448761960404,1.4893802217339362,0.8719083796085536,0.18742996821497496,0.32016493263309553,0.003521821549843446,0.19552542439620604,0.804474575603794,0.34630806853138063,0.42009811235188155,0.45308997269943285,1.2130763055375202,1,1,embed,0.004377790991343837
Gemma-2-27B,Gemma-2-27B-Instruct,4608,256000,8,226,0.04904513888888889,2089472,2087424,0.9990198480764518,0.9964781784501565,0.997605742209408,0.9976057471139504,0.9973298684448392,0.9974997496352244,0.2418322401146272,0.2900689801029965,1.1994636445723916,0.9059985980270094,0.2418322401146272,0.32016493263309553,0.003521821549843446,0.19552542439620604,0.804474575603794,0.3900733131297356,0.4288785440603895,0.45308997269943285,1.0994818912867992,1,1,embed,0.004377790991343837
Gemma-2-27B,Gemma-2-27B-Instruct,4608,256000,16,452,0.09809027777777778,4174336,4170240,0.9990187660983687,0.9964781784501565,0.997605742209408,0.9976057471139504,0.9974898436786905,0.9975312821932808,0.28725624345700906,0.29902245988899817,1.0409606986792963,0.9339638086838001,0.28725624345700906,0.32016493263309553,0.003521821549843446,0.19552542439620604,0.804474575603794,0.42661576894082354,0.43608139091141035,0.45308997269943285,1.0221876982983715,1,1,embed,0.004377790991343837
Gemma-2-27B,Gemma-2-27B-Instruct,4608,256000,32,904,0.19618055555555555,8344064,8335872,0.9990182242130453,0.9964781784501565,0.997605742209408,0.9976057471139504,0.9976496109691996,0.9975598458785474,0.3326212025408105,0.30713294614230974,0.9233715223088537,0.9592960216360725,0.3326212025408105,0.32016493263309553,0.003521821549843446,0.19552542439620604,0.804474575603794,0.4631107251470482,0.4426060708979836,0.45308997269943285,0.9557240782049392,0,0,embed,0.004377790991343837
Gemma-2-27B,Gemma-2-27B-Instruct,4608,256000,64,1809,0.392578125,16683520,16676352,0.9995703544575725,0.9964781784501565,0.997605742209408,0.9976057471139504,0.9978003193882864,0.997587182031293,0.375413949689944,0.31489488193567555,0.8387937693731109,0.9835395755116648,0.375413949689944,0.32016493263309553,0.003521821549843446,0.19552542439620604,0.804474575603794,0.49753640224876783,0.4488503509012155,0.45308997269943285,0.9021457502858066,0,0,embed,0.004377790991343837
Gemma-2-27B,Gemma-2-27B-Instruct,4608,256000,128,3619,0.7853732638888888,33362432,33357312,0.9998465339697058,0.9964781784501565,0.997605742209408,0.9976057471139504,0.9979575819740719,0.9976047617639581,0.42006771296552314,0.3198865410576033,0.7615118495999663,0.9991304744926226,0.42006771296552314,0.32016493263309553,0.003521821549843446,0.19552542439620604,0.804474575603794,0.5334592195090017,0.4528660137548871,0.45308997269943285,0.848923398815203,0,0,embed,0.004377790991343837
Gemma-2-2B,Gemma-2-2B-Instruct,2304,256000,1,56,0.024305555555555556,260608,260352,0.9990176817288802,0.9989458769818493,0.9993343738643692,0.9993343784311904,0.9991904387679855,0.9992633452837533,0.2320049765778352,0.3011681714918454,1.2981108247512383,0.8171707835717411,0.2320049765778352,0.3685498521808143,0.0010541230181506573,0.18121540361179148,0.8187845963882086,0.37117750471913,0.42780726335171687,0.4829783455785934,1.1525678628489044,1,1,embed,0.0012874240951778583
Gemma-2-2B,Gemma-2-2B-Instruct,2304,256000,2,112,0.04861111111111111,518912,518400,0.9990133201776024,0.9989458769818493,0.9993343738643692,0.9993343784311904,0.9992360117355702,0.9992829710232155,0.2752380402714525,0.31978624464298355,1.1618533700050893,0.8676878928338118,0.2752380402714525,0.3685498521808143,0.0010541230181506573,0.18121540361179148,0.8187845963882086,0.40657607132613416,0.4430514548622977,0.4829783455785934,1.0897135520474466,1,1,embed,0.0012874240951778583
Gemma-2-2B,Gemma-2-2B-Instruct,2304,256000,4,224,0.09722222222222222,1035520,1034496,0.9990111248454883,0.9989458769818493,0.9993343738643692,0.9993343784311904,0.9993036034233691,0.9992997661734863,0.3393592923787078,0.3357190627122077,0.9892732282620456,0.9109189997653303,0.3393592923787078,0.3685498521808143,0.0010541230181506573,0.18121540361179148,0.8187845963882086,0.4590775648526798,0.45609700087443417,0.4829783455785934,0.9935074937081665,0,0,embed,0.0012874240951778583
