model_a,model_b,series,hidden_dim,is_anomaly,E_R2,E_delta_rank95_over_h,Centered_delta_rank95_over_h,A_delta_rank95_over_h,Pred_delta_rank95_over_h,Residual_rank95_over_h,E_delta_eff_over_h,Centered_delta_eff_over_h,A_delta_eff_over_h,Pred_delta_eff_over_h,Residual_eff_over_h,E_delta_energy_5pct_h,Centered_delta_energy_5pct_h,A_delta_energy_5pct_h,Pred_delta_energy_5pct_h,Residual_energy_5pct_h,Mean_shift_energy_5pct_h,Pred_delta_rank_95,Pred_delta_effective_rank,Pred_delta_total_energy,Centered_delta_total_energy,Residual_total_energy,Mean_shift_total_energy,Residual_over_centered_delta_energy,Mean_shift_over_raw_delta_energy,solver
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,Llama,8192,False,0.998559589191473,0.8558349609375,0.8558349609375,0.5587158203125,0.578369140625,0.853759765625,0.7712371220882216,0.7715181377240603,0.5062133413625489,0.5200962777891647,0.7689054127928462,0.1912163645029068,0.19107554852962494,0.25083088874816895,0.25079861283302307,0.19163550436496735,0.9999997615814209,4738,4260.628707648837,11.147027969360352,135.20843505859375,124.06124114990234,0.030049819499254227,0.9175554845830389,0.00022219872935090782,solve
Llama-3.1-8B,Llama-3.1-8B-Instruct,Llama,4096,False,0.9984405304987342,0.890380859375,0.890380859375,0.607666015625,0.61376953125,0.88916015625,0.8688705918577491,0.8693538113864174,0.580856805441598,0.5793382061754869,0.8676202767835346,0.14328151941299438,0.14311374723911285,0.2007552832365036,0.20749276876449585,0.14360570907592773,0.9999997019767761,2514,2372.9692924947944,4.571901321411133,94.6628646850586,90.09088897705078,0.023334193974733353,0.9517025422459094,0.0002464371180909272,solve
Llama-3.2-1B,Llama-3.2-1B-Instruct,Llama,2048,False,0.9753091845405636,0.8173828125,0.84228515625,0.63916015625,0.55078125,0.8828125,0.20522405361201093,0.412795569634417,0.18798575656309743,0.12348875675107322,0.7155669886199199,0.49393826723098755,0.4016827940940857,0.607408344745636,0.6771169900894165,0.22209203243255615,0.9999995827674866,1128,252.90497382619796,1647.928466796875,4038.10791015625,2390.178955078125,736.9879150390625,0.5919056667769039,0.15433992154679282,solve
Llama-3.2-3B,Llama-3.2-3B-Instruct,Llama,3072,False,0.9795068249326268,0.8157552083333334,0.8362630208333334,0.6331380208333334,0.5364583333333334,0.876953125,0.22592770818340777,0.4109183007758002,0.20203483870956204,0.12419674135651233,0.7005371520468039,0.4747985601425171,0.3988926112651825,0.5818513035774231,0.6657435297966003,0.23066851496696472,0.9999994039535522,1648,381.5323894472059,1804.120849609375,4483.041015625,2678.919677734375,648.6002197265625,0.5975675146395901,0.1263923548003308,solve
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,Qwen2.5,896,False,0.9902607098733518,0.890625,0.9051339285714286,0.6506696428571429,0.6283482142857143,0.9129464285714286,0.30857069738518417,0.5623309749556358,0.11028632324627281,0.05896424374106201,0.9121467515862361,0.36254245042800903,0.2500463128089905,0.6658024787902832,0.6931515336036682,0.10975753515958786,0.9999995827674866,563,52.83196239199156,90.11956024169922,350.8979797363281,260.7783508300781,62.07902526855469,0.7431742725507633,0.15032077940470487,solve
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,Qwen2.5,1536,False,0.9996813415065288,0.5774739583333334,0.6236979166666666,0.06380208333333333,0.047526041666666664,0.7981770833333334,0.013776405866185499,0.019314164444213643,0.004444958119358181,0.002607779607693851,0.1633976138058799,0.7910254597663879,0.7568309307098389,0.9448009133338928,0.9514542818069458,0.5071979761123657,0.9999993443489075,73,4.005549477417755,59.81171417236328,105.25578308105469,45.44407272338867,17.262033462524414,0.4317489395180633,0.14089406707949595,solve
Qwen2.5-14B,Qwen2.5-14B-Instruct,Qwen2.5,5120,False,0.9998389456857062,0.5150390625,0.5150390625,0.3060546875,0.3966796875,0.5154296875,0.356148085122172,0.3561810326263931,0.2347021428559195,0.3046313435482788,0.35438746384939057,0.3897538483142853,0.3897266089916229,0.4830276072025299,0.4129640758037567,0.39131179451942444,0.999999463558197,2031,1559.7124789671875,1.6791936159133911,35.518157958984375,33.8389892578125,0.002656238153576851,0.9527236546695089,7.477976543090823e-05,solve
Qwen2.5-32B,Qwen2.5-32B-Instruct,Qwen2.5,5120,False,0.9998761118536126,0.478515625,0.478515625,0.305078125,0.373046875,0.4794921875,0.3220120653675805,0.3220483045736909,0.2249269604092412,0.28389700069036883,0.32012926634608585,0.4331914782524109,0.4331652522087097,0.5051650404930115,0.44070959091186523,0.4352993071079254,0.9999995827674866,1910,1453.5526435346883,1.5209585428237915,30.973920822143555,29.453014373779297,0.002700905781239271,0.950897193251784,8.719174753664179e-05,solve
Qwen2.5-3B,Qwen2.5-3B-Instruct,Qwen2.5,2048,False,0.9997321531880566,0.6298828125,0.6650390625,0.05859375,0.0576171875,0.81982421875,0.017504440258645358,0.023783769913802447,0.0030329998802935735,0.002432688447938643,0.22974383186912037,0.7550369501113892,0.7225378751754761,0.946907103061676,0.9468611478805542,0.45101723074913025,0.9999995231628418,118,4.982145941378341,56.68366622924805,102.3519287109375,45.66825485229492,13.604743957519531,0.44618851278583416,0.11732609814027843,solve
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,Qwen2.5,8192,False,0.9996872170493445,0.7818603515625,0.7818603515625,0.468017578125,0.518310546875,0.77978515625,0.5232993646633266,0.5233248171976514,0.36832616159459114,0.4014472363104484,0.5193062504992804,0.34103211760520935,0.3410194218158722,0.37028324604034424,0.3581323027610779,0.3436712622642517,0.999999463558197,4246,3288.655759855193,2.6573987007141113,36.182647705078125,33.52525329589844,0.0014218594878911972,0.9265561096899293,3.92951789282315e-05,solve
