model_a,model_b,align_mode,n_tokens,n_bootstrap,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos_mean,gcorr_E_cos_std,gcorr_E_cos_se,gcorr_E_cos_ci95_low,gcorr_E_cos_ci95_high,gcorr_E_cos_median,gcorr_E_euc_mean,gcorr_E_euc_std,gcorr_E_euc_se,gcorr_E_euc_ci95_low,gcorr_E_euc_ci95_high,gcorr_E_euc_median,gcorr_E_euc2_mean,gcorr_E_euc2_std,gcorr_E_euc2_se,gcorr_E_euc2_ci95_low,gcorr_E_euc2_ci95_high,gcorr_E_euc2_median,gcorr_U_cos_mean,gcorr_U_cos_std,gcorr_U_cos_se,gcorr_U_cos_ci95_low,gcorr_U_cos_ci95_high,gcorr_U_cos_median,gcorr_U_euc_mean,gcorr_U_euc_std,gcorr_U_euc_se,gcorr_U_euc_ci95_low,gcorr_U_euc_ci95_high,gcorr_U_euc_median,gcorr_U_euc2_mean,gcorr_U_euc2_std,gcorr_U_euc2_se,gcorr_U_euc2_ci95_low,gcorr_U_euc2_ci95_high,gcorr_U_euc2_median
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,id,20000,100,5000000,896,896,151936,151936,True,True,0.9980068702339273,3.407693578487006e-05,3.407693578487006e-06,0.9979507480731202,0.9980765120595834,0.9980047845334651,0.9963720842850516,8.467829652295455e-05,8.467829652295454e-06,0.9962281272493514,0.9965357031372685,0.9963676796028911,0.9957419705420761,8.772661577438152e-05,8.772661577438152e-06,0.9955859828256102,0.995899794046544,0.9957378149273253,0.9980069120712726,3.385029511285595e-05,3.3850295112855947e-06,0.9979492454330928,0.9980771258492274,0.9980051296532211,0.9963717649598491,8.532978889602389e-05,8.532978889602388e-06,0.9962218434204198,0.9965387713358798,0.9963657115815961,0.995741389774074,8.83225597734394e-05,8.83225597734394e-06,0.995578686408421,0.9958998894726999,0.9957378275150286
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,id,20000,100,5000000,1536,1536,151936,151936,True,True,0.9996698821311473,4.745639528535474e-06,4.745639528535474e-07,0.9996599109780087,0.999678093647159,0.9996702560864354,0.9998633215251267,3.111995017767415e-06,3.1119950177674147e-07,0.9998575477249704,0.9998693580717987,0.9998632899359217,0.9998437812345979,3.3654422244028856e-06,3.3654422244028856e-07,0.9998375485364712,0.9998506006222035,0.9998435690060666,0.9996699740848258,4.75504860686044e-06,4.7550486068604406e-07,0.9996604205855513,0.9996781342761554,0.999670274458933,0.9998633318134966,3.090939777951134e-06,3.0909397779511337e-07,0.9998572571415864,0.9998690799878199,0.9998634156413702,0.9998437908387333,3.3601874237576657e-06,3.360187423757666e-07,0.9998374086919504,0.9998507160762709,0.999843684264961
Qwen2.5-3B,Qwen2.5-3B-Instruct,id,20000,100,5000000,2048,2048,151936,151936,True,True,0.9996624903142762,4.943323303231737e-06,4.943323303231737e-07,0.9996530926447763,0.9996708659672505,0.9996621233856949,0.9998918702158386,2.4852241818080447e-06,2.4852241818080446e-07,0.9998872902624605,0.9998973137013981,0.9998916926962678,0.999878368133415,2.677340824467739e-06,2.677340824467739e-07,0.9998733636437933,0.9998843102441412,0.9998781318936494,0.999662492709564,4.925198708848767e-06,4.925198708848767e-07,0.9996528906523271,0.9996701885771115,0.9996626714895747,0.9998918715885762,2.476766631379359e-06,2.476766631379359e-07,0.9998870280811643,0.9998972106481656,0.999891827297209,0.9998783711746206,2.674052667743231e-06,2.674052667743231e-07,0.9998733033219906,0.9998841572797627,0.999878278865749
Qwen2.5-7B,Qwen2.5-7B-Instruct,id,20000,100,5000000,3584,3584,152064,152064,False,False,0.999673037779141,2.0198334664712838e-05,2.019833466471284e-06,0.999583514966101,0.9996807800620621,0.9996776063094723,0.9999956995201613,8.97697898130424e-08,8.97697898130424e-09,0.9999955288429072,0.9999958568517803,0.9999956945926861,0.9999939153181073,1.015501193209903e-07,1.015501193209903e-08,0.9999937239485474,0.9999941023038122,0.9999939036284375,0.9998308740958355,2.5785983466054103e-06,2.5785983466054106e-07,0.9998259317419023,0.9998357890100398,0.999830869225143,0.9998353044523056,2.8940358591483255e-06,2.8940358591483255e-07,0.9998293458206836,0.9998409364640276,0.9998352932862363,0.999814776319882,2.9607187187770666e-06,2.9607187187770665e-07,0.9998095312866704,0.99982091676638,0.9998146699368018
Qwen2.5-14B,Qwen2.5-14B-Instruct,id,20000,100,5000000,5120,5120,152064,152064,False,False,0.9998070599536659,1.9425836259944394e-05,1.9425836259944396e-06,0.9997245456030966,0.9998136114928621,0.9998114166497165,0.9999987433375468,2.1949094970713006e-08,2.1949094970713005e-09,0.9999987009143376,0.9999987814343609,0.9999987421694934,0.9999983509568218,2.337988708566753e-08,2.337988708566753e-09,0.9999983067386139,0.9999983932899222,0.9999983490231017,0.9991420720812365,1.3448650678446059e-05,1.3448650678446058e-06,0.9991211367807865,0.999166650757901,0.9991428625513511,0.9999567919917832,9.103093579868831e-07,9.103093579868831e-08,0.9999550742911817,0.9999586404081079,0.9999568927246478,0.9999515206695193,9.307759594066906e-07,9.307759594066906e-08,0.9999496092636307,0.9999532293335476,0.999951620499921
Qwen2.5-32B,Qwen2.5-32B-Instruct,id,20000,100,5000000,5120,5120,152064,152064,False,False,0.9998459028997402,1.818675137639423e-05,1.818675137639423e-06,0.9997699860646679,0.9998518603272124,0.9998500313640437,0.9999990515298396,1.4680585825717354e-08,1.4680585825717354e-09,0.9999990241903649,0.9999990764728921,0.9999990504039016,0.9999987607547276,1.5212835289743438e-08,1.5212835289743438e-09,0.9999987335677576,0.9999987870850638,0.9999987589929543,0.9997075853501659,4.4552514613335806e-06,4.4552514613335805e-07,0.9996986615282948,0.9997149050142722,0.999707718985383,0.9999617336600859,7.294057424327911e-07,7.29405742432791e-08,0.9999603582544655,0.9999630026738421,0.9999617131236418,0.9999571035101288,7.398923730074167e-07,7.398923730074167e-08,0.9999557830366282,0.9999583688465733,0.9999570774871793
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,id,20000,100,5000000,8192,8192,152064,152064,False,False,0.9997488564888981,3.37204240540056e-05,3.3720424054005602e-06,0.9996629485525911,0.9997730141739404,0.9997684523805532,0.9999955833983352,7.152944688551133e-08,7.152944688551133e-09,0.9999954682358267,0.9999957224346787,0.9999955756054152,0.999994210492947,8.259327871098698e-08,8.259327871098698e-09,0.9999940797818937,0.9999943705326706,0.9999941910356647,0.9998942733043406,2.0393804031255693e-06,2.0393804031255693e-07,0.9998908124033723,0.9998979076811216,0.9998943583287142,0.9999329627400452,1.0407008709964362e-06,1.0407008709964362e-07,0.9999311300242882,0.9999350827504354,0.9999329943429683,0.9999234335263207,1.1672101599677012e-06,1.1672101599677011e-07,0.9999214752368092,0.9999258559870404,0.9999235109567063
Llama-3.2-1B,Llama-3.2-1B-Instruct,id,20000,100,5000000,2048,2048,128256,128256,True,True,0.9814589202571341,0.0003643103007738756,3.643103007738756e-05,0.9808489015945733,0.982233545866685,0.981429216610887,0.970031128023914,0.000495193502490951,4.95193502490951e-05,0.9691465847263414,0.9710163067448389,0.9700250194872823,0.96907519771977,0.00045609571475243427,4.5609571475243426e-05,0.9682481015635682,0.9699050604497278,0.9691181529454258,0.9814611838942162,0.00036272233269635067,3.627223326963507e-05,0.9808084356553954,0.9822215558020767,0.981433355672233,0.9700301713370594,0.0004969942830255789,4.9699428302557896e-05,0.9691798318346561,0.9710724628354549,0.9700291307184654,0.9690746236668213,0.0004594832299256834,4.594832299256834e-05,0.9682214067130028,0.9698967616555151,0.9690852794789471
Llama-3.2-3B,Llama-3.2-3B-Instruct,id,20000,100,5000000,3072,3072,128256,128256,True,True,0.9863011898730909,0.00029504755703180485,2.9504755703180484e-05,0.9858158967804399,0.9869607095385129,0.9862251550511681,0.9852069860425362,0.00023480958325496434,2.3480958325496435e-05,0.9847939571468087,0.9856218685997297,0.9852094583207431,0.9845612504153641,0.00022634023701451755,2.2634023701451755e-05,0.9841636259984615,0.9849490946885789,0.984568639367752,0.9863015613752288,0.00029358309990850013,2.9358309990850012e-05,0.9858121048328192,0.9869630298139286,0.9862405214591801,0.9852062502613579,0.00023602076179474505,2.3602076179474504e-05,0.984803339599126,0.9856505385961774,0.9851966348962218,0.9845603418116152,0.00022825130220600887,2.2825130220600886e-05,0.9841686783918699,0.9849529064177975,0.9845603906332643
Llama-3.1-8B,Llama-3.1-8B-Instruct,id,20000,100,5000000,4096,4096,128256,128256,False,False,0.9977256757940257,0.0002984926685425067,2.984926685425067e-05,0.9971905535466508,0.9982610329906183,0.9977242530377304,0.9999277225984048,2.1250022436020932e-06,2.1250022436020933e-07,0.9999240266179027,0.9999326539760897,0.9999275193274166,0.9999200398006901,1.9870035755717775e-06,1.9870035755717774e-07,0.9999165350341119,0.9999242278765693,0.9999199232195042,0.9991734384270203,1.3736307098864288e-05,1.3736307098864288e-06,0.9991488033273513,0.999203104109491,0.9991715157659646,0.999024243939851,1.587790031260792e-05,1.587790031260792e-06,0.9989976514767955,0.9990566823746313,0.9990233200600016,0.9990313703864107,1.4580676621167802e-05,1.4580676621167803e-06,0.9990072090098497,0.9990613000731792,0.9990315291041467
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,id,20000,100,5000000,8192,8192,128256,128256,False,False,0.9986162303743085,0.00015246784000204233,1.5246784000204234e-05,0.998337334905188,0.9988941587477734,0.9986369645907069,0.9999516434316114,1.0695581076376005e-06,1.0695581076376005e-07,0.9999497127110437,0.9999538036521215,0.9999515610599016,0.9999475621701134,9.925632967710917e-07,9.925632967710917e-08,0.9999458871969916,0.9999493988422833,0.999947500467246,0.9977741221769036,4.489505424644916e-05,4.489505424644916e-06,0.9976804882477242,0.9978809897513031,0.997771254322102,0.9994406323527614,8.24141085884748e-06,8.241410858847481e-07,0.9994240151858793,0.9994583154632412,0.9994401426190751,0.9994425731960301,7.752327616769635e-06,7.752327616769635e-07,0.9994265449299465,0.9994588670488799,0.9994422496067668
Gemma-2-2B,Gemma-2-2B-Instruct,id,20000,100,5000000,2304,2304,256000,256000,True,True,0.9997445760900497,5.891286938088609e-06,5.891286938088609e-07,0.999733049849124,0.9997550907945835,0.9997452670437397,0.9992479468210079,2.355661451980344e-05,2.3556614519803443e-06,0.9992020712504075,0.9992890656995316,0.9992468706171193,0.9993491140207017,2.6645149484559645e-05,2.6645149484559647e-06,0.9992939307634365,0.9993942676198051,0.9993492828830343,0.9997446294573402,5.826784129412084e-06,5.826784129412084e-07,0.9997330062373322,0.9997550593544747,0.9997452801243248,0.999247904349682,2.348988439654257e-05,2.348988439654257e-06,0.9992004320673147,0.9992892529302183,0.999247185575547,0.9993490847919959,2.6705248990802158e-05,2.6705248990802156e-06,0.9992926762372096,0.9993945488504065,0.9993485829455397
Gemma-2-9B,Gemma-2-9B-Instruct,id,20000,100,5000000,3584,3584,256000,256000,True,True,0.9985101925184453,4.191160091669865e-05,4.191160091669865e-06,0.9984172967871906,0.9985709137527515,0.9985183049093499,0.9960486492944828,0.0004038496007636207,4.038496007636207e-05,0.9952660283016928,0.9968740873439151,0.9961180605819904,0.9966489675242467,0.0004357354360163696,4.3573543601636955e-05,0.9958101118357089,0.997475741147619,0.9967079535125274,0.9985098660804189,4.1303434948935715e-05,4.130343494893571e-06,0.9984162608628288,0.998568436748675,0.9985182370392875,0.9960475140919545,0.0004055868759126447,4.055868759126447e-05,0.9952786218967552,0.9968897555958186,0.9961217674628144,0.9966480518540847,0.0004384645454018703,4.384645454018703e-05,0.9958096135454008,0.9974917975264936,0.9966969237902188
Gemma-2-27B,Gemma-2-27B-Instruct,id,20000,100,5000000,4608,4608,256000,256000,True,True,0.9981624962631662,2.0411408521059447e-05,2.0411408521059445e-06,0.9981220783078245,0.9982046052341433,0.998161468345709,0.9820383003016147,0.00026807921845589823,2.6807921845589822e-05,0.9814758822727034,0.9826248730130385,0.9820459691627652,0.9818525063945761,0.0002571970502547536,2.571970502547536e-05,0.9813130954244148,0.9824089053793478,0.9818521372017105,0.998162393641493,2.0638318866477633e-05,2.0638318866477632e-06,0.9981224830255513,0.9982039122630141,0.9981608250509468,0.9820408536815494,0.0002674392268625652,2.674392268625652e-05,0.9815209828846302,0.9826053971013438,0.9820322736159046,0.9818517951320886,0.0002594472810615648,2.594472810615648e-05,0.9813229333213953,0.9824305203950501,0.9818584497346161
Gemma-3-1B,Gemma-3-1B-Instruct,id,20000,100,5000000,1152,1152,262144,262144,True,True,0.7773450589717976,0.0052213492018811985,0.0005221349201881199,0.7663011429871264,0.7870754254796234,0.7772385015997723,0.7097854650417293,0.010484693635952228,0.0010484693635952227,0.6880682484012927,0.7295350891037482,0.709031811774909,0.6032194800535942,0.0074573733288502255,0.0007457373328850225,0.5877061288396558,0.616202984593922,0.6025682217727408,0.7774184601919927,0.005357015988172698,0.0005357015988172698,0.7658037698545269,0.7868243120044173,0.7771027516974125,0.7099141095650464,0.010976262315964363,0.0010976262315964362,0.6878328476420968,0.7291091358388125,0.709210856772102,0.6033316745733078,0.007733215891748929,0.0007733215891748929,0.5869735547085121,0.6177113475711149,0.6024643215161296
Gemma-3-4B,Gemma-3-4B-Instruct,id,20000,100,5000000,2560,2560,262208,262208,True,True,0.9791577562059511,0.0007592447787581903,7.592447787581902e-05,0.97773412913691,0.9805168641538062,0.9790722167979888,0.8940217290409812,0.005431044584662493,0.0005431044584662493,0.8819888656405283,0.9037262604231232,0.8942432238109175,0.8351199802708565,0.0054610400209437,0.00054610400209437,0.8244299255152906,0.846042655995557,0.8347331061483321,0.9791765473812724,0.0007857620493070328,7.857620493070328e-05,0.977705291060303,0.9805376487318264,0.9790608928840054,0.8941991903662242,0.005635996779561735,0.0005635996779561735,0.8823958780415455,0.9033959543537191,0.8937751855827696,0.8352676813840628,0.005656435982487675,0.0005656435982487675,0.8245257237614864,0.8474802125801032,0.8350883898384172
Gemma-3-12B,Gemma-3-12B-Instruct,id,20000,100,5000000,3840,3840,262208,262208,True,True,0.9883863310411382,0.0005045305458870454,5.045305458870454e-05,0.9874112271644162,0.9892864442102283,0.9883603454632712,0.9461472136682891,0.00337991746666682,0.000337991746666682,0.9393896534640919,0.9516208093411105,0.9463734756632415,0.898776724625772,0.004472953872439426,0.00044729538724394265,0.8904465936536272,0.9071929218850386,0.898395676310245,0.9883964500951045,0.00052719238125765,5.2719238125765005e-05,0.9874594380858035,0.9892772067599297,0.9883128633736158,0.9462488170560736,0.003518680624023004,0.0003518680624023004,0.9385531480484196,0.9516874774570026,0.9463731688530715,0.8988870789273719,0.004651597907098698,0.0004651597907098698,0.8897205655625661,0.9085485261235288,0.8985576765784254
Gemma-3-27B,Gemma-3-27B-Instruct,id,20000,100,5000000,5376,5376,262208,262208,True,True,0.9898735731863937,0.0004748936285606317,4.748936285606317e-05,0.9889788393949374,0.9907183383707182,0.989855919569832,0.9528294643306394,0.0032126749766365975,0.00032126749766365977,0.9459663543584761,0.9583620395567181,0.9531597812865619,0.9107034254980959,0.004621455051131553,0.0004621455051131553,0.9014998277503543,0.919420806393666,0.9104298916682224,0.9898861022975582,0.000493124521092609,4.93124521092609e-05,0.9889665083828311,0.9907240117613739,0.9898464308365631,0.9529273204089183,0.0033232073770146763,0.0003323207377014676,0.9457770955137109,0.9583470974407209,0.9530317870049672,0.910815052565983,0.004762172770028596,0.0004762172770028596,0.9014767879713018,0.9204121698875957,0.9108435338029185
Gemma-4-E2B,Gemma-4-E2B-Instruct,id,20000,100,5000000,1536,1536,262144,262144,True,True,0.8465831222913,0.004218155989098836,0.00042181559890988363,0.8381411984833845,0.8535277992446755,0.8469426329625656,0.6756054774165149,0.007615639350025451,0.000761563935002545,0.6605713175222979,0.6882686375070186,0.6757549068627373,0.6146186256494225,0.005838442954554984,0.0005838442954554984,0.6034446974444625,0.6253183197429626,0.6145203151543188,0.8466321638813185,0.004301889374020035,0.00043018893740200354,0.8379666621732271,0.8539087854216523,0.8469343959497069,0.6757361049126743,0.007759483912070659,0.0007759483912070659,0.660146308297207,0.6887613613665056,0.6765976391783152,0.6146065299266344,0.0058924888068412834,0.0005892488806841284,0.6033442158462241,0.6250187492991315,0.6146400607390172
Gemma-4-E4B,Gemma-4-E4B-Instruct,id,20000,100,5000000,2560,2560,262144,262144,True,True,0.7880055837518973,0.004361386413816498,0.00043613864138164975,0.7784623176271603,0.795134130204851,0.7879904666996433,0.5307993088720356,0.010315684630828685,0.0010315684630828686,0.5093504961249267,0.5484608833120777,0.5303082774192858,0.44002714725183606,0.0065873755833984705,0.0006587375583398471,0.4275442892279675,0.4519780332981086,0.4401036574331243,0.7880592237543506,0.004379972037396322,0.00043799720373963224,0.7789304116748622,0.7950175628809848,0.7877053191917391,0.5310009384656115,0.010381540109158318,0.0010381540109158317,0.5106332249757529,0.5487249744471828,0.5310263231723356,0.44004807899069703,0.006606840177068038,0.0006606840177068038,0.4284058807212848,0.4521156934145126,0.43983562939730453
Gemma-4-26B-A4B,Gemma-4-26B-A4B-Instruct,id,20000,100,5000000,2816,2816,262144,262144,True,True,0.8121912346884834,0.005704406723653498,0.0005704406723653498,0.8009526606394733,0.8216676594751916,0.8122313913156103,0.4405134395517698,0.008834420516346005,0.0008834420516346005,0.4237475501916128,0.45489759751400566,0.4408719874307626,0.3871051544461663,0.012010472147808189,0.0012010472147808188,0.3554635862409207,0.40298905927371437,0.3894338117029181,0.8122803739224461,0.005740061577091277,0.0005740061577091277,0.8007247191614036,0.8225308990420708,0.8125063059559607,0.44062160390119653,0.008768054111150945,0.0008768054111150945,0.4241195487948861,0.4547245828879945,0.44120184831618336,0.3871515766560314,0.011915009002154505,0.0011915009002154504,0.3557595566725629,0.4033714115433051,0.3897222865898523
