model,subset,model_group,role,tied,E_mean_var_range,U_mean_var_range
Qwen2.5-3B,base_instruct,qwen2.5,base,True,"1.092016 (var=0.0265) [0.3777, 1.6296]",(=E)
Qwen2.5-3B-Instruct,base_instruct,qwen2.5,instruct,True,"1.088976 (var=0.0256) [0.3796, 1.6249]",(=E)
Qwen2.5-72B-Base,base_instruct,qwen2.5,base,False,"0.805492 (var=0.0604) [2.07e-14, 1.4107]",(=E)
Qwen2.5-72B-Instruct,base_instruct,qwen2.5,instruct,False,"0.804685 (var=0.0603) [2.07e-14, 1.4092]",(=E)
Qwen2.5-7B,base_instruct,qwen2.5,base,False,"0.791495 (var=0.0419) [0, 1.1215]",(=E)
Qwen2.5-7B-Instruct,base_instruct,qwen2.5,instruct,False,"0.790655 (var=0.0418) [0, 1.1200]",(=E)
Qwen3-0.6B,base_instruct,qwen3,base,True,"0.925070 (var=0.0175) [0.3024, 1.3806]",(=E)
Qwen3-0.6B-Base,base_instruct,qwen3,base,True,"0.955460 (var=0.0195) [0.3447, 1.4251]",(=E)
Qwen3-1.7B,base_instruct,qwen3,base,True,"1.539382 (var=0.0676) [0.3475, 2.3117]",(=E)
Qwen3-1.7B-Base,base_instruct,qwen3,base,True,"1.578621 (var=0.0723) [0.3692, 2.3505]",(=E)
Qwen3-14B,base_instruct,qwen3,base,False,"1.306749 (var=0.0992) [0.0008, 2.1601]",(=E)
Qwen3-14B-Base,base_instruct,qwen3,base,False,"1.322214 (var=0.1014) [0.0008, 2.1878]",(=E)
Qwen3-235B-A22B,other_models,qwen3,,False,"0.992486 (var=0.0576) [0.0014, 1.6248]",(=E)
Qwen3-30B-A3B,base_instruct,qwen3,base,False,"0.904628 (var=0.0346) [2.49e-05, 1.2924]",(=E)
Qwen3-30B-A3B-Base,base_instruct,qwen3,base,False,"0.915518 (var=0.0354) [2.53e-05, 1.3098]",(=E)
Qwen3-32B,other_models,qwen3,,False,"1.274539 (var=0.0972) [0.0046, 2.5087]",(=E)
Qwen3-4B,base_instruct,qwen3,base,True,"1.097372 (var=0.0295) [0.3563, 1.6320]",(=E)
Qwen3-4B-Base,base_instruct,qwen3,base,True,"1.130571 (var=0.0324) [0.3495, 1.6759]",(=E)
Qwen3-8B,base_instruct,qwen3,base,False,"1.375833 (var=0.0986) [0.0096, 1.9476]",(=E)
Qwen3-8B-Base,base_instruct,qwen3,base,False,"1.392440 (var=0.1009) [0.0002, 1.9747]",(=E)
Qwen3.5-0.8B-Base,base_instruct,qwen3.5_dense,base,True,"0.631317 (var=0.0039) [0.3472, 1.0554]",(=E)
Qwen3.5-0.8B-Instruct,base_instruct,qwen3.5_dense,instruct,True,"0.627213 (var=0.0039) [0.3466, 1.0571]",(=E)
Qwen3.5-122B-A10B-Instruct,other_models,qwen3.5_moe,,False,"0.659187 (var=0.0141) [2.39e-05, 1.0029]",(=E)
Qwen3.5-27B-Instruct,other_models,qwen3.5_dense,,False,"0.878096 (var=0.0227) [4.20e-06, 1.1720]",(=E)
Qwen3.5-2B-Base,base_instruct,qwen3.5_dense,base,True,"0.681069 (var=0.0048) [0.3995, 1.1750]",(=E)
Qwen3.5-2B-Instruct,base_instruct,qwen3.5_dense,instruct,True,"0.675691 (var=0.0047) [0.3991, 1.1779]",(=E)
Qwen3.5-35B-A3B-Base,base_instruct,qwen3.5_moe,base,False,"0.568392 (var=0.0064) [0.0005, 0.8121]",(=E)
Qwen3.5-35B-A3B-Instruct,base_instruct,qwen3.5_moe,instruct,False,"0.566611 (var=0.0064) [0.0005, 0.8076]",(=E)
Qwen3.5-397B-A17B-Instruct,other_models,qwen3.5_moe,,False,"0.736892 (var=0.0186) [0.0007, 1.1204]",(=E)
Qwen3.5-4B-Base,base_instruct,qwen3.5_dense,base,True,"0.661064 (var=0.0046) [0.4015, 1.0897]",(=E)
Qwen3.5-4B-Instruct,base_instruct,qwen3.5_dense,instruct,True,"0.655775 (var=0.0045) [0.4001, 1.0911]",(=E)
Qwen3.5-9B-Base,base_instruct,qwen3.5_dense,base,False,"0.855350 (var=0.0162) [4.14e-06, 1.0718]",(=E)
Qwen3.5-9B-Instruct,base_instruct,qwen3.5_dense,instruct,False,"0.852435 (var=0.0161) [4.11e-06, 1.0674]",(=E)
Qwen3.6-35B-A3B,other_models,qwen3.6,,False,"0.554700 (var=0.0060) [0.0005, 0.7859]",(=E)
