series,model_a,model_b,source_a,source_b,selected_a,selected_b
glm5,GLM-5-744B,GLM-5.1,GLM-5-744B,GLM-5.1,GLM-5-744B,GLM-5.1
deepseek_v2_moe,DeepSeek-V2-Lite,DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,DeepSeek-V2-Lite-Chat
deepseek_v3_moe,DeepSeek-V3-Base,DeepSeek-V3,DeepSeek-V3-Base,DeepSeek-V3,DeepSeek-V3-Base,DeepSeek-V3
deepseek_v3_moe,DeepSeek-V3-Base,DeepSeek-V3.1-Base,DeepSeek-V3-Base,DeepSeek-V3.1-Base,DeepSeek-V3-Base,DeepSeek-V3.1-Base
deepseek_v3_moe,DeepSeek-V3-Base,DeepSeek-V3.1,DeepSeek-V3-Base,DeepSeek-V3.1,DeepSeek-V3-Base,DeepSeek-V3.1
deepseek_v3_moe,DeepSeek-V3-Base,DeepSeek-V3.2,DeepSeek-V3-Base,DeepSeek-V3.2,DeepSeek-V3-Base,DeepSeek-V3.2
deepseek_v3_moe,DeepSeek-V3-Base,DeepSeek-V3.2-Speciale,DeepSeek-V3-Base,DeepSeek-V3.2-Speciale,DeepSeek-V3-Base,DeepSeek-V3.2-Speciale
deepseek_v3_moe,DeepSeek-V3,DeepSeek-V3.1-Base,DeepSeek-V3,DeepSeek-V3.1-Base,DeepSeek-V3,DeepSeek-V3.1-Base
deepseek_v3_moe,DeepSeek-V3,DeepSeek-V3.1,DeepSeek-V3,DeepSeek-V3.1,DeepSeek-V3,DeepSeek-V3.1
deepseek_v3_moe,DeepSeek-V3,DeepSeek-V3.2,DeepSeek-V3,DeepSeek-V3.2,DeepSeek-V3,DeepSeek-V3.2
deepseek_v3_moe,DeepSeek-V3,DeepSeek-V3.2-Speciale,DeepSeek-V3,DeepSeek-V3.2-Speciale,DeepSeek-V3,DeepSeek-V3.2-Speciale
deepseek_v3_moe,DeepSeek-V3.1-Base,DeepSeek-V3.1,DeepSeek-V3.1-Base,DeepSeek-V3.1,DeepSeek-V3.1-Base,DeepSeek-V3.1
