model,subset,model_group,role,matrix,mean_row_norm,mean_vec_norm,mu_over_row_norm,tied,vocab_size,hidden_dim
Llama-3.2-3B-Instruct,base_instruct,llama,instruct,E,1.0861297845840454,0.4162074327468872,0.3832023011009517,True,128256,3072
MiniMax-M2.5-Chat,other_models,minimax_m2.5,,E,1.3246935606002808,0.12278398126363754,0.09268859222656624,False,200064,3072
MiniMax-M2.5-Chat,other_models,minimax_m2.5,,U,0.936824381351471,0.21450862288475037,0.22897421027332612,False,200064,3072
MiniMax-M2.7,other_models,minimax_m2.7,,E,1.3239061832427979,0.1209997683763504,0.09139602934701276,False,200064,3072
MiniMax-M2.7,other_models,minimax_m2.7,,U,0.9450650215148926,0.20670442283153534,0.2187197897772138,False,200064,3072
Qwen2.5-0.5B,base_instruct,qwen2.5,base,E,0.4632810652256012,0.1806236058473587,0.3898791023531288,True,151936,896
Qwen2.5-0.5B-Instruct,base_instruct,qwen2.5,instruct,E,0.45263388752937317,0.1792561262845993,0.39602895678677325,True,151936,896
Qwen2.5-1.5B,base_instruct,qwen2.5,base,E,1.0157537460327148,0.3249307870864868,0.3198913007759871,True,151936,1536
Qwen2.5-1.5B-Instruct,base_instruct,qwen2.5,instruct,E,1.0125606060028076,0.3269540071487427,0.3228982099544924,True,151936,1536
Qwen2.5-14B,base_instruct,qwen2.5,base,E,1.1415189504623413,0.07639111578464508,0.06692058485205606,False,152064,5120
Qwen2.5-14B,base_instruct,qwen2.5,base,U,1.1992135047912598,0.14635959267616272,0.12204631793371831,False,152064,5120
Qwen2.5-14B-Instruct,base_instruct,qwen2.5,instruct,E,1.1402835845947266,0.07637439668178558,0.06697842336205354,False,152064,5120
Qwen2.5-14B-Instruct,base_instruct,qwen2.5,instruct,U,1.195603609085083,0.15003038942813873,0.12548505900124135,False,152064,5120
Qwen2.5-32B,base_instruct,qwen2.5,base,E,1.2073744535446167,0.06851711869239807,0.05674885574334054,False,152064,5120
Qwen2.5-32B,base_instruct,qwen2.5,base,U,1.2422949075698853,0.18953971564769745,0.15257223908167306,False,152064,5120
Qwen2.5-32B-Instruct,base_instruct,qwen2.5,instruct,E,1.2060602903366089,0.06847798079252243,0.05677824014370821,False,152064,5120
Qwen2.5-32B-Instruct,base_instruct,qwen2.5,instruct,U,1.237965703010559,0.1908802092075348,0.15418860857238684,False,152064,5120
Qwen2.5-3B,base_instruct,qwen2.5,base,E,1.0920155048370361,0.2963405251502991,0.2713702542112922,True,151936,2048
Qwen2.5-3B-Instruct,base_instruct,qwen2.5,instruct,E,1.0889760255813599,0.2987200617790222,0.27431279914500206,True,151936,2048
Qwen2.5-72B-Base,base_instruct,qwen2.5,base,E,0.8054924607276917,0.05436354875564575,0.06749107087424885,False,152064,8192
Qwen2.5-72B-Base,base_instruct,qwen2.5,base,U,0.8684902787208557,0.19795727729797363,0.22793263453625798,False,152064,8192
Qwen2.5-72B-Instruct,base_instruct,qwen2.5,instruct,E,0.8046845197677612,0.054312825202941895,0.06749579974350325,False,152064,8192
Qwen2.5-72B-Instruct,base_instruct,qwen2.5,instruct,U,0.8641824126243591,0.19654597342014313,0.22743574799592373,False,152064,8192
Qwen2.5-7B,base_instruct,qwen2.5,base,E,0.7914945483207703,0.08192215114831924,0.10350311486304581,False,152064,3584
Qwen2.5-7B,base_instruct,qwen2.5,base,U,0.7025941610336304,0.1915060430765152,0.27256993254082645,False,152064,3584
Qwen2.5-7B-Instruct,base_instruct,qwen2.5,instruct,E,0.7906553149223328,0.08188232779502869,0.10356260971074621,False,152064,3584
Qwen2.5-7B-Instruct,base_instruct,qwen2.5,instruct,U,0.6989327669143677,0.19226382672786713,0.27508200477804046,False,152064,3584
Qwen3-0.6B,base_instruct,qwen3,base,E,0.9250698089599609,0.3015705645084381,0.3259976291383765,True,151936,1024
Qwen3-0.6B-Base,base_instruct,qwen3,base,E,0.955460250377655,0.2929016947746277,0.3065556046511149,True,151936,1024
Qwen3-1.7B,base_instruct,qwen3,base,E,1.539381742477417,0.34761661291122437,0.22581573063987664,True,151936,2048
Qwen3-1.7B-Base,base_instruct,qwen3,base,E,1.5786210298538208,0.34179455041885376,0.21651463141252064,True,151936,2048
Qwen3-14B,base_instruct,qwen3,base,E,1.3067491054534912,0.18805499374866486,0.14391055862510246,False,151936,5120
Qwen3-14B,base_instruct,qwen3,base,U,1.4556870460510254,0.20735888183116913,0.14244743222362968,False,151936,5120
Qwen3-14B-Base,base_instruct,qwen3,base,E,1.3222135305404663,0.19097068905830383,0.1444325630068563,False,151936,5120
Qwen3-14B-Base,base_instruct,qwen3,base,U,1.491495132446289,0.2043512463569641,0.13701100453596224,False,151936,5120
Qwen3-235B-A22B,other_models,qwen3,,E,0.9924856424331665,0.06119561195373535,0.06165893927060636,False,151936,4096
Qwen3-235B-A22B,other_models,qwen3,,U,1.3138353824615479,0.1559189260005951,0.1186746285584666,False,151936,4096
Qwen3-30B-A3B,base_instruct,qwen3,base,E,0.904628336429596,0.08544276654720306,0.09445068555383769,False,151936,2048
Qwen3-30B-A3B,base_instruct,qwen3,base,U,1.1776114702224731,0.3150279223918915,0.26751431211210663,False,151936,2048
Qwen3-30B-A3B-Base,base_instruct,qwen3,base,E,0.9155181646347046,0.08660032600164413,0.09459159779336329,False,151936,2048
Qwen3-30B-A3B-Base,base_instruct,qwen3,base,U,1.2101801633834839,0.3164864778518677,0.26152013347088626,False,151936,2048
Qwen3-32B,other_models,qwen3,,E,1.2745392322540283,0.19200824201107025,0.1506491421778385,False,151936,5120
Qwen3-32B,other_models,qwen3,,U,1.3555335998535156,0.22283034026622772,0.16438570042845685,False,151936,5120
