model_a,model_b,matrix_kind,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,rank_affine_gain_over_w_gain,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,centered_delta_over_Yc_energy,mean_shift_over_raw_delta,centered_delta_over_raw_delta,w_rank_update_gain_over_raw,rank_affine_update_gain_over_raw,full_affine_update_gain_over_raw,rank_affine_gain_over_w_gain_raw,affine_wins_centered,affine_wins_raw,raw_delta_over_Yc_energy
Gemma-3-12B,Gemma-3-12B-Instruct,lm_head,3840,262208,1,34,0.008854166666666666,269888,264960,0.9817405738676784,0.962656724315314,0.9672602147356555,0.9672602427168877,0.9639272630052959,0.9654257610626439,0.03402322551213375,0.07415087981865118,2.1794194613384508,0.6015080937486718,0.03402322551213375,0.12327494939683,0.037343275684686005,0.016466287288620318,0.9835337127113797,0.04992927659498576,0.08939617741747363,0.13771135595319198,1.7904560913756842,1,1,0.03796847551035038
Gemma-3-12B,Gemma-3-12B-Instruct,lm_head,3840,262208,2,69,0.01796875,535936,533760,0.9959398137090996,0.962656724315314,0.9672602147356555,0.9672602427168877,0.9642198754994394,0.9656771204280292,0.0418589734152993,0.08088192739754291,1.9322482325374195,0.6561100028293565,0.0418589734152993,0.12327494939683,0.037343275684686005,0.016466287288620318,0.9835337127113797,0.05763599882205658,0.09601638963317795,0.13771135595319198,1.665910049197129,1,1,0.03796847551035038
Gemma-3-12B,Gemma-3-12B-Instruct,lm_head,3840,262208,4,138,0.0359375,1068032,1063680,0.9959252157238735,0.962656724315314,0.9672602147356555,0.9672602427168877,0.9647394463623454,0.9659064753970124,0.055772344788851166,0.08702372842538397,1.5603383496757683,0.7059319744293627,0.055772344788851166,0.12327494939683,0.037343275684686005,0.016466287288620318,0.9835337127113797,0.07132026862541826,0.10205705800082504,0.13771135595319198,1.4309685026123458,1,1,0.03796847551035038
Gemma-3-12B,Gemma-3-12B-Instruct,lm_head,3840,262208,8,277,0.07213541666666666,2132224,2131200,0.9995197502701405,0.962656724315314,0.9672602147356555,0.9672602427168877,0.9652630285635581,0.9661542399276369,0.06979313411739216,0.09365851142397748,1.3419444850612916,0.7597529902241915,0.06979313411739216,0.12327494939683,0.037343275684686005,0.016466287288620318,0.9835337127113797,0.08511018760886228,0.10858259075646605,0.13771135595319198,1.275788408027897,1,1,0.03796847551035038
Gemma-3-12B,Gemma-3-12B-Instruct,lm_head,3840,262208,16,554,0.14427083333333332,4260608,4258560,0.9995193174307516,0.962656724315314,0.9672602147356555,0.9672602427168877,0.9658487922787239,0.9664438213618132,0.08547905626605018,0.10141309183683102,1.1864086510406338,0.8226577446028857,0.08547905626605018,0.12327494939683,0.037343275684686005,0.016466287288620318,0.9835337127113797,0.10053782085703357,0.11620948202043883,0.13771135595319198,1.15587826580895,1,1,0.03796847551035038
Gemma-3-12B,Gemma-3-12B-Instruct,lm_head,3840,262208,32,1108,0.28854166666666664,8517376,8513280,0.9995191007183433,0.962656724315314,0.9672602147356555,0.9672602427168877,0.966548698948012,0.9667969704694137,0.10422156496287303,0.11086992445597378,1.063790631962484,0.8993710806489675,0.10422156496287303,0.12327494939683,0.037343275684686005,0.016466287288620318,0.9835337127113797,0.11897171002114508,0.1255105957168344,0.13771135595319198,1.054961685383249,1,1,0.03796847551035038
Gemma-3-12B,Gemma-3-12B-Instruct,lm_head,3840,262208,64,2217,0.57734375,17030912,17030400,0.9999699370180528,0.962656724315314,0.9672602147356555,0.9672602427168877,0.9674255210063384,0.9671462202330491,0.12770161705390884,0.12022233816987113,0.9414316039484422,0.9752373759478715,0.12770161705390884,0.12327494939683,0.037343275684686005,0.016466287288620318,0.9835337127113797,0.14206513282889813,0.13470900989967668,0.13771135595319198,0.9482200679171497,0,0,0.03796847551035038
Gemma-3-12B,Gemma-3-12B-Instruct,lm_head,3840,262208,128,3840,1.0,34057984,29495040,0.8660242485286269,0.962656724315314,0.9672602147356555,0.9672602427168877,0.9686852753231788,0.9672602147356556,0.16143605233691574,0.12327494939683,0.7636147416412052,1.0,0.16143605233691574,0.12327494939683,0.037343275684686005,0.016466287288620318,0.9835337127113797,0.17524408720901566,0.13771135595319198,0.13771135595319198,0.7858259764789783,0,0,0.03796847551035038
Gemma-3-27B,Gemma-3-27B-Instruct,lm_head,5376,262208,1,24,0.004464285714285714,272960,263424,0.9650644783118406,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.968187995571109,0.9691814148678816,0.01943701742618237,0.05005785399644697,2.5753876172903576,0.5050357408921238,0.01943701742618237,0.09911744841666441,0.032442591648105645,0.01277251391050981,0.9872274860894902,0.03196127176123745,0.06219100327045689,0.11062398333849813,1.9458237999741295,1,1,0.03286232616619508
Gemma-3-27B,Gemma-3-27B-Instruct,lm_head,5376,262208,2,49,0.009114583333333334,540544,532224,0.9846080985081695,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9684197536031018,0.9693758821769034,0.026580652389339838,0.05605205172057332,2.1087537995513226,0.5655114474390506,0.026580652389339838,0.09911744841666441,0.032442591648105645,0.01277251391050981,0.9872274860894902,0.039013664547456375,0.0681086400207695,0.11062398333849813,1.7457637166568107,1,1,0.03286232616619508
Gemma-3-27B,Gemma-3-27B-Instruct,lm_head,5376,262208,4,99,0.018415178571428572,1075712,1069824,0.9945264159923846,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9687176337455842,0.9695553885422602,0.03576241399806887,0.06158509813387897,1.7220621107178193,0.6213345795080495,0.03576241399806887,0.09911744841666441,0.032442591648105645,0.01277251391050981,0.9872274860894902,0.04807815197831493,0.0735710155217937,0.11062398333849813,1.5302380082116511,1,1,0.03286232616619508
