model_a,model_b,matrix_kind,hidden_dim,vocab,baseline_rank_w,baseline_w_params,baseline_w_gain,identity_R2,delta_over_Yc_energy,full_affine_gain_over_delta,residual_gain_over_delta,same_budget_hybrid_gain,same_budget_rank_affine,same_budget_rank_residual_w,same_budget_hybrid_params,same_budget_mode,same_budget_gain_over_w,same_budget_param_ratio,match_hybrid_params,match_rank_affine,match_rank_residual_w,match_hybrid_gain,match_mode,match_param_ratio_over_w,match_param_saving
Gemma-2-9B,Gemma-2-9B-Instruct,lm_head,3584,256000,32,8310272,0.25481271743774414,0.9878627279082711,0.01213727209172885,0.26866272928414836,0.7313366621629243,0.2929174192249775,507,18,8310272,decomposed_hybrid,1.1495400314803483,1.0,1375744,119,2,0.25491960532963276,decomposed_hybrid,0.16554740927854106,0.8344525907214589
Gemma-2-9B,Gemma-2-9B-Instruct,lm_head,3584,256000,64,16616960,0.284685879945755,0.9878627279082711,0.01213727209172885,0.26866272928414836,0.7313366621629243,0.3128402344882488,724,44,16614912,decomposed_hybrid,1.098896209913391,0.9998767524264366,5885440,386,12,0.28469984605908394,decomposed_hybrid,0.35418271452780775,0.6458172854721922
Qwen2.5-32B,Qwen2.5-32B-Instruct,lm_head,5120,152064,1,162304,0.3846670389175415,0.9994232718752262,0.0005767281247738047,0.5145947166327168,0.48539259079541425,0.4186153709888458,15,0,158720,decomposed_hybrid,1.0882538107939672,0.9779179810725552,46080,4,0,0.38765865564346313,decomposed_hybrid,0.28391167192429023,0.7160883280757098
Qwen2.5-32B,Qwen2.5-32B-Instruct,lm_head,5120,152064,2,319488,0.4138975143432617,0.9994232718752262,0.0005767281247738047,0.5145947166327168,0.48539259079541425,0.4564078152179718,15,1,315904,decomposed_hybrid,1.1027073113549906,0.9887820512820513,138240,13,0,0.41555255651474,decomposed_hybrid,0.4326923076923077,0.5673076923076923
Qwen2.5-32B,Qwen2.5-32B-Instruct,lm_head,5120,152064,4,633856,0.4426300823688507,0.9994232718752262,0.0005767281247738047,0.5145947166327168,0.48539259079541425,0.4826575741171837,30,2,626688,decomposed_hybrid,1.0904310243310065,0.9886914378029079,254464,9,1,0.4449484348297119,decomposed_hybrid,0.401453957996769,0.598546042003231
Qwen2.5-32B,Qwen2.5-32B-Instruct,lm_head,5120,152064,8,1262592,0.4723128378391266,0.9994232718752262,0.0005767281247738047,0.5145947166327168,0.48539259079541425,0.5101340934634209,76,3,1254912,decomposed_hybrid,1.080076704663227,0.9939172749391727,479744,31,1,0.47280487418174744,decomposed_hybrid,0.3799675587996756,0.6200324412003244
Qwen2.5-32B,Qwen2.5-32B-Instruct,lm_head,5120,152064,16,2520064,0.5036322474479675,0.9994232718752262,0.0005767281247738047,0.5145947166327168,0.48539259079541425,0.5378594845533371,122,8,2511872,decomposed_hybrid,1.067960773518391,0.9967492889069484,1070592,58,3,0.504009060561657,decomposed_hybrid,0.42482730597318163,0.5751726940268184
Qwen2.5-32B,Qwen2.5-32B-Instruct,lm_head,5120,152064,32,5035008,0.5411148071289062,0.9994232718752262,0.0005767281247738047,0.5145947166327168,0.48539259079541425,0.5686172693967819,199,19,5029376,decomposed_hybrid,1.0508255584684525,0.9988814317673378,2720256,127,9,0.5411449670791626,decomposed_hybrid,0.540268456375839,0.459731543624161
Qwen2.5-32B,Qwen2.5-32B-Instruct,lm_head,5120,152064,64,10064896,0.5865811109542847,0.9994232718752262,0.0005767281247738047,0.5145947166327168,0.48539259079541425,0.6060627549886703,291,45,10058240,decomposed_hybrid,1.0332121912393186,0.9993386916268185,7137280,236,30,0.5866069570183754,decomposed_hybrid,0.7091260555499034,0.2908739444500966
Gemma-2-2B,Gemma-2-2B-Instruct,lm_head,2304,256000,1,260608,0.23200497031211853,0.9989458769818493,0.0010541230181506573,0.3685498521808143,0.631449765319352,0.30116820335388184,56,0,260352,decomposed_hybrid,1.2981109971425067,0.9990176817288802,39168,8,0,0.23655174672603607,decomposed_hybrid,0.15029469548133595,0.849705304518664
