model_a,model_b,matrix_kind,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,rank_affine_gain_over_w_gain,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,centered_delta_over_Yc_energy,mean_shift_over_raw_delta,centered_delta_over_raw_delta,w_rank_update_gain_over_raw,rank_affine_update_gain_over_raw,full_affine_update_gain_over_raw,rank_affine_gain_over_w_gain_raw,affine_wins_centered,affine_wins_raw
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,50,1879,0.91748046875,7701248,7698432,0.9996343449788917,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998102592810733,0.9997320867096734,0.6839231203631868,0.553700453446858,0.8095945830180795,0.9998068532374661,0.6839231203631868,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7210071898032829,0.6060630412909216,0.6061574574839129,0.8405783601912177,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,51,1917,0.93603515625,7855232,7854080,0.999853346151966,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998108545926807,0.9997321095976685,0.6849148117426278,0.5537385810882128,0.8084780349242799,0.9998756996270383,0.6849148117426278,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7218825298949594,0.6060966955645907,0.6061574574839129,0.8396057120994234,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,52,1954,0.9541015625,8009216,8005632,0.9995525155021415,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998114440872024,0.9997321276530078,0.685896812812438,0.5537686583184898,0.8073643848085946,0.9999300095355278,0.685896812812438,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7227493166032987,0.6061232439505642,0.6061574574839129,0.8386355130699514,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,53,1992,0.97265625,8163200,8161280,0.9997647981183849,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998120216790716,0.9997321417035072,0.6868589860179267,0.5537920641432902,0.8062674805405202,0.9999722730083053,0.6868589860179267,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7235986017734247,0.6061439036610863,0.6061574574839129,0.8376797608170113,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,54,2030,0.9912109375,8317184,8316928,0.9999692203515036,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998125927826529,0.9997321498921741,0.6878103508011352,0.5538057051176165,0.8051721008161113,0.9999969042679175,0.6878103508011352,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7244383466313672,0.6061559441930148,0.6061574574839129,0.836725370780875,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,55,2048,1.0,8471168,8390656,0.9904957616234267,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998131573084527,0.9997321509213508,0.6887507580803764,0.5538074195570127,0.8040752232353754,1.0,0.6887507580803764,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7252684195866129,0.6061574574839129,0.6061574574839129,0.8357698213709751,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,56,2048,1.0,8625152,8390656,0.9728125371007954,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998137075600189,0.9997321509213508,0.6896673868306009,0.5538074195570127,0.803006536385693,1.0,0.6896673868306009,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7260775038550544,0.6061574574839129,0.6061574574839129,0.8348385045199239,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,57,2048,1.0,8779136,8390656,0.9557496318544331,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998142427766556,0.9997321509213508,0.6905589698574719,0.5538074195570127,0.8019697719244976,1.0,0.6905589698574719,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.726864480917332,0.6061574574839129,0.6061574574839129,0.8339346238502643,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,58,2048,1.0,8933120,8390656,0.9392749677604242,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.999814777635318,0.9997321509213508,0.6914499565575966,0.5538074195570127,0.8009363719019651,1.0,0.6914499565575966,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7276509316175582,0.6061574574839129,0.6061574574839129,0.8330333009214089,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,59,2048,1.0,9087104,8390656,0.923358640992774,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998152981302532,0.9997321509213508,0.6923170156470175,0.5538074195570127,0.7999332777332389,1.0,0.6923170156470175,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.728416262040467,0.6061574574839129,0.6061574574839129,0.8321580517517853,0,0
