family,size,model_a,matrix_kind,rank_w,same_budget_gain_over_w,same_budget_mode,same_budget_rank_affine,same_budget_rank_residual_w,match_param_ratio_over_w,match_param_saving,match_mode,match_rank_affine,match_rank_residual_w,baseline_w_gain,same_budget_hybrid_gain,match_hybrid_gain
Qwen3,1.7B,Qwen3-1.7B-Base,lm_head,2,2.79405697853635,decomposed_hybrid,75.0,0.0,0.046242774566473986,0.953757225433526,decomposed_hybrid,3.0,0.0,0.06920953840017319,0.1933753937482834,0.07124865055084229
Qwen3,1.7B,Qwen3-1.7B-Base,lm_head,4,2.068507880132735,decomposed_hybrid,112.0,1.0,0.04971002485501243,0.9502899751449876,decomposed_hybrid,7.0,0.0,0.10648997873067856,0.22027536015957594,0.10658089071512222
Qwen3,1.7B,Qwen3-1.7B-Base,lm_head,8,1.6612653690447516,decomposed_hybrid,187.0,3.0,0.07800829875518672,0.9219917012448133,decomposed_hybrid,23.0,0.0,0.15244340896606445,0.2532489560544491,0.15355254709720612
Qwen3,1.7B,Qwen3-1.7B-Base,lm_head,16,1.4323521472068474,decomposed_hybrid,375.0,6.0,0.1662686877076412,0.8337313122923589,decomposed_hybrid,62.0,1.0,0.2019207775592804,0.2892216593027115,0.20226995926350355
Qwen3,1.7B,Qwen3-1.7B-Base,lm_head,32,1.314929771921711,decomposed_hybrid,639.0,15.0,0.24119754881595346,0.7588024511840465,decomposed_hybrid,177.0,3.0,0.25145310163497925,0.3306431695818901,0.25152207538485527
Qwen3,1.7B,Qwen3-1.7B-Base,lm_head,64,1.2259841435287813,decomposed_hybrid,1015.0,37.0,0.3583783503012674,0.6416216496987326,decomposed_hybrid,486.0,10.0,0.30988532304763794,0.3799144923686981,0.309915266931057
Qwen3,4B,Qwen3-4B-Base,lm_head,1,4.989307639485412,decomposed_hybrid,30.0,0.0,0.08149959250203749,0.9185004074979625,decomposed_hybrid,2.0,0.0,0.03096046671271324,0.154471293091774,0.04331992194056511
Qwen3,4B,Qwen3-4B-Base,lm_head,2,3.5158636189247097,decomposed_hybrid,60.0,0.0,0.05751848808545604,0.942481511914544,decomposed_hybrid,3.0,0.0,0.05140455812215805,0.1807314157485962,0.05801311880350113
Qwen3,4B,Qwen3-4B-Base,lm_head,4,2.3923753713280904,decomposed_hybrid,90.0,1.0,0.05363036303630363,0.9463696369636964,decomposed_hybrid,6.0,0.0,0.08619537204504013,0.2062116852030158,0.0866243913769722
Qwen3,4B,Qwen3-4B-Base,lm_head,8,1.8374415316284194,decomposed_hybrid,211.0,1.0,0.06821000413393964,0.9317899958660604,decomposed_hybrid,16.0,0.0,0.12820656597614288,0.23557206895202398,0.1297527402639389
Qwen3,4B,Qwen3-4B-Base,lm_head,16,1.5391404076694672,decomposed_hybrid,331.0,5.0,0.10448996482516036,0.8955100351748396,decomposed_hybrid,50.0,0.0,0.17364497482776642,0.2672639973461628,0.1739872694015503
Qwen3,4B,Qwen3-4B-Base,lm_head,32,1.3664704933924776,decomposed_hybrid,543.0,14.0,0.17873408549839562,0.8212659145016044,decomposed_hybrid,142.0,1.0,0.2219008207321167,0.3032209239900112,0.22195619251579046
Qwen3,4B,Qwen3-4B-Base,lm_head,64,1.2434108919334779,decomposed_hybrid,875.0,35.0,0.324959879898535,0.6750401201014651,decomposed_hybrid,416.0,7.0,0.2800915539264679,0.34826888889074326,0.2801138609647751
Qwen3,8B,Qwen3-8B-Base,lm_head,1,4.447351974196206,decomposed_hybrid,19.0,0.0,0.1278976818545164,0.8721023181454837,decomposed_hybrid,2.0,0.0,0.03033672831952572,0.13491810858249664,0.045977845788002014
Qwen3,8B,Qwen3-8B-Base,lm_head,2,2.889005121070799,decomposed_hybrid,38.0,0.0,0.09068825910931175,0.9093117408906882,decomposed_hybrid,3.0,0.0,0.0553119033575058,0.15979637205600739,0.061348993331193924
Qwen3,8B,Qwen3-8B-Base,lm_head,4,2.0301576834693624,decomposed_hybrid,57.0,1.0,0.097799511002445,0.902200488997555,decomposed_hybrid,7.0,0.0,0.09113317728042603,0.18501472007483244,0.09491144865751266
Qwen3,8B,Qwen3-8B-Base,lm_head,8,1.6607829286246716,decomposed_hybrid,114.0,2.0,0.10793131643499591,0.8920686835650041,decomposed_hybrid,16.0,0.0,0.1283809244632721,0.21321284770965576,0.12866665422916412
Qwen3,8B,Qwen3-8B-Base,lm_head,16,1.4355060642376114,decomposed_hybrid,209.0,5.0,0.16871416871416872,0.8312858312858313,decomposed_hybrid,51.0,0.0,0.1697004735469818,0.24360605888068676,0.17031486332416534
Qwen3,8B,Qwen3-8B-Base,lm_head,32,1.3016448322130962,decomposed_hybrid,361.0,13.0,0.25179303278688525,0.7482069672131147,decomposed_hybrid,115.0,2.0,0.2133452445268631,0.2776997350156307,0.21349428594112396
Qwen3,8B,Qwen3-8B-Base,lm_head,64,1.2061159837415691,decomposed_hybrid,609.0,32.0,0.38858138581385815,0.6114186141861419,decomposed_hybrid,321.0,8.0,0.2647053599357605,0.31926536560058594,0.2648037150502205
Qwen3,14B,Qwen3-14B-Base,lm_head,1,4.298023386564295,decomposed_hybrid,15.0,0.0,0.15785319652722968,0.8421468034727704,decomposed_hybrid,2.0,0.0,0.029341408982872963,0.12611006200313568,0.04693359136581421
