family,size,model_a,matrix_kind,stable_small_budget_gain,stable_small_budget_param_saving,stable_small_budget_both,min_gain_ratio_1_2_4_8,median_gain_ratio_1_2_4_8,max_match_param_ratio_1_2_4_8,median_match_param_ratio_1_2_4_8,gain_ratio_r1,gain_ratio_r2,gain_ratio_r4,gain_ratio_r8,match_param_ratio_r1,match_param_ratio_r2,match_param_ratio_r4,match_param_ratio_r8
Qwen3,8B,Qwen3-8B-Base,lm_head,True,True,True,1.6607829286246716,2.459581402270081,0.1278976818545164,0.10286541371872046,4.447351974196206,2.889005121070799,2.0301576834693624,1.6607829286246716,0.1278976818545164,0.09068825910931175,0.097799511002445,0.10793131643499591
Qwen3,14B,Qwen3-14B-Base,lm_head,True,True,True,1.74079808580445,2.541787061938003,0.15785319652722968,0.11498212593340901,4.298023386564295,2.8798863111788937,2.2036878126971122,1.74079808580445,0.15785319652722968,0.11226944667201283,0.10509296685529507,0.1176948051948052
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,lm_head,True,True,True,1.5778056290215896,2.3124361164779996,0.12775782452539763,0.03537095418242959,4.265433273817615,2.637307895959579,1.9875643369964207,1.5778056290215896,0.02044989775051125,0.02663934426229508,0.0441025641025641,0.12775782452539763
Qwen3.5,2B,Qwen3.5-2B-Base,lm_head,True,True,True,1.7865812044905545,2.4512703052333267,0.09499489274770173,0.06003021898414538,3.454377621262757,2.6914245646865793,2.2111160457800745,1.7865812044905545,0.056795131845841784,0.05295315682281059,0.06326530612244897,0.09499489274770173
Qwen3.5,4B,Qwen3.5-4B-Base,lm_head,True,True,True,1.7825106917303417,2.287268198046934,0.11337579617834395,0.07479373891587632,3.0351746431888613,2.449906967676236,2.124629428417632,1.7825106917303417,0.0707070707070707,0.06598984771573604,0.07888040712468193,0.11337579617834395
Qwen3.5,9B,Qwen3.5-9B-Base,lm_head,True,True,True,1.9726326355721193,2.8953710302038753,0.08299595141700405,0.07426359402407307,5.037448132677084,3.318737039196317,2.4720050212114337,1.9726326355721193,0.07984031936127745,0.056338028169014086,0.06868686868686869,0.08299595141700405
Llama-3.1,8B,Llama-3.1-8B,lm_head,True,True,True,1.6910674618975488,2.3029381358758565,0.150093808630394,0.11731182437804874,2.818452030126286,2.573233859171655,2.032642412580058,1.6910674618975488,0.150093808630394,0.10666666666666667,0.11516314779270634,0.11946050096339114
Llama-3.1,70B,Llama-3.1-70B-Base,lm_head,True,True,True,1.5848184519699635,1.8981664986946152,0.2831858407079646,0.1981219424327209,2.181659032390035,2.0030764170950217,1.7932565802942086,1.5848184519699635,0.2831858407079646,0.2040072859744991,0.1922365988909427,0.186219739292365
Llama-3.2,1B,Llama-3.2-1B,lm_head,True,True,True,2.1264909920154103,2.64537602159835,0.10831721470019343,0.06547987616099071,3.041650124032931,2.803685202131758,2.4870668410649417,2.1264909920154103,0.10831721470019343,0.07017543859649122,0.05870841487279843,0.060784313725490195
Llama-3.2,3B,Llama-3.2-3B,lm_head,True,True,True,2.099964679536683,2.488135889288106,0.11428571428571428,0.09721262576046108,2.8729346948798744,2.61472578695096,2.3615459916252526,2.099964679536683,0.11428571428571428,0.10404624277456648,0.0872093023255814,0.09037900874635568
Gemma-2,2B,Gemma-2-2B,lm_head,True,True,True,1.2096141039399695,1.2968734547894276,0.2872682323856613,0.21631764643468354,1.2981109971425067,1.4753774475239771,1.2956359124363486,1.2096141039399695,0.15029469548133595,0.21756290083867785,0.2872682323856613,0.21507239203068926
Gemma-2,9B,Gemma-2-9B,lm_head,True,True,True,1.3454929015519965,1.6830698093212262,0.06809338521400778,0.05070048788389911,2.600279252627855,1.8233151333701678,1.5428244852722848,1.3454929015519965,0.06809338521400778,0.047992164544564155,0.04471744471744472,0.053408811223234064
Gemma-2,27B,Gemma-2-27B,lm_head,True,True,True,1.351082041768585,1.873475963283151,0.12129380053908356,0.08084460639472865,2.9968820718030944,2.1203350135265153,1.6266169130397865,1.351082041768585,0.08687258687258688,0.06134371957156767,0.07481662591687041,0.12129380053908356
Gemma-3,4B,Gemma-3-4B,lm_head,True,True,True,1.550417430493973,2.363108661757514,0.04788125448886761,0.04041756957639673,4.315498278306249,2.7397465395225735,1.9864707839924551,1.550417430493973,0.04788125448886761,0.03367813326918451,0.03617072582589824,0.04466441332689522
Gemma-3,12B,Gemma-3-12B,lm_head,True,True,True,1.4265232893602597,1.778441091312415,0.08464401488774162,0.06613119271832883,2.179419558000403,1.9322477159789053,1.6246344666459247,1.4265232893602597,0.0711406212947593,0.050155242417005017,0.06112176414189837,0.08464401488774162
Gemma-3,27B,Gemma-3-27B,lm_head,True,True,True,1.5133634205120734,1.924974636238972,0.0984759671746776,0.0838259423621035,2.575388285517944,2.1087540842468164,1.7411951882311274,1.5133634205120734,0.0984759671746776,0.06961875443997158,0.07496430271299381,0.09268758201121317
