model_a,model_b,bootstrap,align_mode,n_tokens,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos,gcorr_E_euc,gcorr_E_euc2,gcorr_U_cos,gcorr_U_euc,gcorr_U_euc2
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,84,string,20000,5000000,2048,2048,151936,248320,False,False,0.37902269720386955,0.7108105914129218,0.7170126535550038,0.7333029688998282,0.7678003440943271,0.7867091087738766
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,81,string,20000,5000000,2048,2048,151936,248320,False,False,0.37813663099091793,0.7059378072412827,0.712456274895486,0.7360474705389779,0.7633624321207623,0.781649739318039
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,83,string,20000,5000000,2048,2048,151936,248320,False,False,0.3773872878691163,0.7010561761826838,0.708177804730838,0.7281715646238855,0.7697245402075865,0.7880350026180312
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,85,string,20000,5000000,2048,2048,151936,248320,False,False,0.38104535510587206,0.7061005972197393,0.7128388816516789,0.7379760890696629,0.7670399346679779,0.7844319041323774
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,87,string,20000,5000000,2048,2048,151936,248320,False,False,0.37892272143232764,0.7032230348984712,0.70997553236432,0.7303731918137945,0.7634417010200609,0.782184621363613
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,89,string,20000,5000000,2048,2048,151936,248320,False,False,0.38262073797349105,0.7171824186578224,0.722742695547641,0.7398389995593431,0.7723705355220903,0.7894996176520905
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,92,string,20000,5000000,2048,2048,151936,248320,False,False,0.3793223116282146,0.7080880446654949,0.7149230558999726,0.7329056651142305,0.7668831979307917,0.7849652335371418
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,91,string,20000,5000000,2048,2048,151936,248320,False,False,0.3794893575837443,0.7102998452666043,0.7171339187205225,0.7365180905530758,0.7646326282180601,0.7827033116822963
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,90,string,20000,5000000,2048,2048,151936,248320,False,False,0.3794498321387836,0.7145265866963286,0.7200528945730392,0.7312685291401702,0.7677968140844337,0.7854706906589403
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,86,string,20000,5000000,2048,2048,151936,248320,False,False,0.37830469623740925,0.7116306972138944,0.7173635341774983,0.7383767128731852,0.7701595256065753,0.7879953677816213
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,88,string,20000,5000000,2048,2048,151936,248320,False,False,0.3783725427524249,0.7013885213599389,0.7079612287307449,0.7321515415243135,0.7618718718734795,0.780919541564675
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,93,string,20000,5000000,2048,2048,151936,248320,False,False,0.37816006863839957,0.7074330529995975,0.7144140002333049,0.7347808857895908,0.7671172665829877,0.7851054910903256
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,94,string,20000,5000000,2048,2048,151936,248320,False,False,0.3784583857115159,0.7057715382186628,0.7125986954739602,0.7318830106025369,0.7673062819393545,0.7853986061716253
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,95,string,20000,5000000,2048,2048,151936,248320,False,False,0.3795919996918538,0.7092898914214962,0.7157061369309022,0.7384449639752774,0.7708805914996838,0.7881670434041559
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,96,string,20000,5000000,2048,2048,151936,248320,False,False,0.37594552709634754,0.704885141844785,0.7119555757410798,0.7242956155626468,0.7615341318812627,0.7816258509489168
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,97,string,20000,5000000,2048,2048,151936,248320,False,False,0.37878363440812735,0.6981632045752106,0.7047366367738707,0.7273946583526256,0.7706891973861347,0.7886277690741217
