model_a,model_b,bootstrap,align_mode,n_tokens,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos,gcorr_E_euc,gcorr_E_euc2,gcorr_U_cos,gcorr_U_euc,gcorr_U_euc2
DeepSeek-V3.1,DeepSeek-V3.2-Speciale,93,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999238878066098,0.9999827997896348,0.9999814424588235,0.9999450439702474,0.999986527240415,0.9999855376986531
DeepSeek-V3.1,DeepSeek-V3.2-Speciale,96,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999240371144816,0.9999829600376702,0.9999815818326235,0.9999462062137959,0.9999867781509906,0.9999858495492995
DeepSeek-V3.1,DeepSeek-V3.2-Speciale,94,id,20000,5000000,7168,7168,129280,129280,False,False,0.999924343282412,0.9999824544694659,0.9999810243950388,0.9999457851216038,0.9999870720216251,0.9999861302238149
DeepSeek-V3.1,DeepSeek-V3.2-Speciale,97,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999245466931382,0.9999831963462785,0.9999817682794258,0.9999462140150162,0.9999868668340073,0.9999858932400263
DeepSeek-V3.1,DeepSeek-V3.2-Speciale,95,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999243740066481,0.9999827152619972,0.999981328319671,0.9999462687973002,0.9999869848587772,0.9999859691864428
DeepSeek-V3.1,DeepSeek-V3.2-Speciale,98,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999244804756512,0.9999829129963921,0.9999815070178517,0.999945047062838,0.9999867933149289,0.9999858675693458
DeepSeek-V3.1,DeepSeek-V3.2-Speciale,99,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999245789080502,0.9999825770812397,0.9999812078282172,0.9999460071627362,0.9999869104429173,0.9999859472864883
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,1,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975378165595,0.9999998354050104,0.9999998167618884,0.9999931019297892,0.9999991492680501,0.9999991081296319
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,3,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975579299355,0.999999837263577,0.9999998191832877,0.999993064000778,0.9999991853878585,0.9999991499110755
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,4,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975398976673,0.9999998334949746,0.9999998152675703,0.9999929824551081,0.9999991597215139,0.9999991263558654
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,6,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975535610927,0.9999998372144855,0.9999998185344989,0.9999930127960939,0.9999991662611618,0.9999991306055064
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,2,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975395257639,0.9999998336535529,0.9999998154683786,0.9999930323742726,0.9999991712912583,0.9999991328295206
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,5,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975367109475,0.9999998362713675,0.9999998176538729,0.9999929733331279,0.9999991554033479,0.9999991126110445
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,7,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975628965488,0.9999998361957245,0.9999998176054739,0.9999930216914761,0.9999991712462487,0.9999991351516532
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,0,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975453598755,0.9999998352587797,0.9999998170298453,0.999993081600354,0.9999991615855504,0.9999991236830296
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,8,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975532389008,0.999999839214712,0.9999998211584477,0.9999929985696642,0.9999991565611364,0.9999991159611942
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,9,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975310487024,0.9999998362286286,0.9999998176192104,0.9999932247711746,0.9999991352951583,0.9999990957306034
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,11,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975448049102,0.9999998360168073,0.9999998182975086,0.9999931403829149,0.9999991756192799,0.9999991373421871
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,13,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975149387175,0.9999998306728046,0.9999998122194554,0.999992904030414,0.9999991480745822,0.9999991081289049
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,12,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975212415961,0.999999835092088,0.9999998167128278,0.999993140679087,0.9999991636068449,0.9999991272518041
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,10,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975472972858,0.9999998406181368,0.9999998225279211,0.9999930403878358,0.9999991747690956,0.9999991346093331
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,14,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975367396553,0.9999998362408227,0.9999998174547605,0.9999931907450406,0.9999991578876742,0.9999991149339312
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,15,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975415656002,0.9999998378008413,0.9999998201517798,0.9999930968639145,0.9999991474136484,0.999999110547465
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,20,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975375104593,0.9999998398794937,0.9999998217131346,0.9999930306342895,0.9999991795723263,0.9999991433527747
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,21,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975181003999,0.9999998344100793,0.9999998157850993,0.999993117672025,0.9999991556662782,0.9999991143701091
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,17,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975523632617,0.9999998418206029,0.9999998239656155,0.9999931123940095,0.9999991989685811,0.9999991620971516
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,19,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975157164473,0.9999998371039542,0.9999998195933167,0.999993035462581,0.9999991356128469,0.9999990956656093
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,16,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975660082518,0.9999998376527626,0.9999998196870363,0.9999930182692849,0.9999991282405554,0.9999990891383083
