model,model_group,matrix,mean,var,min,max,tied,vocab_size,hidden_dim
Qwen3-235B-A22B,qwen3,E,0.9924856424331665,0.057551782578229904,0.00138894806150347,1.6247628927230835,False,151936,4096
Qwen3-235B-A22B,qwen3,U,1.3138353824615479,0.06132381409406662,0.22359779477119446,2.1080620288848877,False,151936,4096
Qwen3-32B,qwen3,E,1.2745392322540283,0.09721522033214569,0.004637654405087233,2.508678913116455,False,151936,5120
Qwen3-32B,qwen3,U,1.3555335998535156,0.0670214593410492,0.3374086916446686,2.348503589630127,False,151936,5120
Qwen3.5-122B-A10B-Instruct,qwen3.5_moe,E,0.6591871976852417,0.014121408574283123,2.3919727027532645e-05,1.002873420715332,False,248320,3072
Qwen3.5-122B-A10B-Instruct,qwen3.5_moe,U,0.8457857966423035,0.009932543151080608,0.37210366129875183,1.378379225730896,False,248320,3072
Qwen3.5-27B-Instruct,qwen3.5_dense,E,0.8780957460403442,0.02273286134004593,4.198170699964976e-06,1.1719727516174316,False,248320,5120
Qwen3.5-27B-Instruct,qwen3.5_dense,U,0.9822753667831421,0.015668191015720367,0.3673464357852936,1.7411727905273438,False,248320,5120
Qwen3.5-397B-A17B-Instruct,qwen3.5_moe,E,0.7368923425674438,0.018553679808974266,0.0006644553504884243,1.1203683614730835,False,248320,4096
Qwen3.5-397B-A17B-Instruct,qwen3.5_moe,U,1.184456467628479,0.021527443081140518,0.2922397553920746,1.9190384149551392,False,248320,4096
Qwen3.6-35B-A3B,qwen3.6,E,0.5547002553939819,0.005988079588860273,0.00045791466254740953,0.785923957824707,False,248320,2048
Qwen3.6-35B-A3B,qwen3.6,U,0.826122522354126,0.008568916469812393,0.38973352313041687,1.6329734325408936,False,248320,2048
