family,size,model_a,model_b,tie_word_embeddings,hidden_dim,vocab,E_U_same_matrix,E_identity_R2,E_full_affine_R2,E_delta_R2,E_delta_over_Yc,E_P_over_D_full_affine_gain,E_R_over_D,E_mean_shift_over_raw_delta,E_D_rank95_over_h,E_P_rank95_over_h,E_AminusI_rank95_over_h,E_R_rank95_over_h,E_D_eff_over_h,E_P_eff_over_h,E_AminusI_eff_over_h,E_R_eff_over_h,E_D_energy_5pct_h,E_P_energy_5pct_h,E_AminusI_energy_5pct_h,E_R_energy_5pct_h,E_aff_vs_W_ratio_r1,E_aff_vs_W_ratio_r2,E_aff_vs_W_ratio_r4,E_aff_vs_W_ratio_r8,E_aff_vs_W_ratio_r16,E_aff_vs_W_ratio_r32,E_aff_vs_W_ratio_r64,E_aff_rank_budget_r1,E_aff_rank_budget_r8,E_boundary_rank_w_first_3_losses,E_hybrid_stable_small_budget_both,E_hybrid_min_gain_ratio_1_2_4_8,E_hybrid_median_gain_ratio_1_2_4_8,E_hybrid_median_match_param_ratio_1_2_4_8,U_identity_R2,U_full_affine_R2,U_delta_R2,U_delta_over_Yc,U_P_over_D_full_affine_gain,U_R_over_D,U_mean_shift_over_raw_delta,U_D_rank95_over_h,U_P_rank95_over_h,U_AminusI_rank95_over_h,U_R_rank95_over_h,U_D_eff_over_h,U_P_eff_over_h,U_AminusI_eff_over_h,U_R_eff_over_h,U_D_energy_5pct_h,U_P_energy_5pct_h,U_AminusI_energy_5pct_h,U_R_energy_5pct_h,U_aff_vs_W_ratio_r1,U_aff_vs_W_ratio_r2,U_aff_vs_W_ratio_r4,U_aff_vs_W_ratio_r8,U_aff_vs_W_ratio_r16,U_aff_vs_W_ratio_r32,U_aff_vs_W_ratio_r64,U_aff_rank_budget_r1,U_aff_rank_budget_r8,U_boundary_rank_w_first_3_losses,U_hybrid_stable_small_budget_both,U_hybrid_min_gain_ratio_1_2_4_8,U_hybrid_median_gain_ratio_1_2_4_8,U_hybrid_median_match_param_ratio_1_2_4_8,U_minus_E_full_affine_gain,U_over_E_full_affine_gain,U_minus_E_aff_vs_W_ratio_r1,U_minus_E_hybrid_min_gain_ratio
Qwen3,8B,Qwen3-8B-Base,Qwen3-8B,False,4096,151936,False,0.9953341716367314,0.9956756081056806,0.00034143646894913005,0.004665828363268554,0.0731781030860501,0.9268199699390529,0.001025645087777478,0.725341796875,0.5947265625,0.558349609375,0.72216796875,0.5364761925989463,0.5183142239367415,0.41849617525872673,0.5260679449840057,0.28411728143692017,0.26311251521110535,0.3427428603172302,0.2890694737434387,0.5358647273140917,0.4653177746741724,0.49514851637809154,0.5159211846217495,0.5264876797647466,0.49940077727444715,0.42895319090866324,19,152,1,False,1.0,1.0,1.0,0.9916613926048998,0.994231386317553,0.002569993712653207,0.008338607395100202,0.30820418696811974,0.6917934112856481,0.05208878651495519,0.82275390625,0.487060546875,0.462646484375,0.860595703125,0.34164823193525334,0.08478917071662849,0.018736745691738138,0.6758077519830431,0.4105552136898041,0.701643168926239,0.774347722530365,0.24795959889888763,4.447351932175511,2.889005136858823,2.01778667457364,1.6076088178315915,1.3500551952799948,1.1816665718763348,1.0430672636389118,19,152,82,True,1.6607829286246716,2.459581402270081,0.10286541371872046,0.23502608388206964,4.211699592782591,3.9114872048614195,0.6607829286246716
Qwen3,14B,Qwen3-14B-Base,Qwen3-14B,False,5120,151936,False,0.995181645320977,0.9955615089847863,0.00037986366380937664,0.0048183546790230795,0.07883679992740748,0.9211614351481087,0.0010665209474126404,0.55859375,0.4638671875,0.3966796875,0.5587890625,0.3626955222452118,0.3745486116027852,0.28352010292183,0.3543396442895067,0.40855878591537476,0.3616572618484497,0.45386937260627747,0.4159596562385559,0.515699803746039,0.43987224460969304,0.46807574390931195,0.47554995883558404,0.46204005666813186,0.41637936717981083,0.34167437834390196,15,122,1,False,1.0,1.0,1.0,0.9907810132168415,0.9937198291009526,0.0029388158841110457,0.009218986783158512,0.31877861995417894,0.6812195201632297,0.04812386371689002,0.8130859375,0.4423828125,0.42890625,0.8548828125,0.31910038630820364,0.07139896120913228,0.02709125490103994,0.6582045403347878,0.4348185658454895,0.7308958172798157,0.7803269624710083,0.2664433419704437,4.298023864584027,2.879886399284339,2.203687931792225,1.7316487518436252,1.4301171769083691,1.2067126090264755,1.0347022647087873,15,122,76,True,1.74079808580445,2.541787061938003,0.11498212593340901,0.23994182002677145,4.043525615546403,3.782324060837988,0.7407980858044501
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,True,1024,248320,True,0.9975700738204689,0.9978601038593179,0.00029003003884897627,0.0024299261795311103,0.11935755139071841,0.8806424090806964,0.02854861822704608,0.8515625,0.4697265625,0.4736328125,0.8662109375,0.6262705978249011,0.13324873362235948,0.11992288905600272,0.766706868326627,0.2723273038864136,0.6780125498771667,0.6928040385246277,0.20172283053398132,4.265433678628369,2.602424011917603,1.811480621451709,1.257404083990151,0.8681598297909044,0.6070603784350297,0.4290713123547927,121,974,13,True,1.5778056290215896,2.3124361164779996,0.03537095418242959,0.9975700738204689,0.9978601038593179,0.00029003003884897627,0.0024299261795311103,0.11935755139071841,0.8806424881378668,0.02854861822704608,0.8515625,0.4697265625,0.4736328125,0.8662109375,0.6262705978249011,0.1332487971603221,0.11992288905600272,0.7667065027323899,0.2723273038864136,0.6780125498771667,0.6928040385246277,0.20172283053398132,4.265433678628369,2.602424011917603,1.811480621451709,1.257404083990151,0.8681598297909044,0.6070603784350297,0.4290713123547927,121,974,13,True,1.5778056290215896,2.3124361164779996,0.03537095418242959,0.0,1.0,0.0,0.0
Qwen3.5,2B,Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,True,2048,248320,True,0.9961489055099909,0.9965920495136669,0.00044314400367595486,0.0038510944900091095,0.11506962626484923,0.8849301926131902,0.03718994244486025,0.8486328125,0.46337890625,0.46337890625,0.86376953125,0.5895644039641186,0.13199194519191904,0.12960389074700313,0.7613997105879934,0.2732696533203125,0.6555432081222534,0.6698179841041565,0.20050852000713348,3.454377389571667,2.6914248542879027,2.1187751365960645,1.6336571175555776,1.2268668342648803,0.8812360654619031,0.605413140068109,61,489,25,True,1.7865812044905545,2.4512703052333267,0.06003021898414538,0.9961489055099909,0.9965920495136669,0.00044314400367595486,0.0038510944900091095,0.11506962626484923,0.8849302680392162,0.03718994549681673,0.8486328125,0.46337890625,0.46337890625,0.86376953125,0.5895644039641186,0.13199188225327,0.12960389074700313,0.7614000736517542,0.27326950430870056,0.6555432081222534,0.6698179841041565,0.20050852000713348,3.454377389571667,2.6914248542879027,2.1187751365960645,1.6336571175555776,1.2268668342648803,0.8812360654619031,0.605413140068109,61,489,25,True,1.7865812044905545,2.4512703052333267,0.06003021898414538,0.0,1.0,0.0,0.0
Qwen3.5,4B,Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,True,2560,248320,True,0.9967907101000678,0.997175886644525,0.0003851765444571331,0.0032092898999321936,0.12001924303107303,0.8799782269513602,0.029697593911453674,0.8484375,0.452734375,0.459375,0.86328125,0.5937531101050065,0.1295255554960404,0.13498829013492747,0.7553682080470105,0.2739056944847107,0.6428479552268982,0.6483452320098877,0.2067493200302124,3.035174200719873,2.449906958584335,2.0661951038085498,1.6698689148824992,1.3086848129395592,0.9794839099172171,0.6910482210104442,49,392,31,True,1.7825106917303417,2.287268198046934,0.07479373891587632,0.9967907101000678,0.997175886644525,0.0003851765444571331,0.0032092898999321936,0.12001924303107303,0.8799782269513602,0.029697593911453674,0.8484375,0.452734375,0.459375,0.86328125,0.5937539594762511,0.1295255554960404,0.13498829013492747,0.7553678478594668,0.27390527725219727,0.6428479552268982,0.6483452320098877,0.2067493200302124,3.035174200719873,2.449906958584335,2.0661951038085498,1.6698689148824992,1.3086848129395592,0.9794839099172171,0.6910482210104442,49,392,31,True,1.7825106917303417,2.287268198046934,0.07479373891587632,0.0,1.0,0.0,0.0
Qwen3.5,9B,Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,False,4096,248320,False,0.9985479709321446,0.9985904528687036,4.248193655898014e-05,0.0014520290678553445,0.029256946365186928,0.9707420596505786,0.00014351091645313038,0.87548828125,0.625244140625,0.62451171875,0.874267578125,0.7890533938841842,0.5772975587213501,0.5920556529056361,0.7871766369647472,0.18647752702236176,0.22278106212615967,0.2058858722448349,0.18715710937976837,0.35165888071295703,0.3281176766021699,0.32779976686205886,0.3376871058520558,0.3435271684692358,0.33125892484840863,0.28786027681934306,30,246,1,False,1.0,1.0,1.0,0.9977631099964671,0.9982332054347849,0.00047009543831777467,0.0022368900035329075,0.21015581346213347,0.7898413223086103,0.037209425386355154,0.814208984375,0.363037109375,0.37548828125,0.8447265625,0.43120271464921583,0.08557593980417287,0.07276670865830433,0.6744424696290898,0.37096312642097473,0.7319473624229431,0.7499961853027344,0.2531294822692871,5.037449228517103,3.3187370234643145,2.472005024170477,1.95319609131454,1.5442269884914392,1.216541495752175,0.9541629759273859,30,246,57,True,1.9726326355721193,2.8953710302038753,0.07426359402407307,0.18089886709694653,7.183108272440884,4.685790347804145,0.9726326355721193
Llama-3.1,8B,Llama-3.1-8B,Llama-3.1-8B-Instruct,False,4096,128256,False,0.9983613904442429,0.9984405298260309,7.913938178805147e-05,0.00163860955575709,0.048296668056131815,0.9517025422459094,0.0002464371180909272,0.890380859375,0.61376953125,0.607666015625,0.88916015625,0.8688705918577491,0.5793382061754869,0.580856805441598,0.8676202767835346,0.14328151941299438,0.20749276876449585,0.2007552832365036,0.14360570907592773,0.2556009439841447,0.254387804454544,0.2893712540795277,0.3318667365930379,0.38126541904260974,0.422447932541443,0.43832493333679035,16,129,1,False,1.0,1.0,1.0,0.9958805526042451,0.9975749045071948,0.0016943519029496423,0.004119447395754818,0.41130562917143865,0.5886915307001286,0.08995717648417684,0.681396484375,0.25537109375,0.262451171875,0.785888671875,0.13271279210545966,0.04067282318071042,0.053157863957686735,0.4255822114443944,0.6086203455924988,0.8283380270004272,0.8185967803001404,0.40073370933532715,2.818451830218981,2.5732336134875617,2.030645992244627,1.6472094873683745,1.3224683846928653,1.0800586839209183,0.916513084443558,16,129,44,True,1.6910674618975488,2.3029381358758565,0.11731182437804874,0.36300896111530684,8.516231982989119,2.5628508862348367,0.6910674618975488
Llama-3.1,70B,Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,False,8192,128256,False,0.9984301656151496,0.998559587945804,0.0001294223306543829,0.0015698343848503684,0.08244330223834276,0.9175554845830389,0.00022219872935090782,0.8558349609375,0.578369140625,0.5587158203125,0.853759765625,0.7712371220882216,0.5200962777891647,0.5062133413625489,0.7689054127928462,0.1912163645029068,0.25079861283302307,0.25083088874816895,0.19163550436496735,0.35930798036933626,0.34741708018316547,0.3740329165806154,0.384440808018602,0.39224808692795754,0.4001774288314566,0.4102775617250525,8,66,1,False,1.0,1.0,1.0,0.9950256673885755,0.9974053026118898,0.0023796352233143026,0.004974332611424567,0.4783828121684043,0.5216144684134787,0.06884954297182258,0.591796875,0.1982421875,0.1424560546875,0.72998046875,0.09134692118906906,0.025836052547106764,0.026050696465760297,0.34777899187483124,0.6638154983520508,0.8537687063217163,0.890550434589386,0.4546639025211334,2.1816592356163937,2.003076393612503,1.7932565882461635,1.5702926330760514,1.3399489385654553,1.1482288977347925,1.0149001075412658,8,66,70,True,1.5848184519699635,1.8981664986946152,0.1981219424327209,0.39593950993006155,5.802567330277533,1.8223512552470575,0.5848184519699635
Llama-3.2,1B,Llama-3.2-1B,Llama-3.2-1B-Instruct,True,2048,128256,True,0.9582858963221983,0.9753091795753769,0.01702328325317859,0.04171410367780169,0.4080941876317367,0.5919056667769039,0.15433992154679282,0.8173828125,0.55078125,0.63916015625,0.8828125,0.20522405361201093,0.12348875675107322,0.18798575656309743,0.7155669886199199,0.49393826723098755,0.6771169900894165,0.607408344745636,0.22209203243255615,3.041650080537484,2.8036849199055043,2.4384558752120604,2.03241437882848,1.665315543196342,1.3873340216085752,1.1719731114968148,31,254,109,True,2.1264909920154103,2.64537602159835,0.06547987616099071,0.9582858963221983,0.9753091795753769,0.01702328325317859,0.04171410367780169,0.4080941876317367,0.5919056667769039,0.15433992154679282,0.8173828125,0.55078125,0.63916015625,0.8828125,0.20522464076357796,0.1234888156351151,0.18798566692452487,0.7155669886199199,0.49393755197525024,0.6771169900894165,0.6074082851409912,0.22209203243255615,3.041650080537484,2.8036849199055043,2.4384558752120604,2.03241437882848,1.665315543196342,1.3873340216085752,1.1719731114968148,31,254,109,True,2.1264909920154103,2.64537602159835,0.06547987616099071,0.0,1.0,0.0,0.0
Llama-3.2,3B,Llama-3.2-3B,Llama-3.2-3B-Instruct,True,3072,128256,True,0.9657056778564524,0.9795068252828063,0.013801147426353855,0.03429432214354759,0.40243243090170117,0.5975675146395901,0.1263923548003308,0.8157552083333334,0.5364583333333334,0.6331380208333334,0.876953125,0.22592770818340777,0.12419674135651233,0.20203483870956204,0.7005371520468039,0.4747985601425171,0.6657435297966003,0.5818513035774231,0.23066851496696472,2.872934363057566,2.6147252302764037,2.3413505134815793,2.025557471128735,1.7145041203786018,1.4426800926838776,1.2368040492010268,21,171,,True,2.099964679536683,2.488135889288106,0.09721262576046108,0.9657056778564524,0.9795068252828063,0.013801147426353855,0.03429432214354759,0.40243243090170117,0.5975675690982989,0.1263923548003308,0.8157552083333334,0.5364583333333334,0.6331380208333334,0.876953125,0.2259283545686904,0.12419674135651233,0.20203483870956204,0.7005371520468039,0.47479793429374695,0.6657435297966003,0.5818513035774231,0.23066851496696472,2.872934363057566,2.6147252302764037,2.3413505134815793,2.025557471128735,1.7145041203786018,1.4426800926838776,1.2368040492010268,21,171,,True,2.099964679536683,2.488135889288106,0.09721262576046108,0.0,1.0,0.0,0.0
