model_a,model_b,source_tasks,align_mode,n_common,n_fit,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,R2_E,rel_err_E,norm_A_E,norm_b_E,R2_U,rel_err_U,norm_A_U,norm_b_U
Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,task2_model_series,id,151643,24000,896,1536,151936,151936,True,True,0.2694138150024624,0.8098772780881204,38.92581558227539,0.19345319271087646,0.2694138150024624,0.8098772780881204,38.92581558227539,0.19345319271087646
Qwen2.5-1.5B-Instruct,Qwen2.5-3B-Instruct,task2_model_series,id,151643,24000,1536,2048,151936,151936,True,True,0.36759790903616596,0.7655349485189423,25.71292495727539,0.12559472024440765,0.36759790903616596,0.7655349485189423,25.71292495727539,0.12559472024440765
Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,task2_model_series,string,151643,24000,896,3584,151936,152064,True,False,0.17350844432522772,0.9044823668980869,29.19759178161621,0.1826048046350479,0.13041824355355214,0.8979877415183795,19.318262100219727,0.13009274005889893
Qwen2.5-1.5B-Instruct,Qwen2.5-14B-Instruct,task2_model_series,string,151643,24000,1536,5120,151936,152064,True,False,0.17414904328416025,0.9068407621094488,20.434558868408203,0.22081667184829712,0.21091589552329737,0.881536242045946,23.405715942382812,0.1411098837852478
Qwen2.5-0.5B-Instruct,Qwen2.5-14B-Instruct,task2_model_series,string,151643,24000,896,5120,151936,152064,True,False,0.12736366315650272,0.932167424376081,35.928096771240234,0.21367251873016357,0.12601788147704984,0.9277755629187967,34.46070861816406,0.1519317626953125
Qwen2.5-0.5B-Instruct,Qwen2.5-32B-Instruct,task2_model_series,string,151643,24000,896,5120,151936,152064,True,False,0.1370287229059628,0.9275528168537387,39.5726203918457,0.2176024168729782,0.12098940722288665,0.9267708153832105,35.24534606933594,0.17006860673427582
Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,task2_model_series,string,151643,24000,2048,3584,151936,152064,True,False,0.25551161528867594,0.8584772217268971,17.218338012695312,0.14802470803260803,0.25415169654258485,0.8317232427131389,15.404144287109375,0.14881263673305511
Qwen2.5-0.5B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,string,151643,24000,896,8192,151936,152064,True,False,0.16615806628206253,0.9112291066938426,29.134531021118164,0.13654452562332153,0.08800619025075285,0.9308799501600823,19.718910217285156,0.12186970561742783
Qwen2.5-3B-Instruct,Qwen2.5-14B-Instruct,task2_model_series,string,151643,24000,2048,5120,151936,152064,True,False,0.2032488892966201,0.890698193482217,22.741756439208984,0.18545816838741302,0.2662018045757536,0.850121952745453,27.373746871948242,0.12465644627809525
Qwen2.5-1.5B-Instruct,Qwen2.5-32B-Instruct,task2_model_series,string,151643,24000,1536,5120,151936,152064,True,False,0.18654590377702418,0.9005577813260004,22.37888526916504,0.2337815761566162,0.2002441581509986,0.8839866156240865,23.978717803955078,0.17618577182292938
