matrix_kind,model_a,model_b,hidden_dim,vocab,identity_R2,full_affine_R2,delta_over_Yc_energy,full_affine_gain_over_delta,D_energy_at_1,P_energy_at_1,R_energy_at_1,P_abs_delta_energy_at_1,D_energy_at_2,P_energy_at_2,R_energy_at_2,P_abs_delta_energy_at_2,D_energy_at_4,P_energy_at_4,R_energy_at_4,P_abs_delta_energy_at_4,D_energy_at_8,P_energy_at_8,R_energy_at_8,P_abs_delta_energy_at_8,D_energy_at_16,P_energy_at_16,R_energy_at_16,P_abs_delta_energy_at_16,D_energy_at_32,P_energy_at_32,R_energy_at_32,P_abs_delta_energy_at_32,D_energy_at_64,P_energy_at_64,R_energy_at_64,P_abs_delta_energy_at_64,D_energy_at_128,P_energy_at_128,R_energy_at_128,P_abs_delta_energy_at_128,D_energy_at_256,P_energy_at_256,R_energy_at_256,P_abs_delta_energy_at_256,D_energy_at_512,P_energy_at_512,R_energy_at_512,P_abs_delta_energy_at_512,D_energy_at_1024,P_energy_at_1024,R_energy_at_1024,P_abs_delta_energy_at_1024,D_energy_at_2048,P_energy_at_2048,R_energy_at_2048,P_abs_delta_energy_at_2048,D_energy_at_4096,P_energy_at_4096,R_energy_at_4096,P_abs_delta_energy_at_4096
lm_head,Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,2048,248320,0.9985144613508695,0.9988217800160366,0.00148553864913053,0.20687355751194766,0.02109095215297713,0.06715938377567293,0.01048288756559585,0.01389350064198364,0.03951950955533649,0.1299566864044557,0.018591499121639793,0.026884602038954316,0.06298761225156584,0.19559300296097634,0.0316884370233245,0.04046302034698209,0.09335136454017763,0.27402286086860644,0.050602191675002545,0.05668808406749009,0.13129314880615,0.3561829861203079,0.07821933093759127,0.07368484146393678,0.18032763593028756,0.44475876543240295,0.11773113549947317,0.09200882803962306,0.24428476230549348,0.5415317816798906,0.17380948211291017,0.11202860618190233,0.3272258979615554,0.6389264674449675,0.25362612783410543,0.13217699130888205,0.43786237415183743,0.7415261532377633,0.3668752885960343,0.15340215330844573,0.5842602253543525,0.8446157290857562,0.5247578042633647,0.1747286606065178,0.7773840810484595,0.9418116869557505,0.7414736239692884,0.1948359341868649,1.0,0.9999999230035277,1.0000001606658506,0.20687354158341353,1.0,0.9999999230035277,1.0000001606658506,0.20687354158341353
lm_head,Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,896,151936,0.986895013765239,0.9902607088315583,0.013104986234760993,0.25682553236047584,0.12014422836083208,0.4037289570484628,0.02479656016264596,0.10368790432331114,0.14315258599936825,0.47983550835368666,0.03195619074295165,0.12323400987839513,0.16040637014898998,0.5273795625690497,0.039386072169757334,0.13544453691283107,0.18069604705909365,0.5795133400778012,0.04999738668649226,0.14883382207547877,0.20363520922883394,0.6281419555288411,0.06509971667088346,0.16132289212664497,0.23176174859700072,0.6717479036415894,0.0904375940441788,0.17252201296478484,0.2745168297295304,0.716820392561896,0.1371549431457665,0.1840977789265542,0.34994539156655846,0.7731401142044421,0.2247661578109593,0.19856212141979493,0.4858306813295688,0.8467785288876284,0.38547408447282483,0.21747434647298572,0.721536995626455,0.9374074999047591,0.6682509895045,0.24075018020174246,1.0000001739399058,0.999999915341407,0.9999998829750458,0.25682551061798764,1.0000001739399058,0.999999915341407,0.9999998829750458,0.25682551061798764,1.0000001739399058,0.999999915341407,0.9999998829750458,0.25682551061798764
lm_head,Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,1536,151936,0.9992619361598801,0.9996813394217751,0.0007380638401198979,0.5682479469889921,0.5729875186266705,0.8150416737195413,0.2563942502616913,0.4631457578016013,0.6016871606553689,0.8385556495088456,0.2943850526614449,0.47650752626942233,0.6256941284327329,0.8597684854303023,0.324286130401607,0.4885616767316044,0.6541283689465949,0.8857999388488662,0.3570976480098448,0.503353996693843,0.6834786669080879,0.909652452620946,0.39309424497330203,0.5169081386753539,0.7142037034003432,0.9294710197327846,0.43794675347459766,0.5281699987489198,0.7474909173462198,0.9472585502844344,0.49121145246871245,0.5382777264668988,0.7846608289689287,0.962279164237225,0.557585061223599,0.5468131595080863,0.830697245985417,0.975880252967214,0.6466326390993286,0.5545419502557176,0.8878618981423562,0.9877970705877206,0.7628589704093633,0.5613136574032127,0.9571631154883293,0.9972845529098258,0.9083304722867415,0.5667048997548433,1.000000217453105,0.9999998724423577,1.0000001678853745,0.5682478745046237,1.000000217453105,0.9999998724423577,1.0000001678853745,0.5682478745046237
lm_head,Qwen2.5-3B,Qwen2.5-3B-Instruct,2048,151936,0.99939970077849,0.9997321509660977,0.0006002992215099569,0.5538074608382879,0.5176088965397616,0.7835863208213488,0.18940905020690532,0.43395595068168724,0.5492800360300647,0.8133975477898593,0.22436798656159632,0.4504656305935919,0.5735724514316054,0.837548363242704,0.25212196971848516,0.4638405323767059,0.6014469645960039,0.8667866105818718,0.2797979352905111,0.4800328918949723,0.6307701791581849,0.8924670541760518,0.3133619523107071,0.494254913155066,0.66217871123792,0.9146849887345636,0.35596124514060706,0.5065593710779867,0.6965087228074052,0.9347075108584485,0.40775464722519683,0.5176479932149938,0.7355573191920398,0.952140385796862,0.4739255875960393,0.527302449419748,0.7839542325151208,0.9679766032645033,0.5634635464087687,0.5360726648047853,0.8434753239601197,0.9819350573285838,0.6793154416346605,0.5438029608072417,0.915908679409723,0.9937057709897197,0.8255810806521401,0.5503216698521699,1.0,0.9999998654029529,0.9999999164693952,0.5538073862974391,1.0,0.9999998654029529,0.9999999164693952,0.5538073862974391
lm_head,Qwen2.5-7B,Qwen2.5-7B-Instruct,3584,152064,0.9986040546735593,0.9992492212327131,0.0013959453264406666,0.4621717963688637,0.31860554958474013,0.6129384944402912,0.0706532120951431,0.28328288503909616,0.36396833174045923,0.6792252151545386,0.09537098006153809,0.313918737827001,0.3887304451511437,0.7117568832939869,0.11677772435481681,0.3289539573298856,0.4182268173604213,0.7490300157219015,0.1405870237817618,0.34618054790038943,0.45096581515866274,0.7858474698680235,0.17180563858848527,0.36319653682083086,0.48726600052203306,0.8176845705532422,0.21156313115278788,0.3779107468356948,0.5320753559221847,0.8508975461090712,0.26602899646070693,0.39326084741108747,0.5896869327843095,0.8878495187523622,0.3409107261950543,0.41033900698701037,0.6573211285103294,0.9227152454407986,0.436233600508656,0.42645296252231085,0.7324037002370734,0.9522169115353656,0.5504678924500958,0.4400878005371113,0.816800615585848,0.9765342364169677,0.6868266001530497,0.4513265822605266,0.9146649360124042,0.9945095103660138,0.8521492680688056,0.4596342469117796,0.9999998458260249,0.9999995830176777,0.9999998566681626,0.4621716036513947
lm_head,Qwen2.5-14B,Qwen2.5-14B-Instruct,5120,152064,0.9994339221069276,0.9997092731253961,0.0005660778930723654,0.48641895724648104,0.3190900447168165,0.5780772276635353,0.0759505376679338,0.28118772228803346,0.3518429956145288,0.6302412787157369,0.09653051906282609,0.30656130560659756,0.38944035455399867,0.6808282383475787,0.11954066965821561,0.3311677617609879,0.4293562944640755,0.7320301384673751,0.1506567535450353,0.3560733366262977,0.4717577263860755,0.7788979159988539,0.18956032540800477,0.3788707121016197,0.5198909072112815,0.8255897727373713,0.23992412022878093,0.4015825163682714,0.5735980279230635,0.8693352847544951,0.30225463936273655,0.4228611627078542,0.628049018451661,0.9046722710154003,0.3732179984204508,0.4400497427171169,0.6826401618954908,0.9329644149347553,0.45234278660271016,0.45381157786063697,0.739548333790667,0.9552614210519925,0.5421786114050472,0.4646572643259019,0.8030779090086118,0.9739928237333734,0.6490599405973788,0.4737685736859431,0.8790434070382213,0.9900190139648942,0.7824596535661134,0.4815640164269932,0.9704951324868186,0.9995271229058635,0.9466995198047068,0.48618894086344544
lm_head,Qwen2.5-32B,Qwen2.5-32B-Instruct,5120,152064,0.999423271810446,0.9997200530563881,0.0005767281895540097,0.5145946588315692,0.38466699300425955,0.675591533250956,0.07786044263590028,0.34765579456277246,0.41389747727861403,0.7136078895401515,0.09977408336003223,0.3672188084574304,0.44263003089124536,0.7533281078073593,0.12145789806609733,0.3876586206253596,0.47231278627081724,0.7858705401041657,0.14781793932182372,0.4044047824706841,0.503632209295769,0.8162200086131686,0.1807524322030241,0.4200224568637939,0.5411147738599544,0.8468290617823496,0.2259949866239392,0.43577371213654603,0.5865810213947316,0.8780976902694988,0.28591267823321914,0.45186438134502166,0.6382402885549183,0.9077759056978096,0.3602251396818047,0.46713663248808307,0.6943865478522261,0.9341859846329373,0.44697266322167006,0.4807271180474199,0.7528671730365772,0.956021872995272,0.5443279219325396,0.49196374956951977,0.8162663377531185,0.9745877695189439,0.6560742334639525,0.5015176607570209,0.8888789607278391,0.9902457939863669,0.7896788137104247,0.5095751965158108,0.9732107013869498,0.9994907622348574,0.948959981042915,0.5143326077975515
lm_head,Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,8192,152064,0.9986657799103109,0.9993069179084212,0.0013342200896891412,0.4805339112077239,0.345818710342305,0.6627164272804977,0.05847940804975216,0.3184577168227067,0.38381790423456424,0.717066474705959,0.07709114177140126,0.34457475768638884,0.40301982173058387,0.7441598810218668,0.09331240793501593,0.3575940581913121,0.42593475524512764,0.7728883523024523,0.11237743725781192,0.37139906285879065,0.45101431127965097,0.7997211370091848,0.13526021862180887,0.3842931258425116,0.47777151760841596,0.8227835922181754,0.16543131360763835,0.3953754176461408,0.5101700956966216,0.8464746931729286,0.20629472396670362,0.4067597950487454,0.5532128390680444,0.8738685708452856,0.2639646020978988,0.41992348222978904,0.6069282666512654,0.9023395637454245,0.34077080077216304,0.4336047598040601,0.6693193878332618,0.9293971159437986,0.4360202081654347,0.44660683118965194,0.7395928951105551,0.9543069372443197,0.5493368758309506,0.45857684504667684,0.8180005947502234,0.976544694474971,0.6814126218530335,0.4692628415052096,0.9067814018492144,0.994011456695791,0.8358191536172274,0.4776562130713155
lm_head,Llama-3.2-1B,Llama-3.2-1B-Instruct,2048,128256,0.9582858963221983,0.9753091795753768,0.04171410367780169,0.4080941876317367,0.06828986763132078,0.11952967185512707,0.03587057080094499,0.04877936433360615,0.08901307586518115,0.16280255010618652,0.04238601044128638,0.0664387744299593,0.11789464308267711,0.22449441955935742,0.05276003230484282,0.09161486777793423,0.15830195553337645,0.3067777520161365,0.06744895493675138,0.1251942174925156,0.21197925996900502,0.4060808173139958,0.09006179589472015,0.1657192212545868,0.27632021492505693,0.5138729154367129,0.1245520125129556,0.20970854997109747,0.3481598136310133,0.6136645794798897,0.17474702694222052,0.2504329480412169,0.4283514522380802,0.7054639947317856,0.24814709607276603,0.2878957558335078,0.5234599374332342,0.7892797168556938,0.3536257224463756,0.3221004648644315,0.6425665977291177,0.8656631972402615,0.5044898083006296,0.3532721192404564,0.8007284845047105,0.9399799849331436,0.7209839397117905,0.38360036834138334,1.0,1.0,1.000000102143241,0.4080941876317367,1.0,1.0,1.000000102143241,0.4080941876317367
lm_head,Llama-3.2-3B,Llama-3.2-3B-Instruct,3072,128256,0.9657056778564524,0.9795068252828063,0.03429432214354759,0.40243243090170117,0.05439969253157625,0.09776351107219798,0.028980675701020774,0.03934320741427001,0.07539685694829952,0.14079934787433285,0.03615884335400009,0.05666222383444204,0.10068328797285953,0.1952317454883026,0.04513657098480104,0.07856758592603985,0.13499254678112,0.26605272488118564,0.05693702829053803,0.10706824482195705,0.17979633913311321,0.3499438405993223,0.07537684354920907,0.1408287504514627,0.23669859653372496,0.450911609163049,0.10386149695211529,0.1814614549972836,0.30241441051497464,0.5477945594396509,0.14708224094073594,0.22045029619002515,0.3767630462371864,0.6410662572668911,0.20974115581212402,0.2579858522809704,0.46479516772628793,0.7306429371772526,0.29902768704884125,0.29403441332940067,0.5715665308974751,0.8142493315001461,0.4242225087069401,0.3276803378356889,0.708276405829783,0.8960277035000163,0.6007639670109587,0.3605906068747803,0.8847959780718742,0.9721465611501445,0.84118355330645,0.3912233037963819,1.0,1.0000000676619285,0.9999998177320472,0.40243245813105555
