model_a,model_b,matrix_kind,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,w_rank_update_gain_over_raw,rank_affine_update_gain_over_raw,rank_affine_gain_over_w_gain,rank_affine_gain_over_w_gain_raw,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,full_affine_update_gain_over_raw,mean_shift_over_raw_delta,centered_delta_over_raw_delta,raw_delta_over_Yc_energy,centered_delta_over_Yc_energy
DeepSeek-V3-Base,DeepSeek-V3,embed,7168,129280,4,38,0.005301339285714286,552960,551936,0.9981481481481481,0.9999947955812982,0.9999951093241175,0.999995109242179,0.9999948824850817,0.9999948165052907,0.01669807686808306,0.004020428335257076,0.01673397979707285,0.0040567941584041195,0.24077193841057107,0.24242853210051943,0.06669154201650873,0.01669807686808306,0.06028393127065296,0.060318242765924616,3.6512619517144614e-05,0.9999634873804829,5.20460873567355e-06,5.204418701775048e-06
DeepSeek-V3-Base,DeepSeek-V3,embed,7168,129280,8,76,0.010602678571428572,1098752,1096704,0.9981360671015843,0.9999947955812982,0.9999951093241175,0.999995109242179,0.9999949269232956,0.9999948269502641,0.02523663158744673,0.006027371671643306,0.02527222275143683,0.006063664216031916,0.23883423787196137,0.23993394944602456,0.09998305592551017,0.02523663158744673,0.06028393127065296,0.060318242765924616,3.6512619517144614e-05,0.9999634873804829,5.20460873567355e-06,5.204418701775048e-06
DeepSeek-V3-Base,DeepSeek-V3,embed,7168,129280,16,152,0.021205357142857144,2190336,2186240,0.9981299672744273,0.9999947955812982,0.9999951093241175,0.999995109242179,0.9999949923037708,0.999994842799828,0.037799124902592116,0.009072776890708182,0.03783425737704361,0.009108958239374753,0.24002610944270847,0.24075953569269007,0.15050075035708452,0.037799124902592116,0.06028393127065296,0.060318242765924616,3.6512619517144614e-05,0.9999634873804829,5.20460873567355e-06,5.204418701775048e-06
DeepSeek-V3-Base,DeepSeek-V3,embed,7168,129280,32,304,0.04241071428571429,4373504,4365312,0.9981269023647857,0.9999947955812982,0.9999951093241175,0.999995109242179,0.9999950856494462,0.9999948681678312,0.055734975320533085,0.013947097111960573,0.05576945291010255,0.0139831004864275,0.25023958531874296,0.2507304582845295,0.23135679472102064,0.055734975320533085,0.06028393127065296,0.060318242765924616,3.6512619517144614e-05,0.9999634873804829,5.20460873567355e-06,5.204418701775048e-06
DeepSeek-V3-Base,DeepSeek-V3,embed,7168,129280,64,609,0.0849609375,8739840,8737792,0.9997656707674283,0.9999947955812982,0.9999951093241175,0.999995109242179,0.9999952151088883,0.9999949088759763,0.08060988443104194,0.021768939919085045,0.08064345377251955,0.021804657697581633,0.27005298509895986,0.2703834803391307,0.3611068399197526,0.08060988443104194,0.06028393127065296,0.060318242765924616,3.6512619517144614e-05,0.9999634873804829,5.20460873567355e-06,5.204418701775048e-06
DeepSeek-V3-Base,DeepSeek-V3,embed,7168,129280,128,1218,0.169921875,17472512,17468416,0.9997655746351756,0.9999947955812982,0.9999951093241175,0.999995109242179,0.9999953900458335,0.9999949694663808,0.11422304186502782,0.03341104790764576,0.11425538390207728,0.033446340602282985,0.2925070752985731,0.2927331689765116,0.5542280870443285,0.11422304186502782,0.06028393127065296,0.060318242765924616,3.6512619517144614e-05,0.9999634873804829,5.20460873567355e-06,5.204418701775048e-06
DeepSeek-V3.1-Base,DeepSeek-V3.1,embed,7168,129280,1,9,0.0012555803571428572,143616,136192,0.948306595365419,0.9999847219928868,0.9999856466553142,0.9999856465174676,0.999984786810259,0.9999847405136373,0.0042425279496469065,0.0012122491059754286,0.004279828547912512,0.0012496632170360198,0.28573744719261557,0.29198908391915457,0.020029742655438873,0.0042425279496469065,0.060522450379373934,0.06055764275868472,3.7459521331836196e-05,0.9999625404786681,1.527857944146773e-05,1.5278007113195224e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,embed,7168,129280,2,19,0.002650669642857143,280064,279552,0.9981718464351006,0.9999847219928868,0.9999856466553142,0.9999856465174676,0.9999848257356074,0.9999847526986063,0.006790330691484041,0.00200979874193296,0.006827535850278488,0.00204718297716595,0.29597950869366485,0.29984214247405927,0.03320749125877924,0.006790330691484041,0.060522450379373934,0.06055764275868472,3.7459521331836196e-05,0.9999625404786681,1.527857944146773e-05,1.5278007113195224e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,embed,7168,129280,4,38,0.005301339285714286,552960,551936,0.9981481481481481,0.9999847219928868,0.9999856466553142,0.9999856465174676,0.9999848895304365,0.999984770437065,0.010965929554595934,0.003170844065158709,0.011002978297455696,0.0032081848081896465,0.28915415235635683,0.29157421940307743,0.05239120434289841,0.010965929554595934,0.060522450379373934,0.06055764275868472,3.7459521331836196e-05,0.9999625404786681,1.527857944146773e-05,1.5278007113195224e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,embed,7168,129280,8,76,0.010602678571428572,1098752,1096704,0.9981360671015843,0.9999847219928868,0.9999856466553142,0.9999856465174676,0.9999849851064421,0.9999847976215434,0.017221719647742377,0.004950165032298762,0.017258534051699696,0.004987439122817974,0.2874373252817228,0.28898393733080646,0.081790558731009,0.017221719647742377,0.060522450379373934,0.06055764275868472,3.7459521331836196e-05,0.9999625404786681,1.527857944146773e-05,1.5278007113195224e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,embed,7168,129280,16,152,0.021205357142857144,2190336,2186240,0.9981299672744273,0.9999847219928868,0.9999856466553142,0.9999856465174676,0.9999851330183154,0.9999848409436973,0.026903078753969564,0.007785754366113968,0.02693953049884892,0.007822922236814042,0.289400125439739,0.29038821731315256,0.1286424180995711,0.026903078753969564,0.060522450379373934,0.06055764275868472,3.7459521331836196e-05,0.9999625404786681,1.527857944146773e-05,1.5278007113195224e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,embed,7168,129280,32,304,0.04241071428571429,4373504,4365312,0.9981269023647857,0.9999847219928868,0.9999856466553142,0.9999856465174676,0.9999853527029757,0.999984913339762,0.04128222249297514,0.012524334738799197,0.04131813560201287,0.012561325104546717,0.30338324786003035,0.30401480903060824,0.2069370070162839,0.04128222249297514,0.060522450379373934,0.06055764275868472,3.7459521331836196e-05,0.9999625404786681,1.527857944146773e-05,1.5278007113195224e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,embed,7168,129280,64,609,0.0849609375,8739840,8737792,0.9997656707674283,0.9999847219928868,0.9999856466553142,0.9999856465174676,0.9999856629001189,0.9999850332306828,0.06158573072398077,0.020371622666820192,0.061620883273318806,0.020408319076918174,0.3307847845164516,0.33119160247017687,0.3365961315036717,0.06158573072398077,0.060522450379373934,0.06055764275868472,3.7459521331836196e-05,0.9999625404786681,1.527857944146773e-05,1.5278007113195224e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,embed,7168,129280,128,1218,0.169921875,17472512,17468416,0.9997655746351756,0.9999847219928868,0.9999856466553142,0.9999856465174676,0.9999860976898639,0.9999852154937795,0.09004426866013072,0.03230139173588558,0.09007835516625988,0.03233764126254463,0.35872790369152946,0.3589945798061947,0.5337092522429314,0.09004426866013072,0.060522450379373934,0.06055764275868472,3.7459521331836196e-05,0.9999625404786681,1.527857944146773e-05,1.5278007113195224e-05
