model_a,model_b,hidden_dim,vocab,identity_R2,full_affine_R2,delta_over_Yc_energy,full_affine_gain_over_delta,D_energy_at_1,P_energy_at_1,R_energy_at_1,P_abs_delta_energy_at_1,D_energy_at_2,P_energy_at_2,R_energy_at_2,P_abs_delta_energy_at_2,D_energy_at_4,P_energy_at_4,R_energy_at_4,P_abs_delta_energy_at_4,D_energy_at_8,P_energy_at_8,R_energy_at_8,P_abs_delta_energy_at_8,D_energy_at_16,P_energy_at_16,R_energy_at_16,P_abs_delta_energy_at_16,D_energy_at_32,P_energy_at_32,R_energy_at_32,P_abs_delta_energy_at_32,D_energy_at_64,P_energy_at_64,R_energy_at_64,P_abs_delta_energy_at_64,D_energy_at_128,P_energy_at_128,R_energy_at_128,P_abs_delta_energy_at_128,D_energy_at_256,P_energy_at_256,R_energy_at_256,P_abs_delta_energy_at_256,D_energy_at_512,P_energy_at_512,R_energy_at_512,P_abs_delta_energy_at_512,D_energy_at_1024,P_energy_at_1024,R_energy_at_1024,P_abs_delta_energy_at_1024,D_energy_at_2048,P_energy_at_2048,R_energy_at_2048,P_abs_delta_energy_at_2048,D_energy_at_4096,P_energy_at_4096,R_energy_at_4096,P_abs_delta_energy_at_4096
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,2048,248320,0.9986870899262132,0.998713360923914,0.001312910073786729,0.020009746459619213,0.005124733794197004,0.0066758685923695195,0.005148390243093925,0.0001335824379310491,0.010035600716208572,0.011577042718774425,0.010059999583023525,0.00023165368955485694,0.017978612507954073,0.02034649425011541,0.018024028605332774,0.0004071281912869095,0.029666648454398516,0.03451759730925512,0.029734822933571728,0.0006906883705534293,0.04854907182550289,0.056734432347442944,0.048654967160396176,0.001135241606802752,0.08023172370539308,0.09413557763943928,0.0803974226299591,0.0018836290413949796,0.13193058810127098,0.1568165613130579,0.1321669184826297,0.0031378596325436197,0.20873525620253028,0.2560842566057398,0.20904792661154314,0.00512418104698092,0.3127087658213516,0.4068575258127768,0.3130879433622758,0.008141115936701642,0.4666108214017064,0.6221211155141759,0.4670220510748026,0.012448485788614136,0.6998598210195597,0.869891206972992,0.7001953331335927,0.017406302498981712,1.0,1.0000002285327738,0.9999999253399329,0.020009751032502073,1.0,1.0000002285327738,0.9999999253399329,0.020009751032502073
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,896,151936,0.986895013765239,0.9902607088315583,0.013104986234760993,0.25682553236047584,0.12014422836083208,0.4037289570484628,0.02479656016264596,0.10368790432331114,0.14315258599936825,0.47983550835368666,0.03195619074295165,0.12323400987839513,0.16040637014898998,0.5273795625690497,0.039386072169757334,0.13544453691283107,0.18069604705909365,0.5795133400778012,0.04999738668649226,0.14883382207547877,0.20363520922883394,0.6281419555288411,0.06509971667088346,0.16132289212664497,0.23176174859700072,0.6717479036415894,0.0904375940441788,0.17252201296478484,0.2745168297295304,0.716820392561896,0.1371549431457665,0.1840977789265542,0.34994539156655846,0.7731401142044421,0.2247661578109593,0.19856212141979493,0.4858306813295688,0.8467785288876284,0.38547408447282483,0.21747434647298572,0.721536995626455,0.9374074999047591,0.6682509895045,0.24075018020174246,1.0000001739399058,0.999999915341407,0.9999998829750458,0.25682551061798764,1.0000001739399058,0.999999915341407,0.9999998829750458,0.25682551061798764,1.0000001739399058,0.999999915341407,0.9999998829750458,0.25682551061798764
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,1536,151936,0.9992619361598801,0.9996813394217751,0.0007380638401198979,0.5682479469889921,0.5729875186266705,0.8150416737195413,0.2563942502616913,0.4631457578016013,0.6016871606553689,0.8385556495088456,0.2943850526614449,0.47650752626942233,0.6256941284327329,0.8597684854303023,0.324286130401607,0.4885616767316044,0.6541283689465949,0.8857999388488662,0.3570976480098448,0.503353996693843,0.6834786669080879,0.909652452620946,0.39309424497330203,0.5169081386753539,0.7142037034003432,0.9294710197327846,0.43794675347459766,0.5281699987489198,0.7474909173462198,0.9472585502844344,0.49121145246871245,0.5382777264668988,0.7846608289689287,0.962279164237225,0.557585061223599,0.5468131595080863,0.830697245985417,0.975880252967214,0.6466326390993286,0.5545419502557176,0.8878618981423562,0.9877970705877206,0.7628589704093633,0.5613136574032127,0.9571631154883293,0.9972845529098258,0.9083304722867415,0.5667048997548433,1.000000217453105,0.9999998724423577,1.0000001678853745,0.5682478745046237,1.000000217453105,0.9999998724423577,1.0000001678853745,0.5682478745046237
Qwen2.5-3B,Qwen2.5-3B-Instruct,2048,151936,0.99939970077849,0.9997321509660977,0.0006002992215099569,0.5538074608382879,0.5176088965397616,0.7835863208213488,0.18940905020690532,0.43395595068168724,0.5492800360300647,0.8133975477898593,0.22436798656159632,0.4504656305935919,0.5735724514316054,0.837548363242704,0.25212196971848516,0.4638405323767059,0.6014469645960039,0.8667866105818718,0.2797979352905111,0.4800328918949723,0.6307701791581849,0.8924670541760518,0.3133619523107071,0.494254913155066,0.66217871123792,0.9146849887345636,0.35596124514060706,0.5065593710779867,0.6965087228074052,0.9347075108584485,0.40775464722519683,0.5176479932149938,0.7355573191920398,0.952140385796862,0.4739255875960393,0.527302449419748,0.7839542325151208,0.9679766032645033,0.5634635464087687,0.5360726648047853,0.8434753239601197,0.9819350573285838,0.6793154416346605,0.5438029608072417,0.915908679409723,0.9937057709897197,0.8255810806521401,0.5503216698521699,1.0,0.9999998654029529,0.9999999164693952,0.5538073862974391,1.0,0.9999998654029529,0.9999999164693952,0.5538073862974391
Qwen2.5-7B,Qwen2.5-7B-Instruct,3584,152064,0.9997140644190229,0.999723155960061,0.00028593558097710867,0.03179576674935525,0.01878005556396454,0.017797723064446908,0.018824410940374826,0.000565892251226774,0.02827983802304339,0.027312545680487098,0.028341361545424538,0.000868423331787878,0.04225842027550488,0.042151955177091395,0.042313564533031194,0.0013402537348400753,0.059852212538675974,0.06071689369553116,0.059943606642541995,0.001930540189688507,0.08766850949651835,0.0901772079642215,0.08782433107573467,0.0028672534705384872,0.13430358699331205,0.1408116524620705,0.13455149356313303,0.004477214457275268,0.20946270448946255,0.2241720925986248,0.20985972303526124,0.0071277235679807404,0.3286292490080759,0.3547407529502607,0.3292538257821931,0.011279254237297143,0.5035625149750412,0.5407048077945343,0.5044537189986227,0.017192123948889974,0.7248294722366888,0.7508793901919456,0.7257708696341427,0.023874785947441208,0.8640640338412344,0.9063941841393169,0.8646271187720164,0.028819498061865872,0.9604319376650244,0.9876674439641807,0.9604131481045574,0.03140364367421698,1.0000000664449973,0.9999999346955152,0.9999999313730267,0.03179576467294908
Qwen2.5-14B,Qwen2.5-14B-Instruct,5120,152064,0.9998309539329064,0.9998389459322984,0.00016904606709352654,0.04727705015169363,0.012055815636816831,0.011261680887425319,0.012109649429108542,0.0005324190521071764,0.01847418097628235,0.01790887414314454,0.018530702254999837,0.0008466787410258137,0.026330452051107567,0.025920232664858642,0.0264093453067,0.0012254321396400895,0.039652405139926745,0.03946179328725386,0.03979240392627945,0.001865637180317268,0.06179750135110868,0.062368540599390974,0.0620276930605608,0.0029486006218053472,0.09935647676178987,0.1010787018519962,0.0997511128787305,0.0047787028567249125,0.16084919328715935,0.16514905334323246,0.16152381585284029,0.007807760077412728,0.25406546239707734,0.2648423466882028,0.25514624683000914,0.012520964906670394,0.389726601332292,0.4129641153994527,0.3913117562019992,0.01952372519458972,0.5848647688422739,0.6093000346866818,0.5869800628767464,0.028805908297310924,0.7654029074827793,0.8038275042527746,0.7672606679436815,0.03800259323186915,0.9092293396365023,0.9512586097299621,0.9097101036582507,0.044972700999433776,0.9834492408444666,0.9987904386296332,0.9834302592989405,0.04721986565812525
Qwen2.5-32B,Qwen2.5-32B-Instruct,5120,152064,0.9998697145588493,0.9998761121589204,0.00013028544115068803,0.049104489454442984,0.011465038984852509,0.010356196613987949,0.011539429717089817,0.0005085357474197094,0.018455244347401138,0.017081549717424763,0.01855834322311649,0.0008387807779648279,0.027821367709210322,0.0262921627127975,0.027966885162553582,0.0012910632266650637,0.043710419215018226,0.04174345071757164,0.043940802767179245,0.002049790835553057,0.0699814541996259,0.0679699720802845,0.07035527030354241,0.0033376307772351147,0.11402290382022427,0.11142192018231287,0.11465098898047399,0.00547131650458617,0.1851669189770763,0.18246116422595798,0.1861870511470702,0.008959662314578943,0.2895095686649684,0.2896264290023941,0.291055767756505,0.014221957928676041,0.43316519549910415,0.44070955830542957,0.4352993829371095,0.021640817858281192,0.6190513284598752,0.6303017244825228,0.6215679818923392,0.030950644382969267,0.7827374603861162,0.8178572061191689,0.7846587412839203,0.040160460553118935,0.9257488766726751,0.9597694942269315,0.9259490209147058,0.04712899100796243,0.9843549482808819,0.9989284196556929,0.9843266310759674,0.04905187004872637
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,8192,152064,0.9996624244489689,0.9996872173529736,0.000337575551031072,0.07344401550690643,0.004710702268324178,0.0045141721572314365,0.004743303126952848,0.0003315389299165509,0.00820795232641551,0.007319240190306084,0.008316433240343797,0.0005375543900356128,0.013111964274832516,0.012001686219528027,0.013265142377592666,0.0008814520288160417,0.021025075581988694,0.01993618482929074,0.021256455849863753,0.001464193467750982,0.03496118344588924,0.033531671826842045,0.03534330138531917,0.002462700625623085,0.05860901413000481,0.05693871440530941,0.059253179516191946,0.004181807823726861,0.09747483649029674,0.09649887954707091,0.09852846249006081,0.007087265205854172,0.15936890357302808,0.1616063819297773,0.16096879606901973,0.011869021620465608,0.25421697207314575,0.26378986552860195,0.2564907963229896,0.019373786974447405,0.3863817102341112,0.4086858002721888,0.3891098924906388,0.0300155262526431,0.525740416722544,0.5828958870131983,0.5283713476469782,0.04281021456470931,0.6768632241174124,0.775714814157874,0.6791043442957593,0.05697161083994794,0.8436471804512864,0.9436707844893104,0.8450915770755324,0.06930697172944747
Llama-3.2-1B,Llama-3.2-1B-Instruct,2048,128256,0.9582858963221983,0.9753091795753768,0.04171410367780169,0.4080941876317367,0.06828986763132078,0.11952967185512707,0.03587057080094499,0.04877936433360615,0.08901307586518115,0.16280255010618652,0.04238601044128638,0.0664387744299593,0.11789464308267711,0.22449441955935742,0.05276003230484282,0.09161486777793423,0.15830195553337645,0.3067777520161365,0.06744895493675138,0.1251942174925156,0.21197925996900502,0.4060808173139958,0.09006179589472015,0.1657192212545868,0.27632021492505693,0.5138729154367129,0.1245520125129556,0.20970854997109747,0.3481598136310133,0.6136645794798897,0.17474702694222052,0.2504329480412169,0.4283514522380802,0.7054639947317856,0.24814709607276603,0.2878957558335078,0.5234599374332342,0.7892797168556938,0.3536257224463756,0.3221004648644315,0.6425665977291177,0.8656631972402615,0.5044898083006296,0.3532721192404564,0.8007284845047105,0.9399799849331436,0.7209839397117905,0.38360036834138334,1.0,1.0,1.000000102143241,0.4080941876317367,1.0,1.0,1.000000102143241,0.4080941876317367
Llama-3.2-3B,Llama-3.2-3B-Instruct,3072,128256,0.9657056778564524,0.9795068252828063,0.03429432214354759,0.40243243090170117,0.05439969253157625,0.09776351107219798,0.028980675701020774,0.03934320741427001,0.07539685694829952,0.14079934787433285,0.03615884335400009,0.05666222383444204,0.10068328797285953,0.1952317454883026,0.04513657098480104,0.07856758592603985,0.13499254678112,0.26605272488118564,0.05693702829053803,0.10706824482195705,0.17979633913311321,0.3499438405993223,0.07537684354920907,0.1408287504514627,0.23669859653372496,0.450911609163049,0.10386149695211529,0.1814614549972836,0.30241441051497464,0.5477945594396509,0.14708224094073594,0.22045029619002515,0.3767630462371864,0.6410662572668911,0.20974115581212402,0.2579858522809704,0.46479516772628793,0.7306429371772526,0.29902768704884125,0.29403441332940067,0.5715665308974751,0.8142493315001461,0.4242225087069401,0.3276803378356889,0.708276405829783,0.8960277035000163,0.6007639670109587,0.3605906068747803,0.8847959780718742,0.9721465611501445,0.84118355330645,0.3912233037963819,1.0,1.0000000676619285,0.9999998177320472,0.40243245813105555
