model_a,model_b,side,matrix_kind,n,d,delta_fro_norm_sq,r1,r5,r10,a_bias,B5,B10,R2_aff_full,rank_Z,k_eta90,R2_aff_k_eta90,a1_k_eta90,random_baseline_k_over_n_eta90,a1_over_baseline_eta90,A5_K_eta90,A5_K_over_baseline_eta90,R2_aff_K_L5_eta90,A10_K_eta90,A10_K_over_baseline_eta90,R2_aff_K_L10_eta90,k_eta95,R2_aff_k_eta95,a1_k_eta95,random_baseline_k_over_n_eta95,a1_over_baseline_eta95,A5_K_eta95,A5_K_over_baseline_eta95,R2_aff_K_L5_eta95,A10_K_eta95,A10_K_over_baseline_eta95,R2_aff_K_L10_eta95,k_eta99,R2_aff_k_eta99,a1_k_eta99,random_baseline_k_over_n_eta99,a1_over_baseline_eta99,A5_K_eta99,A5_K_over_baseline_eta99,R2_aff_K_L5_eta99,A10_K_eta99,A10_K_over_baseline_eta99,R2_aff_K_L10_eta99
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,E,embed,248320,2048,371.875244140625,0.054841723941882914,0.0824928472998639,0.10371663441003519,0.6732665300369263,0.44875630517729603,0.3570710810082128,0.14796424191554497,2049,975,0.10304706379854005,0.8299685120582581,0.0039263853092783504,211.38233939928887,0.6705591805022854,170.78282636136154,0.055316336082696906,0.5730270457279254,145.94264204631634,0.05943243660882575,1436,0.11569461696125462,0.835124135017395,0.005782860824742268,144.4136665790526,0.6842328537228711,118.32082328444523,0.056444316319710926,0.5900215927480332,102.02936066238969,0.06119505382907443,1885,0.13090612712964342,0.8429178595542908,0.007591011597938144,111.04157182202731,0.7050112760768603,92.87448279862384,0.058158387542090635,0.6169635207968666,81.27553394391401,0.06398937993081676
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,E,embed,248320,2560,306.1229248046875,0.04801379688000322,0.07356857257814646,0.09252553151040431,0.6113723516464233,0.4008048186983464,0.3190536773963637,0.14613817057380712,2561,1237,0.1005245806614591,0.8041654825210571,0.004981475515463917,161.43118239258604,0.649564505758372,130.39600490696762,0.04778753348607263,0.559210044746708,112.25791294381773,0.05174120661614613,1805,0.11486286162266789,0.8143912553787231,0.007268846649484536,112.03857979814101,0.6672359374174254,91.79392131827981,0.049087595488641445,0.5795925274499427,79.73651879023257,0.05362710666176455,2358,0.13148344049408256,0.8271769881248474,0.009495811855670102,87.10966483933933,0.6930031105642649,72.9798695569628,0.05098324963642838,0.6093493003482618,64.17032157017829,0.05638036789021592
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,E,embed,248320,4096,264.84552001953125,0.004826171938465336,0.016099004137601403,0.025541907905759297,0.006185067351907492,0.006311879804020027,0.004054188632941694,0.029395654518924907,4097,2690,0.02067307780944495,0.028282560408115387,0.010832796391752577,2.6108272864472912,0.026429302551072332,2.439748851108655,0.0004254854511236328,0.024296847905617446,2.2428971271088938,0.0006205878516055215,3306,0.024633305752588767,0.03098112717270851,0.01331346649484536,2.3270518752350204,0.0290095656125828,2.1789641055403997,0.0004670251168269899,0.02686638883249733,2.017985987563744,0.0006862188293199668,3898,0.028238178228205978,0.03328684717416763,0.01569748711340206,2.1205207517417413,0.03157388167614097,2.0113972031347678,0.0005083080517443306,0.029418560718202914,1.8740936371329264,0.0007514061685843269
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,U,lm_head,248320,4096,520.1258544921875,0.050984528750107665,0.09736564865493463,0.12415793331926735,0.7203490138053894,0.38040385221035977,0.2983717858520486,0.23951773886137365,4097,2677,0.18838703987987432,0.88409423828125,0.010780444587628866,82.00907032125514,0.7125439688258134,66.09597248368546,0.06937730571988684,0.6448738146588007,59.818851571189164,0.08006620007974895,3282,0.20219340130222202,0.8893105983734131,0.013216817010309278,67.28629122123277,0.7312369859921198,55.32625483289555,0.0711973634616021,0.6681712148680315,50.55462403291578,0.08295875714143891,3872,0.21969850765254334,0.8980409502983093,0.01559278350515464,57.593370035660165,0.761560438817111,48.84057029108084,0.07414982611536468,0.7053613189931637,45.23639533377645,0.08757620360954368
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,E,embed,248320,2048,104.29498291015625,0.005163580455250241,0.021143606340295266,0.034970125972264246,0.011246914975345135,0.00589629008417195,0.0038480552453923522,0.020196334960284276,2049,750,0.009909639720904346,0.018096663057804108,0.0030202963917525774,5.991684494018554,0.017493235130382624,5.791893530102151,0.00036987007721503396,0.015830202007818008,5.24127435010849,0.0005535841583797862,1296,0.014611363684910015,0.020886801183223724,0.005219072164948453,4.002014251402867,0.020027750216722335,3.8374158439942057,0.0004234588664641403,0.01831457923653156,3.509163824086047,0.0006404631430305238,1871,0.018927093861136293,0.023985836654901505,0.007534632731958763,3.1834115222582264,0.022567603624522956,2.995182967419316,0.000477160527080734,0.020852875603480883,2.767603457967062,0.0007292276867376823
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,U,lm_head,248320,2048,248.61416625976562,0.05453732307472489,0.10494010131111316,0.13667838465890447,0.6642695069313049,0.3478756237360604,0.267352793947619,0.23595676055340462,2049,1224,0.18133449778796992,0.830081582069397,0.004929123711340206,168.4034791335561,0.6432639137353308,130.5026920414684,0.06750418027716877,0.5712763596353313,115.89815819006984,0.07808113002877647,1570,0.20001159380938452,0.8371522426605225,0.006322487113402062,132.40869101749104,0.6647570465159022,105.14170050371263,0.06975967180865514,0.5959920522702772,94.26544357946193,0.08145923097384684,1913,0.22094581548179243,0.8477908372879028,0.007703769329896908,110.0488346656205,0.697518112781978,90.54244525144838,0.07319762142167723,0.6357448459484664,82.52386834601315,0.08689257859946045
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,E,embed,151936,896,412.9770202636719,0.2120389529420102,0.29081711186999587,0.30929614568143743,0.6519032120704651,0.5165203899160518,0.4857038970285415,0.3685280937327521,897,202,0.2872883297908558,0.9460998773574829,0.0013295071609098568,711.6169849811214,0.8713951663876863,655.4272079221757,0.2534166255863414,0.8391676320464887,631.1869967456204,0.25955131417259764,491,0.31387146921347686,0.9491122961044312,0.0032316238416175234,293.69516460473085,0.8779448412988308,271.672968243542,0.2553213831276878,0.8476420093877028,262.29600068906313,0.2621724064212853,778,0.338827074012053,0.9527354836463928,0.005120577085088458,186.06017794768425,0.8859339912399115,173.0144818676442,0.25764476463984926,0.8578975236999626,167.53922642786316,0.26534439747004807
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,E,embed,151936,1536,122.517822265625,0.6113841656487318,0.6848712619536779,0.7104487449011923,0.20238231122493744,0.20504321559918648,0.19778181888940272,0.6290655332550869,1537,1020,0.5599518415488818,0.7750548720359802,0.00671335299073294,115.44974219378304,0.7449194461740343,110.96086369990007,0.5101739211550457,0.7310094828121182,108.8888791966098,0.5193447695747391,1240,0.5712257613588584,0.7854940891265869,0.008161331086773378,96.24583058511058,0.7556120996040048,92.58441932696297,0.5174970122032629,0.7420398651853841,90.92142657806978,0.527181290887606,1453,0.5875406385191887,0.8013647198677063,0.009563237152485258,83.7963868395181,0.7721989919724404,80.74661117985181,0.5288568981115231,0.7594672101978358,79.41528564942764,0.5395625262786624
Qwen2.5-3B,Qwen2.5-3B-Instruct,E,embed,151936,2048,115.95667266845703,0.5478447690795111,0.6297701121670293,0.6565976516502461,0.17473191022872925,0.1857609487163682,0.17843608386585463,0.6061316668896028,2049,1419,0.528717342625899,0.7704658508300781,0.009339458719460826,82.4957713260879,0.7426876396699844,79.52148641360024,0.4677224781400323,0.7295786836360014,78.1178765869764,0.4790396503694764,1692,0.5384569429186351,0.7798943519592285,0.011136267902274642,70.03193159531757,0.7522092800942782,67.5459037709245,0.47371892269805393,0.7394604772845857,66.40110347323335,0.48552801287322916,1951,0.5539903384986308,0.797040581703186,0.01284093302443134,62.07030129249373,0.7694262861130816,59.91981148481659,0.48456167850969617,0.7573446454215293,58.978942104954115,0.4972707156736645
Qwen2.5-7B,Qwen2.5-7B-Instruct,E,embed,152064,3584,28.70819854736328,0.018815217511183705,0.047710700837478914,0.06719940382147425,0.0017993561923503876,0.0009083409394147998,0.0006939990928721678,0.03187514060187502,3585,976,0.011456107690638536,0.01176436711102724,0.006418350168350169,1.83292696759349,0.011932568453454888,1.8591332882235285,0.0005693112037055245,0.011697025684166609,1.82243495249704,0.0007860331524604681,1367,0.01499586474355414,0.01470116525888443,0.008989635942760943,1.6353460087249465,0.014782618080175265,1.6444067562134392,0.000705289068817949,0.014581317532326813,1.6220142423085182,0.000979855845103972,2493,0.02388102915456699,0.02363565005362034,0.01639441287878788,1.4416893260143293,0.023553577362417272,1.4366831881422462,0.0011237576831907062,0.023276073230298577,1.4197564379029775,0.0015641382443810409
