model_a,model_b,side,matrix_kind,n,d,delta_fro_norm_sq,r1,r5,r10,a_bias,B5,B10,R2_aff_full,rank_Z,k_eta90,R2_aff_k_eta90,a1_k_eta90,random_baseline_k_over_n_eta90,a1_over_baseline_eta90,A5_K_eta90,A5_K_over_baseline_eta90,R2_aff_K_L5_eta90,A10_K_eta90,A10_K_over_baseline_eta90,R2_aff_K_L10_eta90,k_eta95,R2_aff_k_eta95,a1_k_eta95,random_baseline_k_over_n_eta95,a1_over_baseline_eta95,A5_K_eta95,A5_K_over_baseline_eta95,R2_aff_K_L5_eta95,A10_K_eta95,A10_K_over_baseline_eta95,R2_aff_K_L10_eta95,k_eta99,R2_aff_k_eta99,a1_k_eta99,random_baseline_k_over_n_eta99,a1_over_baseline_eta99,A5_K_eta99,A5_K_over_baseline_eta99,R2_aff_K_L5_eta99,A10_K_eta99,A10_K_over_baseline_eta99,R2_aff_K_L10_eta99
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,U,lm_head,128256,8192,614.645263671875,0.1320622062911828,0.22240472722491814,0.27148024080200606,0.4771992266178131,0.3049442490555625,0.25107824425212255,0.5142705594682527,8193,5161,0.3548334178719544,0.9024659991264343,0.040239832834331336,22.42718062080216,0.8286352750131379,20.592413453223216,0.18429240230824195,0.7479978697103278,18.58849346591122,0.20306664178834732,6368,0.385745060647358,0.9088311195373535,0.04965069860279441,18.304498126159363,0.8443776111279537,17.00635912261728,0.18779357227774054,0.7717699491989558,15.543989730600074,0.2095202916522845,7657,0.43410724237136594,0.9197433590888977,0.059700910678642714,15.405851412211788,0.8694003486192081,14.562597768382547,0.1933587473839037,0.8116045188915982,13.594508185315505,0.22033459022468738
Gemma-2-2B,Gemma-2-2B-Instruct,E,embed,256000,2304,876.984375,0.35834249920938227,0.4750683299704242,0.5186157411428546,0.48837289214134216,0.3803061444984453,0.3488245659250028,0.48300457277691666,2305,1586,0.3861443342219431,0.7126290798187256,0.0061953125,115.02714024816756,0.6544379781791013,105.63437731011976,0.31090275736276657,0.6237208602317057,100.67625486716057,0.32347145619532486,1873,0.39637281160359544,0.7160909175872803,0.00731640625,97.87467960616324,0.659899282525335,90.19445612732822,0.31349725009799206,0.6298729161987947,86.09047866892229,0.3266620092602491,2157,0.41438563714878757,0.7233107089996338,0.00842578125,85.84494274636359,0.6712440256225256,79.66549400063354,0.31888677825511785,0.6430054256481023,76.31404217242196,0.33347273538136724
Gemma-2-9B,Gemma-2-9B-Instruct,E,embed,256000,3584,8909.111328125,0.21474360485063462,0.327893998967437,0.35392702782987484,0.865466833114624,0.5767791107304585,0.5346734357402315,0.40713104232960245,3585,2291,0.38313546196233006,0.9890024662017822,0.00894921875,110.51271555986742,0.941775196115204,105.23546495220089,0.30880243518255646,0.9268194124133612,103.56428178866018,0.3280264399704919,2832,0.3882480738096204,0.9897654056549072,0.0110625,89.47031915524586,0.9444344433992099,85.37260505303593,0.30967438640875244,0.929942194616259,84.06257126474658,0.3291316769941236,3366,0.3946940292208753,0.991075336933136,0.0131484375,75.37590203650707,0.9486688970947604,72.1506944908671,0.31106283836442894,0.9348520673682268,71.09986014446407,0.33086941366425043
Gemma-2-27B,Gemma-2-27B-Instruct,E,embed,256000,4608,1081.937744140625,0.25534519905488223,0.3569761330909237,0.4011231961155488,0.7610659003257751,0.5458032379013282,0.4868203314887601,0.4531097791167423,4609,2745,0.39766006967659884,0.9193716049194336,0.01072265625,85.74103127846084,0.8667261595663414,80.83129211256225,0.3094005528907394,0.8310342560418592,77.50264828659962,0.3333471168650179,3433,0.4063081827694045,0.9216673374176025,0.01341015625,68.72905283393716,0.8714840375819818,64.98686676987688,0.3110990017864811,0.8371765829324882,62.42854798447917,0.3358109466589735,4170,0.41949611733143904,0.9257193207740784,0.0162890625,56.8307304839722,0.8796679196311714,54.00359410685369,0.314020452354073,0.847608975321347,52.03546707008749,0.33999562123712407
Gemma-3-4B,Gemma-3-4B-Instruct,E,embed,262208,2560,12395.541015625,0.05810049039496782,0.09397861456921962,0.11295658311480139,0.7778164148330688,0.48691861774978284,0.40600090112600645,0.1423673213197097,2561,1689,0.13245298562975566,0.9306596517562866,0.0064414510617525015,144.47981407206183,0.8768562578395241,136.1271318268715,0.08240573628810889,0.8395104695741813,130.32940272712074,0.09482823413220196,2076,0.13525667897840657,0.9323256611824036,0.007917378569685135,117.75686270101912,0.8794933244192857,111.08390443609446,0.08265356415180168,0.8428759171459275,106.45896362379546,0.0952083835905584,2436,0.1382829747403182,0.935015082359314,0.009290334391017818,100.64385661546429,0.8833441091314148,95.08205753987275,0.0830154555640519,0.847793923920763,91.25547996856135,0.09576390483157927
Gemma-3-12B,Gemma-3-12B-Instruct,E,embed,262208,3840,8835.58203125,0.033831313091066,0.07498458022626021,0.08934632897477308,0.02568010240793228,0.21682454729560233,0.18304412203245576,0.1377049761948867,3841,2435,0.12421504357602361,0.9622548818588257,0.00928652062484745,103.61845094966692,0.834001432160186,89.80774025620454,0.06253724729863137,0.8106162926476784,87.28955928647329,0.07242558995521041,3050,0.1294920711885403,0.962792158126831,0.011631986819624116,82.77108399938365,0.8364452984546838,71.9090651859691,0.06272049958685341,0.8138778591474899,69.96894612830984,0.07271699894867566,3639,0.13429753915829504,0.9633352756500244,0.013878295093971198,69.41308490179765,0.8389460974003428,60.450227619441904,0.06290802094602392,0.8173860630097382,58.89672020051042,0.07303044408506267
Gemma-3-27B,Gemma-3-27B-Instruct,E,embed,262208,5376,8880.146484375,0.020103351503364578,0.050714951827010524,0.06301736751465645,0.18773584067821503,0.2499218182059665,0.2013356429696627,0.11061860172413224,5377,3393,0.09778375243449276,0.9549072980880737,0.012940108616060533,73.79438043533086,0.8627827690646347,66.67507937250213,0.043755986570287696,0.7599538988910234,58.72855641627393,0.04789029414061169,4248,0.10294361929206985,0.9557495713233948,0.016200878691725654,58.9936872875623,0.8658483763123699,53.44453179287049,0.04391145869417712,0.763692115530243,47.13893178647692,0.04812586671241479,5090,0.1078527100262062,0.9565081596374512,0.019412069807175983,49.273888314777366,0.8689906237412985,44.76548005303702,0.044070817621163785,0.7675167144877872,39.5381184032247,0.04836688287051853
DeepSeek-V3-Base,DeepSeek-V3,E,embed,129280,7168,6.8035054206848145,0.0068419677866215865,0.019138281877223728,0.02879134431035637,0.00012928294017910957,0.0004395654209518182,0.0003382864482208941,0.06030979935148516,7169,4771,0.03997060551998057,0.03928935155272484,0.03690439356435644,1.0646253130866206,0.03997462297456727,1.0831941433980417,0.000765045602423012,0.040131762971796346,1.0874521729184303,0.0011554474055025991,5784,0.04845219034082248,0.047259293496608734,0.04474009900990099,1.0563073069228177,0.048372346711305046,1.0811855087893356,0.0009257636064237522,0.048427216834330856,1.0824119281366344,0.001394284673869506,6834,0.057319555809737674,0.05570542812347412,0.05286200495049505,1.0537895446009269,0.056790294448282694,1.0743121548542562,0.001086868663041768,0.05690650369333874,1.0765105059225684,0.001638414741333482
DeepSeek-V3-Base,DeepSeek-V3,U,lm_head,129280,7168,13.941328048706055,0.11652922534955948,0.22826708710075191,0.26072117862369587,0.22969622910022736,0.12620345387619525,0.11081766571202144,0.14704821452098302,7169,4907,0.12452567089111896,0.4072115421295166,0.03795637376237624,10.728410060424679,0.354230360402909,9.332565924778494,0.08085913253182157,0.332183547961248,8.751719804448776,0.08660728614385758,5678,0.13197608899711066,0.41333824396133423,0.04392017326732673,9.41112507561136,0.36626525503066887,8.339339938422839,0.0836063028720648,0.34351135099026897,7.821265842906301,0.08956068430080101,6630,0.1410265811734166,0.421881765127182,0.051284034653465344,8.226376258769546,0.3819518947344447,7.447773899135598,0.0871870464236447,0.3581712292726737,6.984068856767912,0.09338282504506949
DeepSeek-V3.1-Base,DeepSeek-V3.1,E,embed,129280,7168,19.944957733154297,0.004244598597414416,0.012689041410161441,0.01997549381738492,4.4261170842219144e-05,0.0004581886593325499,0.00035391775670022384,0.0605512034061331,7169,4769,0.04015451947431467,0.040295932441949844,0.036888923267326734,1.0923585963714144,0.04154573473310758,1.1262387473885822,0.0005271755484439846,0.04122798713746128,1.117625115775004,0.0008235494021675828,5783,0.048664389319131036,0.048006102442741394,0.04473236386138614,1.0731850118965256,0.0497320960485801,1.111769907861047,0.000631052626174559,0.04952087133017974,1.1070479414777168,0.0009892038590875196,6834,0.05755435500877793,0.05604277551174164,0.05286200495049505,1.0601712054664851,0.05824388727273412,1.101810030233987,0.0007390590974924982,0.05802513966856552,1.0976719426912716,0.0011590808187023271
DeepSeek-V3.1-Base,DeepSeek-V3.1,U,lm_head,129280,7168,70.15501403808594,0.07163940082593848,0.16084642925267292,0.1973469113437454,0.4300594627857208,0.20079726096073772,0.16400952263917157,0.1406686531399865,7169,4909,0.12128010676691435,0.5819129943847656,0.03797184405940594,15.324854739063454,0.45555040582053025,11.997057743833397,0.07327365612083836,0.40448581578359327,10.652256317886113,0.07982402642724731,5679,0.1278671259998795,0.586980938911438,0.043927908415841585,13.362369392933738,0.4648622705057772,10.582390267826533,0.07477143630514439,0.41334497545153387,9.409621135124898,0.08157235422481647,6630,0.13565853009746875,0.5930302739143372,0.051284034653465344,11.563643108845477,0.47589480308348553,9.279589765103019,0.07654597977588257,0.423850262760477,8.264760478080614,0.08364554022801504
